task,gene,n,mean,var,zero_frac,fano,nb_alpha_mom,aic_pois,bic_pois,aic_nb,bic_nb,aic_zinb,bic_zinb,pois_converged,nb_converged,zinb_converged,delta_aic,delta_bic,delta_aic_overdisp,mean_depth,zinb_preferred,zinb_preferred_bic,nb_beats_poisson,both_converged
HCC,ELN,4196,0.38584366062917064,1.4603859626797073,0.7542897998093422,3.7849163059938555,7.217732439746891,7871.847607393651,7878.189494363167,6734.947985608967,6747.6317595479995,6736.948347077141,6755.974007985689,True,True,True,-2.000361468173651,-8.342248437689705,1136.8996217846834,32962.44140625,False,False,True,True
HCC,ETNPPL,4196,3.081267874165872,22.960497653136933,0.38369876072449954,7.451639581759036,2.09382625764258,31825.676197488116,31832.01808445763,18336.806486311587,18349.49026025062,18338.81232175371,18357.83798266226,True,True,True,-2.005835442123498,-8.347722411639552,13488.869711176529,32962.44140625,False,False,True,True
HCC,FBLN2,4196,0.5510009532888466,1.2095556128715583,0.6742135367016205,2.195196951388001,2.1691377197335866,9343.182704141942,9349.524591111458,8404.637329604564,8417.321103543596,8406.638693224262,8425.66435413281,True,True,True,-2.001363619698168,-8.343250589214222,938.5453745373779,32962.44140625,False,False,True,True
HCC,FBLN5,4196,0.45638703527168734,0.8598376227544027,0.6985224022878932,1.8840097467767485,1.9369738368016902,8127.737217492402,8134.079104461918,7581.935882341331,7594.619656280363,7583.936142832963,7602.961803741511,True,True,True,-2.000260491631707,-8.34214746114776,545.8013351510708,32962.44140625,False,False,True,True
HCC,GJA4,4196,0.40276453765490944,0.6734989109328254,0.7225929456625357,1.6721901954284826,1.6689408639159247,7432.598616723364,7438.94050369288,7049.478541431656,7062.162315370688,7051.479302214148,7070.504963122697,True,True,True,-2.000760782492762,-8.342647752008816,383.1200752917084,32962.44140625,False,False,True,True
HCC,HAMP,4196,0.8682078169685414,3.595260768244005,0.6120114394661582,4.141014049835807,3.617813602281374,13506.638300609506,13512.980187579022,10515.272135338713,10527.955909277745,10517.272284097588,10536.297945006136,True,True,True,-2.000148758874275,-8.342035728390329,2991.3661652707924,32962.44140625,False,False,True,True
HCC,HBB,4196,0.5440896091515729,31.712715952874127,0.8391325071496664,58.28583273686371,105.28749634861153,16425.52932818322,16431.871215152736,,,5915.309090014277,5934.334750922825,True,False,True,,,,32962.44140625,False,False,False,False
HCC,IGFBP5,4196,1.4051477597712108,7.334266700450285,0.463536701620591,5.219569721012448,3.002936660340609,17845.316102714824,17851.65798968434,13550.459672811332,13563.143446750364,13552.461134638255,13571.486795546803,True,True,True,-2.0014618269233324,-8.343348796439386,4294.8564299034915,32962.44140625,False,False,True,True
HCC,IGHA1,4196,1.1306005719733079,111.40463191574698,0.597950428979981,98.53580006713203,86.2690170914178,27332.460237374413,27338.80212434393,27334.433263651885,27347.117037590917,10987.04799833276,11006.073659241309,True,True,True,16347.385265319124,16341.043378349608,-1.973026277471945,32962.44140625,True,True,False,True
HCC,IGHG1,4196,0.5607721639656816,18.57151444533701,0.7902764537654909,33.117753766525325,57.27415843788366,15019.724266056695,15026.066153026211,15021.674942005644,15034.358715944676,6892.888625906029,6911.914286814577,True,True,True,8128.786316099615,8122.444429130099,-1.9506759489486285,32962.44140625,True,True,False,True
