task,encoder,fold,scale,alpha,is_formula_value,formula_alpha,d,gram_cond,gram_diag_mean,pearson
READ,hoptimus0,1,pca256,1000.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.1901091784238815
READ,hoptimus0,1,pca256,10000.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.2300106883049011
READ,hoptimus0,1,pca256,100000.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.2280464172363281
READ,hoptimus0,1,pca256,1000000.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.2081058621406555
READ,hoptimus0,1,raw,0.0,False,0.0013020833333333,1536,2867011734470656.0,4587.99951171875,0.0850137919187545
READ,hoptimus0,1,raw,0.0001,False,0.0013020833333333,1536,2867011734470656.0,4587.99951171875,0.0862297415733337
READ,hoptimus0,1,raw,0.001,False,0.0013020833333333,1536,2867011734470656.0,4587.99951171875,0.0862306430935859
READ,hoptimus0,1,raw,0.01,False,0.0013020833333333,1536,2867011734470656.0,4587.99951171875,0.0862644985318183
READ,hoptimus0,1,raw,0.1,False,0.0013020833333333,1536,2867011734470656.0,4587.99951171875,0.0864084213972091
READ,hoptimus0,1,raw,1.0,False,0.0013020833333333,1536,2867011734470656.0,4587.99951171875,0.0876625031232833
READ,hoptimus0,1,raw,10.0,False,0.0013020833333333,1536,2867011734470656.0,4587.99951171875,0.0940259844064712
READ,hoptimus0,1,raw,100.0,False,0.0013020833333333,1536,2867011734470656.0,4587.99951171875,0.1167878210544586
READ,hoptimus0,1,raw,1000.0,False,0.0013020833333333,1536,2867011734470656.0,4587.99951171875,0.1757204830646515
READ,hoptimus0,1,raw,10000.0,False,0.0013020833333333,1536,2867011734470656.0,4587.99951171875,0.236447274684906
READ,hoptimus0,1,raw,100000.0,False,0.0013020833333333,1536,2867011734470656.0,4587.99951171875,0.2294846028089523
READ,hoptimus0,1,raw,1000000.0,False,0.0013020833333333,1536,2867011734470656.0,4587.99951171875,0.2084635943174362
IDC,resnet50,0,pca256,0.0,False,0.0078125,256,557.0360717773438,53820.1015625,0.4080955386161804
IDC,resnet50,0,pca256,0.0001,False,0.0078125,256,557.0360717773438,53820.1015625,0.4081474542617798
IDC,resnet50,0,pca256,0.001,False,0.0078125,256,557.0360717773438,53820.1015625,0.4081474244594574
IDC,resnet50,0,pca256,0.01,False,0.0078125,256,557.0360717773438,53820.1015625,0.4081475138664245
IDC,resnet50,0,pca256,0.1,False,0.0078125,256,557.0360717773438,53820.1015625,0.4081477224826813
IDC,resnet50,0,pca256,1.0,False,0.0078125,256,557.0360717773438,53820.1015625,0.4081504344940185
IDC,resnet50,0,pca256,10.0,False,0.0078125,256,557.0360717773438,53820.1015625,0.4081749618053436
IDC,resnet50,0,pca256,100.0,False,0.0078125,256,557.0360717773438,53820.1015625,0.4084278047084808
IDC,resnet50,0,pca256,1000.0,False,0.0078125,256,557.0360717773438,53820.1015625,0.410534143447876
IDC,resnet50,0,pca256,10000.0,False,0.0078125,256,557.0360717773438,53820.1015625,0.4160434603691101
IDC,resnet50,0,pca256,100000.0,False,0.0078125,256,557.0360717773438,53820.1015625,0.4015262126922607
IDC,resnet50,0,pca256,1000000.0,False,0.0078125,256,557.0360717773438,53820.1015625,0.3740203976631164
IDC,resnet50,0,raw,0.0,False,0.001953125,1024,31395.84765625,14774.9833984375,0.4017461538314819
IDC,resnet50,0,raw,0.0001,False,0.001953125,1024,31395.84765625,14774.9833984375,0.4018729031085968
IDC,resnet50,0,raw,0.001,False,0.001953125,1024,31395.84765625,14774.9833984375,0.4018729329109192
IDC,resnet50,0,raw,0.01,False,0.001953125,1024,31395.84765625,14774.9833984375,0.4018732905387878
IDC,resnet50,0,raw,0.1,False,0.001953125,1024,31395.84765625,14774.9833984375,0.4018897712230682
IDC,resnet50,0,raw,1.0,False,0.001953125,1024,31395.84765625,14774.9833984375,0.4019491076469421
IDC,resnet50,0,raw,10.0,False,0.001953125,1024,31395.84765625,14774.9833984375,0.4021936357021332
IDC,resnet50,0,raw,100.0,False,0.001953125,1024,31395.84765625,14774.9833984375,0.4048440456390381
IDC,resnet50,0,raw,1000.0,False,0.001953125,1024,31395.84765625,14774.9833984375,0.413752943277359
IDC,resnet50,0,raw,10000.0,False,0.001953125,1024,31395.84765625,14774.9833984375,0.4199360609054565
IDC,resnet50,0,raw,100000.0,False,0.001953125,1024,31395.84765625,14774.9833984375,0.4022639989852905
IDC,resnet50,0,raw,1000000.0,False,0.001953125,1024,31395.84765625,14774.9833984375,0.3741379976272583
IDC,resnet50,1,pca256,0.0,False,0.0078125,256,421.0901489257813,100561.25,0.5138527154922485
IDC,resnet50,1,pca256,0.0001,False,0.0078125,256,421.0901489257813,100561.25,0.5137679576873779
IDC,resnet50,1,pca256,0.001,False,0.0078125,256,421.0901489257813,100561.25,0.5137678980827332
IDC,resnet50,1,pca256,0.01,False,0.0078125,256,421.0901489257813,100561.25,0.5137679576873779
IDC,resnet50,1,pca256,0.1,False,0.0078125,256,421.0901489257813,100561.25,0.5137680172920227
IDC,resnet50,1,pca256,1.0,False,0.0078125,256,421.0901489257813,100561.25,0.5137692093849182
IDC,resnet50,1,pca256,10.0,False,0.0078125,256,421.0901489257813,100561.25,0.5137739777565002
IDC,resnet50,1,pca256,100.0,False,0.0078125,256,421.0901489257813,100561.25,0.5138949751853943
IDC,resnet50,1,pca256,1000.0,False,0.0078125,256,421.0901489257813,100561.25,0.5148812532424927
IDC,resnet50,1,pca256,10000.0,False,0.0078125,256,421.0901489257813,100561.25,0.5180339217185974
IDC,resnet50,1,pca256,100000.0,False,0.0078125,256,421.0901489257813,100561.25,0.5049155950546265
IDC,resnet50,1,pca256,1000000.0,False,0.0078125,256,421.0901489257813,100561.25,0.4646719098091125
IDC,resnet50,1,raw,0.0,False,0.001953125,1024,24099.55859375,27775.90625,0.4960612058639526
IDC,resnet50,1,raw,0.0001,False,0.001953125,1024,24099.55859375,27775.90625,0.4958113729953766
IDC,resnet50,1,raw,0.001,False,0.001953125,1024,24099.55859375,27775.90625,0.4958114326000213
IDC,resnet50,1,raw,0.01,False,0.001953125,1024,24099.55859375,27775.90625,0.4958117604255676
IDC,resnet50,1,raw,0.1,False,0.001953125,1024,24099.55859375,27775.90625,0.4958148896694183
IDC,resnet50,1,raw,1.0,False,0.001953125,1024,24099.55859375,27775.90625,0.4958465099334717
IDC,resnet50,1,raw,10.0,False,0.001953125,1024,24099.55859375,27775.90625,0.4960838258266449
IDC,resnet50,1,raw,100.0,False,0.001953125,1024,24099.55859375,27775.90625,0.4988351464271545
IDC,resnet50,1,raw,1000.0,False,0.001953125,1024,24099.55859375,27775.90625,0.5105432271957397
IDC,resnet50,1,raw,10000.0,False,0.001953125,1024,24099.55859375,27775.90625,0.5224684476852417
IDC,resnet50,1,raw,100000.0,False,0.001953125,1024,24099.55859375,27775.90625,0.5064055323600769
IDC,resnet50,1,raw,1000000.0,False,0.001953125,1024,24099.55859375,27775.90625,0.4648574888706207
IDC,resnet50,2,pca256,0.0,False,0.0078125,256,428.7071228027344,113678.015625,0.4556582570075989
IDC,resnet50,2,pca256,0.0001,False,0.0078125,256,428.7071228027344,113678.015625,0.4555846154689789
IDC,resnet50,2,pca256,0.001,False,0.0078125,256,428.7071228027344,113678.015625,0.4555845558643341
IDC,resnet50,2,pca256,0.01,False,0.0078125,256,428.7071228027344,113678.015625,0.4555846154689789
IDC,resnet50,2,pca256,0.1,False,0.0078125,256,428.7071228027344,113678.015625,0.455584704875946
IDC,resnet50,2,pca256,1.0,False,0.0078125,256,428.7071228027344,113678.015625,0.4555859267711639
IDC,resnet50,2,pca256,10.0,False,0.0078125,256,428.7071228027344,113678.015625,0.4555982947349548
IDC,resnet50,2,pca256,100.0,False,0.0078125,256,428.7071228027344,113678.015625,0.4557257890701294
IDC,resnet50,2,pca256,1000.0,False,0.0078125,256,428.7071228027344,113678.015625,0.4567651748657226
IDC,resnet50,2,pca256,10000.0,False,0.0078125,256,428.7071228027344,113678.015625,0.4601286351680755
IDC,resnet50,2,pca256,100000.0,False,0.0078125,256,428.7071228027344,113678.015625,0.4437177181243896
IDC,resnet50,2,pca256,1000000.0,False,0.0078125,256,428.7071228027344,113678.015625,0.3975158631801605
IDC,resnet50,2,raw,0.0,False,0.001953125,1024,23349.216796875,31525.875,0.4170034527778625
IDC,resnet50,2,raw,0.0001,False,0.001953125,1024,23349.216796875,31525.875,0.4182392358779907
IDC,resnet50,2,raw,0.001,False,0.001953125,1024,23349.216796875,31525.875,0.4182392358779907
IDC,resnet50,2,raw,0.01,False,0.001953125,1024,23349.216796875,31525.875,0.4182398617267608
IDC,resnet50,2,raw,0.1,False,0.001953125,1024,23349.216796875,31525.875,0.4182454943656921
IDC,resnet50,2,raw,1.0,False,0.001953125,1024,23349.216796875,31525.875,0.4182936549186706
IDC,resnet50,2,raw,10.0,False,0.001953125,1024,23349.216796875,31525.875,0.4187604784965515
IDC,resnet50,2,raw,100.0,False,0.001953125,1024,23349.216796875,31525.875,0.4235106706619262
IDC,resnet50,2,raw,1000.0,False,0.001953125,1024,23349.216796875,31525.875,0.4460693001747131
IDC,resnet50,2,raw,10000.0,False,0.001953125,1024,23349.216796875,31525.875,0.4665476679801941
