setting,variant,n_L,label_unit,arm,estimand,population,gene,n_draws,theta_full,lambda_mean,G_L,G_U,df_cluster,cluster_variance_form,status,width_ratio_iid,width_ratio_iid_median,width_mean_pp_iid,width_mean_cl_iid,width_ratio_cluster,width_ratio_cluster_median,width_mean_pp_cluster,width_mean_cl_cluster,width_ratio_boot,width_ratio_boot_median,width_mean_pp_boot,width_mean_cl_boot,pearson_gene,pearson_task
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,STK39,200,0.20665033329234525,0.6569724283453072,6,18,5,separate,ok,0.8008382594870757,0.8184462589351781,0.018257558258666998,0.023578400365348813,0.681159530271694,0.6375908187327952,0.5819247665590476,0.9222134122294416,0.7067995146047019,0.678035127493051,0.4485635493698277,0.6745884014291857,0.3411398258493426,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,TFRC,200,0.15395455968236543,0.6312410439552493,6,18,5,separate,ok,0.8442948696520948,0.8435377971491635,0.01856345341295029,0.022341603000041187,0.7212134015298255,0.7412946822221863,0.6109067600896396,0.8412901422834176,0.7360208773244702,0.7656330630818544,0.4605293535936712,0.6180348508669458,0.2097917149046443,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,TM2D3,200,0.0877927478839047,0.6372468328963435,6,18,5,separate,ok,0.8875911383747588,0.8859660909528059,0.014102722788781451,0.01596317012141126,0.6602512584609836,0.6342479456255853,0.3141305240368035,0.4668918983850048,0.672285456028341,0.6555087262820902,0.24856019213566083,0.36010158252158553,0.1789896396932278,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,TMEM91,200,0.23558446570913075,0.7713289241071162,6,18,5,separate,ok,0.768105576644184,0.763015225634697,0.01746589328532341,0.02313441466887545,0.6033904257343597,0.5756883936630051,0.5311619066989064,0.925780817382543,0.6214627924693835,0.6049068372801603,0.41393144979567686,0.6942030107657922,0.4100242941227752,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,TP53INP1,200,0.04989122158326735,0.6486684898581692,6,18,5,separate,ok,0.8626325919470577,0.861995116500167,0.013566887768020864,0.015834717925521203,0.6424202016461845,0.6344303697339413,0.2973148873812086,0.47458251704561333,0.650725288916095,0.6440822376534784,0.23273532606780278,0.3648346815722344,0.2141864763374345,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,TRBC1,200,-0.07017958409544424,0.5816404491847286,6,18,5,separate,ok,0.8663304772594819,0.8794083143890883,0.01563783584191973,0.018457661425456903,0.6989736484675645,0.698770468689399,0.3889488249814518,0.5708745176591214,0.7038811073518255,0.7016479678431917,0.3024313957449785,0.43856657755009354,0.2619938802258112,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,VMP1,200,0.21566846162875838,0.7228641393202702,6,18,5,separate,ok,0.7325202860550039,0.7337134883480576,0.020785323975135953,0.028878729697059225,0.5875096211311248,0.5800862314777027,0.5859055734966728,1.025560552347032,0.5976568799398386,0.5798582529159955,0.46482130531521837,0.7986309769094941,0.5303578143907607,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,YWHAE,200,0.22207162705950326,0.7128797563588742,6,18,5,separate,ok,0.7513710247181493,0.7504644120784942,0.01703410277818412,0.023524515719809083,0.5857243723050989,0.5827311313622106,0.4291049605582132,0.7842154407427877,0.5916892217170207,0.5863146723853183,0.3456187873584055,0.6253264033876347,0.6610100739135054,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,AKAP8,200,0.07173036532378403,0.44241674898826067,6,18,5,separate,ok,0.824698072959606,0.8654004742326887,0.0016639573066378087,0.002132868834367966,0.8211642549008292,0.8591722865304252,0.09385299338116482,0.12268356171161063,0.8299562831084919,0.869920032528642,0.06983391712968613,0.08984650888391288,0.2430796636976864,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,BLVRB,200,0.06822863026764454,0.5406600060820189,6,18,5,separate,ok,0.8399287973259112,0.895259246780163,0.0025051792370195656,0.003310474337448044,0.8432225073623187,0.8949971426825756,0.14208963786415962,0.18766801050547316,0.8511479254821808,0.8983438370489844,0.10503098891524719,0.136392015993802,0.4272828790271285,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,BTF3,200,0.11342174826668959,0.5135776702941438,6,18,5,separate,ok,0.8006566016423009,0.8261708252302127,0.003055505779849145,0.0041909486430675045,0.797377532801288,0.8361890951827387,0.17564689471937175,0.24573503922468998,0.8088020377327854,0.8375392075812305,0.1295856174478447,0.17810601859472297,0.6424121506565327,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,CD109,200,0.11129630400252777,0.46023225568968146,6,18,5,separate,ok,0.9077001132224177,0.9553652124338015,0.002101021307009893,0.002333422710863575,0.8827245479200851,0.9241450297483562,0.13540318855806976,0.15477803144583444,0.8872892308671808,0.9271314303535362,0.10070710371179534,0.11469629215957422,0.3820386254589381,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,CD14,200,0.07142181849940758,0.3440136176376378,6,18,5,separate,ok,0.8952788726581844,0.9500293491278049,0.0028886415817023577,0.0033413764830199787,0.8951910573993536,0.9562968734146733,0.17064476874847515,0.19778679344803,0.9036927362435918,0.962063832020932,0.1277341016376769,0.14668516506016874,0.2012223008086046,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,CHST15,200,0.07904808709206827,0.2226538341928074,6,18,5,separate,ok,0.8877402637213844,0.930772133659659,0.0014846859790488196,0.0016931501285228968,0.8935126990903488,0.9409769888365791,0.09768427856395535,0.10959502891887056,0.8946420387600679,0.9349248002358104,0.0728799105587278,0.08173257666419055,0.2092600353496091,0.31839430874006125
