setting,variant,n_L,label_unit,arm,estimand,population,gene,estimator,variance,n_draws,n_finite,frac_nonfinite,coverage,width_mean,width_median,nominal,theta_full,cluster_variance_form,df_cluster,status
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CKB,classical,boot,200,200.0,0.0,0.83,0.577687835456955,0.5892165451542709,0.9,0.22001530475229403,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CKB,pp,iid,200,200.0,0.0,0.08,0.01809501780019155,0.017520861771826823,0.9,0.22001530475229403,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CKB,pp,cluster,200,200.0,0.0,0.84,0.5295439186064438,0.5430055105534761,0.9,0.22001530475229403,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CKB,pp,boot,200,200.0,0.0,0.82,0.41093731068924355,0.4258291897222134,0.9,0.22001530475229403,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPD,classical,iid,200,200.0,0.0,0.005,0.025018733903105286,0.02104400236184871,0.9,0.2093489686650635,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPD,classical,cluster,200,200.0,0.0,0.805,0.9954369378203023,0.6880985602685511,0.9,0.2093489686650635,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPD,classical,boot,200,200.0,0.0,0.74,0.7206500703656131,0.5297039031664841,0.9,0.2093489686650635,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPD,pp,iid,200,200.0,0.0,0.02,0.021291111579291037,0.017362796736128443,0.9,0.2093489686650635,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPD,pp,cluster,200,200.0,0.0,0.705,0.7822393683890055,0.393409615754712,0.9,0.2093489686650635,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPD,pp,boot,200,200.0,0.0,0.61,0.5777578087873847,0.3150169364119044,0.9,0.2093489686650635,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPE,classical,iid,200,200.0,0.0,0.04,0.04078218973672942,0.04019235996263837,0.9,0.45590011894652593,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPE,classical,cluster,200,200.0,0.0,0.785,1.8401004261837328,1.936567706283094,0.9,0.45590011894652593,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPE,classical,boot,200,200.0,0.0,0.775,1.343594446708704,1.3837247537792774,0.9,0.45590011894652593,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPE,pp,iid,200,200.0,0.0,0.07,0.028101387493843884,0.026396131473085588,0.9,0.45590011894652593,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPE,pp,cluster,200,200.0,0.0,0.86,1.0818564298998614,1.0249090665817766,0.9,0.45590011894652593,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPE,pp,boot,200,200.0,0.0,0.81,0.8309989503027967,0.7867394611369631,0.9,0.45590011894652593,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DERL1,classical,iid,200,200.0,0.0,0.035,0.027017729428902952,0.026416462403371144,0.9,0.2641878317937275,separate,5.0,ok
