encoder,task,gene,random_minus_patient,blocked_minus_patient,novel_slide,same_patient_other_slide,replicate_leak,var_donor,var_slide,var_spot,frac_donor,frac_slide,n_donors,df_donor,donor_label_status,notes
hoptimus0,HCC,AC092069.1,0.04240428,0.015760988,,,,1.0305353546179642e-05,,0.2282269587286836,4.51519325190772e-05,,2,1,verified,
hoptimus0,HCC,ACTA2,0.21507606,0.12720463,,,,0.0026985356778682,,0.4630687489123298,0.0057937424270632,,2,1,verified,
hoptimus0,HCC,AEBP1,0.21519567,0.11929883,,,,0.1306871288973852,,0.4706451864626325,0.2173292962297275,,2,1,verified,
hoptimus0,HCC,ASPM,0.10985802,0.090952724,,,,0.0424095849201428,,0.1735625615450154,0.1963659926257417,,2,1,verified,
hoptimus0,HCC,BEST1,0.24572673,0.212241,,,,0.027496914088221,,0.1867139911413218,0.1283637453413313,,2,1,verified,
hoptimus0,HCC,C11orf96,0.12814541,0.07315634,,,,0.0001388821909586,,0.1624999436707339,0.0008539301130764,,2,1,verified,
hoptimus0,HCC,CAVIN3,0.0632191,0.023288786,,,,0.0684778214873653,,0.1654116148143874,0.2927785990258175,,2,1,verified,
hoptimus0,HCC,CCL21,0.22604099,0.13890848,,,,0.0078001631563752,,0.1739745295396648,0.0429111612881038,,2,1,verified,
hoptimus0,HCC,CCN1,0.13085893,0.10963548,,,,0.005552413446269,,0.131970757420638,0.0403743849946754,,2,1,verified,
hoptimus0,HCC,CXCL10,0.16084543,0.095740944,,,,0.0006624507613504,,0.2452973501048772,0.0026933293937361,,2,1,verified,
hoptimus0,HCC,CXCL9,0.09054057,0.049602948,,,,0.0219681340136698,,0.1484341018851103,0.1289192826479052,,2,1,verified,
hoptimus0,HCC,CYP2E1,0.47038546,0.349484,,,,0.0010807437055232,,0.7135624863575248,0.0015122842560586,,2,1,verified,
hoptimus0,HCC,ELN,0.14664866,0.054826453,,,,0.0006345891454238,,0.1626669911999359,0.0038859951268184,,2,1,verified,
hoptimus0,HCC,ETNPPL,0.3666997,0.3164155,,,,0.8800550291209297,,0.4227030457842096,0.6755322005469137,,2,1,verified,
hoptimus0,HCC,FBLN2,0.117828906,0.07340662,,,,0.020297650278198,,0.2122906918555928,0.0872685625254696,,2,1,verified,
hoptimus0,HCC,FBLN5,0.14552972,0.11186083,,,,0.0112527588892152,,0.1787419703386752,0.0592266897873681,,2,1,verified,
hoptimus0,HCC,GJA4,0.08695112,0.054746896,,,,0.0122589490793226,,0.1591837959265588,0.0715046243508416,,2,1,verified,
hoptimus0,HCC,HAMP,0.26678437,0.19172487,,,,0.1072989585209366,,0.2829635054642701,0.2749405039501925,,2,1,verified,
hoptimus0,HCC,HBB,0.11040919,0.059716903,,,,0.0,,0.195434190446409,0.0,,2,1,verified,
hoptimus0,HCC,IGFBP5,0.09077412,0.03807108,,,,0.2576762685352606,,0.3173521102789559,0.4481105246781431,,2,1,verified,
hoptimus0,HCC,IGHA1,0.11943875,0.040093776,,,,0.0,,0.3079776598534414,0.0,,2,1,verified,
hoptimus0,HCC,IGHG1,0.24964723,0.12316372,,,,0.0189554960376586,,0.1965804005096632,0.0879458890203788,,2,1,verified,
hoptimus0,HCC,IGHM,0.11010741,0.024356287,,,,0.0176734561633805,,0.1707803566283317,0.0937813669119765,,2,1,verified,
