head,encoder,task,split,pearson,run_ts
pca_ridge,uni_v1,HCC,1,0.0769,26-09-13-16-30-32
pca_ridge,uni_v1,IDC,0,0.4586,26-09-13-16-30-32
pca_ridge,uni_v1,IDC,1,0.6183,26-09-13-16-30-32
pca_ridge,uni_v1,IDC,2,0.5477,26-09-13-16-30-32
pca_ridge,uni_v1,IDC,3,0.6695,26-09-13-16-30-32
pca_ridge,uni_v1,LUNG,0,0.5239,26-09-13-16-30-32
pca_ridge,uni_v1,LUNG,1,0.5689,26-09-13-16-30-32
pca_ridge,uni_v1,LYMPH_IDC,0,0.3103,26-09-13-16-30-32
pca_ridge,uni_v1,LYMPH_IDC,1,0.2033,26-09-13-16-30-32
pca_ridge,uni_v1,LYMPH_IDC,2,0.287,26-09-13-16-30-32
pca_ridge,uni_v1,LYMPH_IDC,3,0.2229,26-09-13-16-30-32
pca_ridge,uni_v1,PAAD,0,0.4241,26-09-13-16-30-32
pca_ridge,uni_v1,PAAD,1,0.5801,26-09-13-16-30-32
pca_ridge,uni_v1,PAAD,2,0.4379,26-09-13-16-30-32
pca_ridge,uni_v1,PRAD,0,0.3794,26-09-13-16-30-32
pca_ridge,uni_v1,PRAD,1,0.2092,26-09-13-16-30-32
pca_ridge,uni_v1,READ,0,0.233,26-09-13-16-30-32
pca_ridge,uni_v1,READ,1,0.1342,26-09-13-16-30-32
pca_ridge,uni_v1,SKCM,0,0.6705,26-09-13-16-30-32
pca_ridge,uni_v1,SKCM,1,0.5987,26-09-13-16-30-32
pca_ridge,uni_v2,CCRCC,0,0.2205,26-09-13-17-27-49
pca_ridge,uni_v2,CCRCC,1,0.2597,26-09-13-17-27-49
pca_ridge,uni_v2,CCRCC,2,0.2279,26-09-13-17-27-49
pca_ridge,uni_v2,CCRCC,3,0.3513,26-09-13-17-27-49
pca_ridge,uni_v2,CCRCC,4,0.2287,26-09-13-17-27-49
pca_ridge,uni_v2,CCRCC,5,0.2958,26-09-13-17-27-49
pca_ridge,uni_v2,COAD,0,0.2976,26-09-13-17-27-49
pca_ridge,uni_v2,COAD,1,0.3055,26-09-13-17-27-49
pca_ridge,uni_v2,HCC,0,0.0699,26-09-13-17-27-49
pca_ridge,uni_v2,HCC,1,0.0796,26-09-13-17-27-49
pca_ridge,uni_v2,IDC,0,0.4737,26-09-13-17-27-49
pca_ridge,uni_v2,IDC,1,0.6369,26-09-13-17-27-49
pca_ridge,uni_v2,IDC,2,0.5598,26-09-13-17-27-49
pca_ridge,uni_v2,IDC,3,0.6887,26-09-13-17-27-49
pca_ridge,uni_v2,LUNG,0,0.5456,26-09-13-17-27-49
pca_ridge,uni_v2,LUNG,1,0.5719,26-09-13-17-27-49
pca_ridge,uni_v2,LYMPH_IDC,0,0.3234,26-09-13-17-27-49
pca_ridge,uni_v2,LYMPH_IDC,1,0.2191,26-09-13-17-27-49
