encoder,task,label_set,design,fold,K,n_units_total,calibration_unit,n_cal,n_test,between_share,between_share_q25,between_share_q75,between_var,within_var,n_genes,n_cal_draws,coverage_observed,width_observed,miss_above,miss_below,calibration_unit_a1,block_fold,shortfall,score,uses_test_labels
resnet50,HCC,shipped,donor,CHC20,6.0,7.0,block,483.0,1941.0,0.017958110456516352,0.008623104844678459,0.046686913367564545,0.0018912529683315984,0.1120679264278541,50,3,0.7996530997767474,1.6931756784124172,0.1050764210887858,0.0952704791344667,block,True,0.10034690022325266,abs,True
resnet50,HCC,shipped,donor,CHC23,7.0,8.0,block,408.0,2255.0,0.03449960423114002,0.01762304254444471,0.062087123528334176,0.005914287603429297,0.16728657341101055,50,3,0.6776674057649666,1.4497805079666488,0.2241034737620103,0.0982291204730229,block,True,0.22233259423503338,abs,True
resnet50,HCC,shipped,patient,0,6.0,7.0,block,407.0,2255.0,0.028340148209719876,0.014691151166603172,0.05505684315195146,0.005139333073889085,0.14688440156357846,50,3,0.70930081300813,1.4998087874658204,0.2095521064301552,0.0811470805617147,block,True,0.19069918699187005,abs,True
resnet50,HCC,shipped,patient,1,6.0,7.0,block,471.0,1941.0,0.01781608521316605,0.008299552070000693,0.03816861934905078,0.0018864737028818704,0.10714490162189105,50,3,0.8060175167439464,1.6949017858409394,0.0928696548171045,0.1011128284389489,block,True,0.09398248325605363,abs,True
resnet50,IDC,audited,donor,IDC_JanesickSample1,1.0,2.0,donor,4010.0,28521.0,0.06890730560014219,0.014865036250822163,0.18390599641974248,0.042657118106403685,0.9367302625854482,50,1,0.9035826203423648,6.717391020021311,0.0615291037492483,0.0348882759083869,donor,False,-0.003582620342364784,abs,True
resnet50,IDC,audited,donor,NCBI783,1.0,2.0,donor,28521.0,3005.0,0.02604177914910556,0.004822519118848914,0.0748755001291453,0.022212709449566215,0.8681983625578924,50,1,0.7924392678868553,5.809595212231334,0.0213910149750416,0.1861697171381031,donor,False,0.10756073211314476,abs,True
resnet50,IDC,audited,donor,NCBI785,1.0,2.0,donor,3005.0,4010.0,0.03161307565510166,0.01018136077561703,0.1064229947173275,0.023957231234515874,0.7498131182407819,50,1,0.831715710723192,5.13918040904157,0.1300798004987531,0.0382044887780548,donor,False,0.06828428927680807,abs,True
resnet50,IDC,audited,patient,0,1.0,2.0,patient,3005.0,20761.0,0.03232344908561832,0.006068367514650851,0.10419681884615806,0.013886291771753267,0.56521056485713,50,3,0.8544013615272226,4.747242152312372,0.0281672366456336,0.1174314018271438,patient,False,0.04559863847277745,abs,True
resnet50,IDC,audited,patient,1,1.0,2.0,patient,3005.0,7760.0,0.040828113617400935,0.006002977543305736,0.16720186441359755,0.02030726589768775,0.528300693750791,50,3,0.8853900343642612,4.855011240072087,0.1010034364261168,0.0136065292096219,patient,False,0.014609965635738797,abs,True
resnet50,IDC,audited,patient,2,1.0,2.0,patient,3005.0,4010.0,0.047040174934665,0.01361291956145472,0.1403380489921614,0.043693415433365135,0.7354833564062453,50,3,0.7741612635078968,4.832818467705338,0.1961014131338321,0.0297373233582709,patient,False,0.1258387364921032,abs,True
