encoder,task,label_set,design,arm,fold,slide,n_genes,n_test,coverage,width_mean,sum_miss_above,sum_miss_below,abs_b_over_sy,b_over_sy_signed,log_w_ratio,w_star_over_w_hat,w_hat,calibration_unit,miss_asymmetry,shortfall,group,uses_test_labels,scope,n,r2,intercept,coef_level,t_level,p_level,share_level,coef_scale,t_scale,p_scale,share_scale,n_tasks,n_folds,mean_shortfall,mean_abs_b_over_sy,mean_miss_asymmetry,mean_w_star_over_w_hat,superseded_label_set
hoptimus0,CCRCC,shipped,donor,a1,INT19,INT19,50.0,4948.0,0.9759350579358664,2.0811602547729806,3.014955537590946,0.5947857720291027,0.21996835898545644,-0.0530712741891119,-0.4222070550899325,0.6552197817645181,1.0405801273864903,donor,0.6704551816807569,-0.07593505793586641,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT2,INT2,50.0,2580.0,0.9212222222222223,2.102066518306397,6.366279069767442,5.450387596899225,0.4972852653213361,-0.09465258243292263,-0.14267496742802174,0.8843742942874075,1.0510332591531986,donor,0.07750844622298027,-0.021222222222222253,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT20,INT20,50.0,4860.0,0.9658244170096022,2.0447961006029916,2.716666666666667,2.4096707818930043,0.540225334190349,-0.1929618512937781,-0.32691128378456774,0.7250979110057691,1.0223980503014958,donor,0.05988600786706268,-0.06582441700960218,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT21,INT21,50.0,4975.0,0.9339671691792294,2.3164378871189153,8.69286432160804,1.2120603015075377,0.33202116953782246,0.05192181368733474,-0.2400114043067629,0.795882707487387,1.1582189435594576,donor,0.75526107514662,-0.03396716917922937,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT22,INT22,50.0,3829.0,0.8689892922434056,1.9261223606646787,12.85870984591277,6.792896317576391,0.46939490198509465,0.02921991190997989,-0.032977640726960085,0.9753239852264273,0.9630611803323393,donor,0.308667570369189,0.031010707756594424,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT23,INT23,50.0,4755.0,0.8598247458815281,2.2608229418311443,19.439537329127234,1.586750788643533,0.7139770096276714,0.2619019911468157,-0.03584764957597573,0.9789225203262407,1.1304114709155721,donor,0.8490698139627924,0.04017525411847189,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT24,INT24,50.0,4510.0,0.9190022172949002,2.1280060982319267,11.199556541019955,0.950110864745011,0.3015810027190262,0.09670202830382116,-0.16433470460546565,0.8797669747561033,1.0640030491159633,donor,0.8435988685099006,-0.019002217294900148,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT3,INT3,50.0,2007.0,0.9619199468526822,2.3633778946455117,4.210264075734928,1.5017438963627305,0.4096384182802477,-0.059683182950213465,-0.38105130678168675,0.6917010977093536,1.1816889473227559,donor,0.47418004187020235,-0.061919946852682206,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT4,INT4,50.0,1349.0,0.8758191252779837,2.0183267867724863,1.3343217197924389,17.292809488510006,1.1688804106164823,-0.43776573432598515,-0.054887731380116475,0.9859133796511879,1.0091633933862432,donor,-0.8567335243553009,0.024180874722016354,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT5,INT5,50.0,1186.0,0.27085441259134346,1.9613220109132685,108.58347386172007,0.7883642495784148,1.9808157511571272,1.52245627737504,0.8458659358482162,2.365145359121221,0.9806610054566344,donor,0.9855837798250009,0.6291455874086566,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT6,INT6,50.0,1678.0,0.8902940007945969,2.147375306227487,8.690703218116806,7.765196662693683,0.42933759815974176,-0.06117583577794115,-0.054820136509843555,0.9529750028024773,1.0736876531137436,donor,0.0562416253214066,0.00970599920540316,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT7,INT7,50.0,2374.0,0.85722549845549,2.000095854441253,16.44481887110362,4.971356360572873,0.5480438593218738,0.06704657060176564,-0.015232639715126808,1.0107207321975218,1.0000479272206264,donor,0.535738169230164,0.04277450154451001,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT8,INT8,50.0,1949.0,0.7560013682230203,2.018837059720114,32.69214982042073,3.9076449461262186,0.619493606054112,0.36725846101454046,0.19682824864081536,1.2352083693708344,1.009418529860057,donor,0.7864662918985603,0.1439986317769797,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT9,INT9,50.0,1696.0,0.9188757861635221,2.2761216719869926,5.896816037735849,6.271816037735849,0.4096455294101301,-0.09035637213298722,-0.14743037909644163,0.8602754647445788,1.1380608359934963,donor,-0.030816939625932745,-0.018875786163522035,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,0,INT13,50.0,4359.0,0.934685325380439,2.5057685142316273,8.78435420968112,1.0128469832530396,0.43992695800856246,0.1688655859465082,-0.24194698683910712,0.8071255298203619,1.2528842571158136,patient,0.7932374841942584,-0.034685325380439,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,0,INT14,50.0,4562.0,0.9733684056700277,2.5057685142316286,3.5078912757562475,0.4868478737395879,0.3423328853975053,0.07558275774220467,-0.42834259616215403,0.6551033302311436,1.2528842571158143,patient,0.7562554872695347,-0.07336840567002767,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,0,INT15,50.0,4940.0,0.9485465587044534,2.505768514231629,6.0346153846153845,1.6834008097165993,0.4776329521758287,0.07224416640787527,-0.3367518229334215,0.7263683660812318,1.2528842571158145,patient,0.5637737036745613,-0.048546558704453346,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,0,INT24,50.0,4510.0,0.9448189209164819,2.505768514231628,7.815742793791574,0.4614190687361419,0.32571226768318023,0.06688851982572347,-0.3310274076541198,0.7441065912418661,1.252884257115814,patient,0.8885079024912937,-0.044818920916481875,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,1,INT10,50.0,1983.0,0.8181845688350983,1.9886353050699908,23.24861321230459,4.023701462430661,0.31469660137221295,0.20892256111676485,0.1457506126184024,1.160098475758968,0.9943176525349954,patient,0.7049240953384737,0.08181543116490175,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,1,INT11,50.0,1439.0,0.7545100764419735,1.9886353050699956,7.612230715774844,29.211257817929116,0.7034474622639352,-0.29019893061815927,0.20932787827593188,1.2364666078913298,0.9943176525349977,patient,-0.5865557002396724,0.14548992355802648,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,1,INT12,50.0,1451.0,0.7505903974270618,1.9886353050699954,3.9303928325292903,33.48104755341144,0.9466351065514226,-0.42163979327836715,0.19051213619187282,1.2140515364205053,0.9943176525349977,patient,-0.7898828384054233,0.14940960257293823,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,1,INT9,50.0,1696.0,0.8279166666666666,1.9886353050699923,7.620283018867925,18.192216981132077,0.5939709774342214,-0.19304967012028565,0.08788351382031497,1.0922201584573774,0.9943176525349962,patient,-0.4095664489012747,0.07208333333333339,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,2,INT23,50.0,4755.0,0.8497160883280757,2.3154698000320035,20.289169295478445,2.2534174553101995,0.65788132784653,0.2269361894844701,-0.058008760021987356,0.928613564166877,1.1577349000160018,patient,0.8000746338277825,0.050283911671924364,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,2,INT6,50.0,1678.0,0.8835121176003179,2.3154698000319858,6.836710369487485,10.63647199046484,0.43816706583829124,-0.04886679063148202,-0.09311542184676035,0.8801096200963944,1.1577349000159929,patient,-0.217462482946794,0.01648788239968213,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,2,INT7,50.0,2374.0,0.885035102499298,2.315469800031985,14.56402695871946,2.6807076663858465,0.5396097519095853,0.1993197507042647,-0.13043008471650405,0.8785193414119427,1.1577349000159924,patient,0.6890984147145753,0.014964897500702068,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,2,INT8,50.0,1949.0,0.7653805370275355,2.315469800031986,29.739353514622884,5.453565931246793,0.7961012646607387,0.4769423124606361,0.17351312800544572,1.172444358669274,1.157734900015993,patient,0.6900759574871339,0.13461946297246452,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,3,INT2,50.0,2580.0,0.8436821705426357,1.9211833943074434,5.888372093023256,17.559302325581395,0.7927116227226293,-0.27941897584469344,-0.015378397007099042,1.029320566633709,0.9605916971537217,patient,-0.49774361517480775,0.0563178294573643,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,3,INT3,50.0,2007.0,0.8296329513369872,1.9211833943074448,3.1449925261584455,22.410064773293474,0.9229313002807614,-0.3912778839317112,-0.004629853431175224,1.0341779714084651,0.9605916971537224,patient,-0.7538653512449063,0.0703670486630128,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,3,INT4,50.0,1349.0,0.8653026933531012,1.9211833943074437,1.8532246108228319,18.35137138621201,1.096874125537388,-0.4087704547805396,-0.07646226785471155,0.9680009799138257,0.9605916971537218,patient,-0.8165541532139713,0.03469730664689885,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,3,INT5,50.0,1186.0,0.26684654300168636,1.9211833943074426,109.54215851602024,0.4308600337268128,2.0041407334020405,1.5413305017022494,0.8793214469465053,2.451035731303452,0.9605916971537213,patient,0.9921642592081454,0.6331534569983137,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,4,INT1,50.0,1084.0,0.7948585485854859,2.1905300579568046,3.364391143911439,27.406826568265682,1.307321281359574,-0.3737269569840177,-0.0781583771607186,0.9736574924535105,1.0952650289784023,patient,-0.7813286964863891,0.10514145141451414,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,4,INT20,50.0,4860.0,0.9683045267489712,2.1905300579568054,2.460493827160494,2.2938271604938274,0.4442995328275785,-0.13631361627102562,-0.44716412648694426,0.65082952600304,1.0952650289784027,patient,0.03505582965463513,-0.06830452674897114,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,4,INT21,50.0,4975.0,0.9174445561139029,2.1905300579568063,10.160402010050252,2.2229145728643216,0.3184152389454994,0.05948357549909706,-0.17083679192051926,0.8520154098958977,1.0952650289784032,patient,0.6409823559011151,-0.01744455611390283,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,4,INT22,50.0,3829.0,0.9228675894489423,2.190530057956804,9.35910159310525,2.210759989553408,0.43086422968873783,0.03732126926657562,-0.2011065474554121,0.8344836980539451,1.095265028978402,patient,0.6178415837114287,-0.022867589448942294,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,5,INT16,50.0,3206.0,0.9488271990018715,2.3297002230172033,6.864628820960698,0.8112913287585777,0.32878867715162985,0.08492896222204036,-0.34685241704401854,0.7279961569765797,1.1648501115086016,patient,0.7886139217359504,-0.04882719900187149,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,5,INT17,50.0,3585.0,0.9628953974895397,2.329700223017203,3.7693165969316595,1.796373779637378,0.41799641372575863,-0.06367284658496182,-0.3928803133474144,0.6803437811630715,1.1648501115086014,patient,0.3544830351325615,-0.06289539748953965,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,5,INT18,50.0,4915.0,0.8939925398440148,2.3297002230171917,10.98087487283825,4.920244150559512,0.5079551872073306,0.07867118976664712,-0.10917645259015418,0.9188459921307839,1.1648501115085959,patient,0.3811449190060649,0.006007460155985189,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,patient,a1,5,INT19,50.0,4948.0,0.9831999461061709,2.3297002230171917,1.8328617623282135,0.6871463217461601,0.265303865502835,-0.07157720990928451,-0.526414296342259,0.5870758628057887,1.1648501115085959,patient,0.45464752586414314,-0.08319994610617087,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,COAD,shipped,donor,a1,COAD_Oliveira_P1,TENX149,50.0,3620.0,0.9003020257826887,3.457901893738842,4.154972375690607,10.799723756906078,0.4152218116921101,-0.2809576977771224,-0.08416461681267817,0.9123182569893264,1.7289509468694215,donor,-0.44432540268952275,-0.0003020257826886752,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,COAD,shipped,donor,a1,COAD_Oliveira_P2,TENX148,50.0,3535.0,0.8356869401225837,3.065596850798076,19.692786421499292,4.954172560113154,0.410365692392742,0.3335886750271449,0.10266733788886855,1.1604595880305222,1.532798425399038,donor,0.5979891422865472,0.06431305987741631,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,COAD,shipped,donor,a1,COAD_Oliveira_P5,TENX147,50.0,3417.0,0.891198907423666,3.46177240743999,11.26163301141352,5.058530875036582,0.22691100120174434,0.1152947395945989,-0.04621378700227969,0.9100095732734134,1.730886203719995,donor,0.38008822580066703,0.008801092576333991,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,COAD,shipped,donor,a1,COAD_donor_TENX111,TENX111,50.0,5079.0,0.8524486447463411,3.0380500986366865,10.852333136444182,11.280370151604647,0.8261529910996656,-0.14348791435954097,-0.003407521964718557,1.063416435394006,1.5190250493183433,donor,-0.01933957228765612,0.047551355253658945,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,COAD,shipped,patient,a1,1,TENX111,50.0,5079.0,0.8453829493994881,3.0559202555876945,10.542626501279779,12.649931088797008,0.8534835509656996,-0.2047229900106762,0.014622569495448193,1.063416096306446,1.5279601277938473,slide,-0.09086124198819988,0.05461705060051192,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,IDC,audited,donor,a1,IDC_JanesickSample1,TENX95,50.0,7760.0,0.9173221649484536,5.458869297522747,3.4512886597938146,0.6826030927835052,0.6950463011979083,0.4766985524424691,-0.32615200494394997,0.741976318395995,2.7294346487613734,donor,0.6697527977804795,-0.017322164948453622,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,True
hoptimus0,IDC,audited,donor,a1,IDC_JanesickSample1,TENX99,50.0,20761.0,0.9177448099802514,5.458869297523008,1.8249120947931217,2.287847406194307,1.0498045685072908,-0.2004887605657659,-0.38115446409708864,0.6980174010999888,2.729434648761504,donor,-0.11256075423083686,-0.017744809980251408,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,True
hoptimus0,IDC,audited,donor,a1,NCBI783,NCBI783,50.0,3005.0,0.8577371048252913,4.427139978800324,2.459567387687188,4.653577371048253,0.5803153051580389,-0.42450595256691565,0.009374467441791268,0.9802325532326726,2.213569989400162,donor,-0.30844444444444447,0.042262895174708714,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,True
hoptimus0,IDC,audited,donor,a1,NCBI785,NCBI785,50.0,4010.0,0.7261745635910225,3.8195308043265737,11.88079800498753,1.8104738154613467,0.9502124354856769,0.5811334213024305,0.17912063290636532,1.179571379123518,1.9097654021632868,donor,0.7355287603365998,0.17382543640897752,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,True
hoptimus0,IDC,audited,patient,a1,0,TENX99,50.0,20761.0,0.8552693351315768,3.8636573926756976,6.663937189923414,15.04566254034006,0.9533208917822643,-0.38532108043577257,-0.08875584289754593,0.9443248776335689,1.9318286963378488,patient,-0.38608382718048967,0.04473066486842325,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,True
hoptimus0,IDC,audited,patient,a1,1,TENX95,50.0,7760.0,0.8506907216494846,4.163454394664883,18.651288659793813,3.745103092783505,0.610025810738794,0.5709423251005721,-0.14892431390689356,0.906740944405007,2.0817271973324414,patient,0.6655619231742963,0.04930927835051546,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,True
hoptimus0,IDC,audited,patient,a1,2,NCBI785,50.0,4010.0,0.6653582709891936,3.7669582527903467,46.05960099750624,4.136658354114713,1.0663632434694954,0.8838872348799238,0.2809477790183386,1.281194502710012,1.8834791263951733,patient,0.8351806127569092,0.23464172901080638,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,True
hoptimus0,IDC,audited,patient,a1,3,NCBI783,50.0,3005.0,0.8609717138103161,4.049399902519197,7.9094841930116475,12.944758735440931,0.4960372514633071,-0.1794968307411438,-0.03472804776317435,0.9343306507403362,2.0246999512595987,patient,-0.24145084334657793,0.0390282861896839,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,True
hoptimus0,IDC,audited,slide_out,a1,NCBI783,NCBI783,50.0,3005.0,0.8948907376594565,4.353611366785785,7.420299500831947,8.346089850249584,0.4681591353387468,-0.055064423871572274,-0.15136510711305307,0.8580253387943613,2.1768056833928924,slide,-0.058719236776562954,0.005109262340543541,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,True
hoptimus0,IDC,audited,slide_out,a1,NCBI785,NCBI785,50.0,4010.0,0.6496309226932668,3.6220694736313166,48.02094763092269,4.534413965087282,1.0571002861286458,0.851221153031409,0.33411960544180763,1.2969192254553026,1.8110347368156583,slide,0.8274423835214736,0.2503690773067332,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,True
hoptimus0,IDC,audited,slide_out,a1,TENX95,TENX95,50.0,7760.0,0.8738135738831615,4.559449993243131,15.901030927835052,3.0269329896907218,0.6105600990781184,0.5838150869514132,-0.23153168632277077,0.8257338240234119,2.2797249966215656,slide,0.680162852921753,0.026186426116838524,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,True
hoptimus0,IDC,audited,slide_out,a1,TENX99,TENX99,50.0,20761.0,0.872100573190116,4.074445454021247,6.423727180771639,12.761186840710948,0.9612761289798887,-0.3727786644637708,-0.16160663958200513,0.8843051785982038,2.0372227270106236,slide,-0.330335577883896,0.027899426809883998,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,True
hoptimus0,IDC,shipped,donor,a1,IDC_shipped_patient_1,TENX99,50.0,20761.0,0.8739424883194452,4.107401633893559,6.6203940079957615,12.288232744087471,0.9610569037927966,-0.3658119214482505,-0.17176535796705178,0.8751377349229205,2.0537008169467796,donor,-0.2997488294842598,0.026057511680554812,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,IDC,shipped,donor,a1,IDC_shipped_patient_2,TENX95,50.0,7760.0,0.8727396907216494,4.528781360085063,16.26172680412371,2.827319587628866,0.6125232545666688,0.5999570290733842,-0.24207045267366037,0.8288142148136675,2.2643906800425313,donor,0.7037757120386684,0.02726030927835066,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,IDC,shipped,donor,a1,NCBI783,NCBI783,50.0,3005.0,0.875161397670549,4.040651369388388,9.239267886855242,9.486522462562396,0.4463680701754993,-0.06548832808240229,-0.0553041889873916,0.9213416825896136,2.020325684694194,donor,-0.01320395941070889,0.02483860232945101,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,IDC,shipped,donor,a1,NCBI785,NCBI785,50.0,4010.0,0.6338420615128845,3.6312204718745096,50.815960099750626,4.107730673316708,1.0782120051827948,0.915425952630325,0.34798713399159725,1.3124036991835166,1.8156102359372548,donor,0.8504204427816422,0.26615793848711555,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,IDC,shipped,patient,a1,0,TENX99,50.0,20761.0,0.8484222018849445,3.746566387007687,7.203843745484321,15.532825971773999,0.9620530407716107,-0.3767927323438802,-0.06568269654392718,0.9661512781650897,1.8732831935038434,patient,-0.3663237549678415,0.05157779811505547,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,IDC,shipped,patient,a1,1,TENX95,50.0,7760.0,0.8504398625429553,4.145307207569176,18.534149484536083,3.8998711340206187,0.6157519226028764,0.5801801870815692,-0.14149252173621285,0.9080040876314104,2.072653603784588,patient,0.6523252607876477,0.049560137457044684,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,IDC,shipped,patient,a1,2,NCBI785,50.0,4010.0,0.6737888611803823,3.7622707540406655,44.789027431421445,4.142643391521197,1.0300107609792222,0.8170464272694338,0.2649329367000359,1.251428985225903,1.8811353770203327,patient,0.8306763974395563,0.22621113881961774,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,IDC,shipped,patient,a1,3,NCBI783,50.0,3005.0,0.8603061564059901,3.9990055099036605,8.451580698835274,12.502495840266223,0.502440196765037,-0.19184738763348227,-0.029575673921358264,0.9411308173183015,1.9995027549518303,patient,-0.1933234869058396,0.03969384359400996,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,LYMPH_IDC,shipped,donor,a1,Patient_3,NCBI684,50.0,4992.0,0.9221794871794871,2.565788412709243,10.340745192307692,1.3323317307692308,0.4484238681079221,0.013009054930336104,-0.3121002106072834,0.723226878116753,1.2828942063546216,donor,0.7717257001647445,-0.022179487179487034,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,LYMPH_IDC,shipped,donor,a1,Patient_6,NCBI683,50.0,4992.0,0.8424131944444445,2.6743605573867297,11.479767628205128,12.158253205128204,0.8998830477233783,-0.060502949462477223,-0.32932102691746773,0.7325717217436382,1.3371802786933646,donor,-0.02870314658350352,0.05758680555555551,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,LYMPH_IDC,shipped,donor,a1,Patient_7,NCBI682,50.0,4988.0,0.6207805399625769,1.7935515148874541,53.06916599839615,3.8137530072173216,0.8731514626352996,0.4885308002473522,0.5130050648107843,1.6646765318360055,0.8967757574437271,donor,0.8659086743828683,0.27921946003742315,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
