encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_cal_spots,n_cal_slides,n_pool_spots,n_train_natural,n_train_matched,n_match_target,n_train_buffer_dropped,n_blocks_total,n_test,n_test_slides,test_slides,cal_slides,cal_shares_donor_with_test,cal_shares_session_with_test,cal_shares_resolution_group_with_test,cal_shares_exact_session_with_test,cal_status,size_match
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND153,-1,0,slide,8,2,6329,2,60890,54561,46244,46244,0,,1820,1,MEND153,MEND156;MEND161,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND153,-1,1,slide,8,2,6592,2,60890,54298,46244,46244,0,,1820,1,MEND153,MEND154;MEND159,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND153,-1,2,slide,8,2,7171,2,60890,53719,46244,46244,0,,1820,1,MEND153,MEND158;MEND160,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND154,-1,0,slide,15,4,7501,4,59974,52473,46244,46244,0,,2736,1,MEND154,MEND140;MEND146;MEND149;MEND150,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND154,-1,1,slide,15,4,10461,4,59974,49513,46244,46244,0,,2736,1,MEND154,MEND139;MEND142;MEND146;MEND150,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND154,-1,2,slide,15,4,7182,4,59974,52792,46244,46244,0,,2736,1,MEND154,MEND140;MEND141;MEND148;MEND153,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND156,-1,0,slide,15,4,11509,4,59156,47647,46244,46244,0,,3554,1,MEND156,MEND139;MEND140;MEND144;MEND150,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND156,-1,1,slide,15,4,10124,4,59156,49032,46244,46244,0,,3554,1,MEND156,MEND144;MEND146;MEND147;MEND150,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND156,-1,2,slide,15,4,10195,4,59156,48961,46244,46244,0,,3554,1,MEND156,MEND140;MEND144;MEND147;MEND149,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND157,-1,0,slide,15,4,9587,4,59520,49933,46244,46244,0,,3190,1,MEND157,MEND139;MEND145;MEND151;MEND153,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND157,-1,1,slide,15,4,8770,4,59520,50750,46244,46244,0,,3190,1,MEND157,MEND140;MEND145;MEND147;MEND152,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND157,-1,2,slide,15,4,8258,4,59520,51262,46244,46244,0,,3190,1,MEND157,MEND141;MEND145;MEND146;MEND152,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND158,-1,0,slide,15,4,9197,4,59618,50421,46244,46244,0,,3092,1,MEND158,MEND139;MEND146;MEND148;MEND149,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND158,-1,1,slide,15,4,9049,4,59618,50569,46244,46244,0,,3092,1,MEND158,MEND143;MEND145;MEND146;MEND149,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND158,-1,2,slide,15,4,10999,4,59618,48619,46244,46244,0,,3092,1,MEND158,MEND142;MEND143;MEND147;MEND149,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND159,-1,0,slide,15,4,7965,4,58854,50889,46244,46244,0,,3856,1,MEND159,MEND141;MEND150;MEND151;MEND153,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND159,-1,1,slide,15,4,9635,4,58854,49219,46244,46244,0,,3856,1,MEND159,MEND143;MEND147;MEND148;MEND149,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND159,-1,2,slide,15,4,10475,4,58854,48379,46244,46244,0,,3856,1,MEND159,MEND139;MEND140;MEND141;MEND142,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND160,-1,0,slide,15,4,12387,4,58631,46244,46244,46244,0,,4079,1,MEND160,MEND139;MEND144;MEND146;MEND151,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND160,-1,1,slide,15,4,9130,4,58631,49501,46244,46244,0,,4079,1,MEND160,MEND142;MEND145;MEND148;MEND152,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND160,-1,2,slide,15,4,10458,4,58631,48173,46244,46244,0,,4079,1,MEND160,MEND144;MEND146;MEND151;MEND153,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND161,-1,0,slide,15,4,6814,4,59935,53121,46244,46244,0,,2775,1,MEND161,MEND141;MEND145;MEND149;MEND150,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND161,-1,1,slide,15,4,8905,4,59935,51030,46244,46244,0,,2775,1,MEND161,MEND143;MEND145;MEND149;MEND153,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND161,-1,2,slide,15,4,8586,4,59935,51349,46244,46244,0,,2775,1,MEND161,MEND145;MEND147;MEND150;MEND152,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND162,-1,0,slide,15,4,9554,4,60101,50547,46244,46244,0,,2609,1,MEND162,MEND140;MEND141;MEND144;MEND150,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND162,-1,1,slide,15,4,8620,4,60101,51481,46244,46244,0,,2609,1,MEND162,MEND139;MEND145;MEND148;MEND153,False,False,False,,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND162,-1,2,slide,15,4,10102,4,60101,49999,46244,46244,0,,2609,1,MEND162,MEND140;MEND143;MEND150;MEND151,False,False,False,,ok,task
