task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,scope,n_folds
CCRCC,shipped,hoptimus0,patient,abs,1,neoplastic_fraction_tertile,1,265500,196960,0.7418455743879473,1.9886353015899656,1.1057859659194946,fold,
CCRCC,shipped,hoptimus0,patient,abs,1,neoplastic_fraction_tertile,2,8850,6503,0.7348022598870056,1.9886351823806765,1.092731475830078,fold,
CCRCC,shipped,hoptimus0,patient,abs,2,neoplastic_fraction_tertile,0,625950,530761,0.84792874830258,2.315469741821289,0.5523931384086609,fold,
CCRCC,shipped,hoptimus0,patient,abs,2,neoplastic_fraction_tertile,1,321300,272377,0.8477342047930283,2.315469980239868,0.6174356341362,fold,
CCRCC,shipped,hoptimus0,patient,abs,2,neoplastic_fraction_tertile,2,200100,169444,0.8467966016991504,2.315469980239868,0.5717872381210327,fold,
CCRCC,shipped,hoptimus0,patient,abs,3,neoplastic_fraction_tertile,0,577500,484267,0.8385575757575757,1.9211833477020264,0.7347358465194702,fold,
CCRCC,shipped,hoptimus0,patient,abs,3,neoplastic_fraction_tertile,1,346350,264492,0.7636552620181897,1.921183466911316,0.7807543873786926,fold,
CCRCC,shipped,hoptimus0,patient,abs,3,neoplastic_fraction_tertile,2,130500,37204,0.285088122605364,1.921183466911316,0.7971212863922119,fold,
CCRCC,shipped,hoptimus0,patient,abs,4,neoplastic_fraction_tertile,0,288450,271822,0.9423539608250996,2.1905300617218018,0.4629355072975158,fold,
CCRCC,shipped,hoptimus0,patient,abs,4,neoplastic_fraction_tertile,1,457650,411026,0.8981230197749371,2.1905300617218018,0.6041092276573181,fold,
CCRCC,shipped,hoptimus0,patient,abs,4,neoplastic_fraction_tertile,2,993600,918278,0.9241928341384864,2.1905298233032227,0.5569321513175964,fold,
CCRCC,shipped,hoptimus0,patient,abs,5,neoplastic_fraction_tertile,0,623700,608447,0.9755443322109988,2.329700231552124,0.2159206867218017,fold,
CCRCC,shipped,hoptimus0,patient,abs,5,neoplastic_fraction_tertile,1,664350,637273,0.9592428689696696,2.329700231552124,0.3607481122016907,fold,
CCRCC,shipped,hoptimus0,patient,abs,5,neoplastic_fraction_tertile,2,1197000,1104444,0.9226766917293232,2.329699993133545,0.5732771754264832,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,0,4389,4217,0.9608111187058556,2.7694008350372314,0.1146465092897415,fold,
