level,task,label_set,design,encoder,score,test_slide,n_draws_share,n_draws_noshare,K_share,K_noshare,coverage_share,coverage_noshare,coverage_diff_share_minus_noshare,width_share,width_noshare,width_diff_share_minus_noshare,cal_slides_share,cal_slides_noshare,res_group_shared_share,res_group_shared_noshare,session_shared_share,session_shared_noshare
pair,PRAD,shipped,slide_out,ctranspath,scaled,MEND159,2,1,6.0,6.0,0.9655394190871369,0.9669242738589212,-0.001384854771784294,3.3150701655335246,3.373426957733054,-0.058356792199529384,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,ctranspath,scaled,MEND160,2,1,6.0,6.0,0.9685658249570973,0.9557538612405,0.012811963716597319,2.5354764647218753,2.253263714535807,0.2822127501860683,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,ctranspath,scaled,MEND162,2,1,6.0,6.0,0.8525948639325412,0.9040935224223842,-0.05149865848984292,1.2545429698236292,1.6018766116196892,-0.34733364179605997,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159 | MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,False
pair,PRAD,shipped,slide_out,gigapath,abs,MEND156,2,1,6.0,6.0,0.7392037141249297,0.6886268992684299,0.050576814856499785,2.018195610605448,1.6945441792229434,0.3236514313825045,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,gigapath,abs,MEND157,2,1,6.0,6.0,0.8595862068965517,0.7683510971786833,0.09123510971786841,2.0759673209136453,1.6713176032674435,0.40464971764620183,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,gigapath,abs,MEND159,2,1,6.0,6.0,0.664878112033195,0.4891026970954357,0.17577541493775933,2.035001688516407,1.5739696469887434,0.4610320415276634,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,gigapath,abs,MEND160,2,1,6.0,6.0,0.9257857317970091,0.8176317724932582,0.10815395930375082,2.5653175990216903,1.6814087254008894,0.883908873620801,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,gigapath,abs,MEND162,2,1,6.0,6.0,0.9682943656573401,0.9506477577615944,0.01764660789574568,1.9584450747372935,1.7879612828650815,0.17048379187221196,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159 | MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,False
pair,PRAD,shipped,slide_out,gigapath,scaled,MEND156,2,1,6.0,6.0,0.8003685987619583,0.7949971862689926,0.005371412492965688,2.226185187978655,2.147791816750575,0.07839337122807999,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,gigapath,scaled,MEND157,2,1,6.0,6.0,0.939692789968652,0.9101504702194356,0.029542319749216395,2.5028877846557345,2.1770218519582203,0.3258659326975142,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,gigapath,scaled,MEND159,2,1,6.0,6.0,0.9601607883817428,0.9269242738589212,0.033236514522821614,3.5474327648718487,2.981617075579402,0.5658156892924469,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,gigapath,scaled,MEND160,2,1,6.0,6.0,0.9565996567786221,0.9640156901201274,-0.007416033341505313,2.496083546702436,2.4053705864332917,0.0907129602691441,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,gigapath,scaled,MEND162,2,1,6.0,6.0,0.8906899195093906,0.9291299348409352,-0.03844001533154462,1.259986199182359,1.4548241440200989,-0.19483794483773975,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159 | MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,False
pair,PRAD,shipped,slide_out,hoptimus0,abs,MEND156,2,1,6.0,6.0,0.7443978615644344,0.6852841868317389,0.059113674732695576,2.0277593594733716,1.6554429567776705,0.3723164026957011,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus0,abs,MEND157,2,1,6.0,6.0,0.8594357366771159,0.7633354231974921,0.09610031347962378,2.034670563383826,1.6165403159400251,0.4181302474438009,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus0,abs,MEND159,2,1,6.0,6.0,0.6859465767634856,0.5080705394190871,0.1778760373443985,1.989586203905512,1.5375364361909696,0.4520497677145425,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus0,abs,MEND160,2,1,6.0,6.0,0.9204658004412845,0.8024662907575386,0.11799950968374584,2.474123905178936,1.6347249559705468,0.8393989492083891,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus0,abs,MEND162,2,1,6.0,6.0,0.9551054043694902,0.936427750095822,0.018677654273668187,1.9828893239926417,1.7510129939019938,0.2318763300906479,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159 | MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,False
pair,PRAD,shipped,slide_out,hoptimus0,scaled,MEND156,2,1,6.0,6.0,0.8025886325267304,0.7971018570624647,0.005486775464265681,2.206694204464071,2.1220045532033613,0.08468965126070982,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus0,scaled,MEND157,2,1,6.0,6.0,0.9367241379310344,0.9210094043887148,0.01571473354231956,2.4236400764946873,2.2166622874005326,0.20697778909415465,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus0,scaled,MEND159,2,1,6.0,6.0,0.9548988589211618,0.8697199170124482,0.08517894190871356,3.3638196438819783,2.676060555082014,0.6877590887999645,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus0,scaled,MEND160,2,1,6.0,6.0,0.9488771757783769,0.961122824221623,-0.012245648443246049,2.4364184333057963,2.3452270755080233,0.09119135779777299,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus0,scaled,MEND162,2,1,6.0,6.0,0.8246109620544269,0.88488309697202,-0.06027213491759309,1.1932116067183869,1.3372547148008078,-0.14404310808242093,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159 | MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,False
pair,PRAD,shipped,slide_out,hoptimus1,abs,MEND156,2,1,6.0,6.0,0.7437619583567809,0.6801857062464828,0.06357625211029816,1.9986402412758237,1.6489110451329645,0.34972919614285924,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus1,abs,MEND157,2,1,6.0,6.0,0.856576802507837,0.7564388714733542,0.10013793103448276,2.028753739531747,1.6148920454744762,0.4138616940572708,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus1,abs,MEND159,2,1,6.0,6.0,0.703143153526971,0.5248495850622407,0.17829356846473032,2.0071468005436963,1.5176519988807398,0.48949480166295656,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus1,abs,MEND160,2,1,6.0,6.0,0.9294067173326797,0.813875949987742,0.11553076734493761,2.4067848923492816,1.6304316347099066,0.776353257639375,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus1,abs,MEND162,2,1,6.0,6.0,0.9624377155998468,0.943219624377156,0.019218091222690803,1.943882433680041,1.769883365077881,0.1739990686021602,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159 | MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,False
pair,PRAD,shipped,slide_out,hoptimus1,scaled,MEND156,2,1,6.0,6.0,0.8001209904333146,0.7828868880135059,0.017234102419808717,2.206116153285443,2.0923544567016847,0.11376169658375845,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus1,scaled,MEND157,2,1,6.0,6.0,0.9260658307210032,0.9059811912225706,0.020084639498432644,2.375231990611509,2.1176272451565383,0.2576047454549708,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus1,scaled,MEND159,2,1,6.0,6.0,0.9427152489626556,0.8495695020746887,0.09314574688796684,3.325788572604124,2.532903365629265,0.7928852069748586,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus1,scaled,MEND160,2,1,6.0,6.0,0.9512576611914685,0.9464035302770288,0.004854130914439647,2.363276082230214,2.176367270834896,0.18690881139531834,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,hoptimus1,scaled,MEND162,2,1,6.0,6.0,0.8240245304714451,0.8762054426983518,-0.052180912226906684,1.0734144614409948,1.1982796898647352,-0.12486522842374037,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159 | MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,False
pair,PRAD,shipped,slide_out,phikon,abs,MEND156,2,1,6.0,6.0,0.7145019696117052,0.6852054023635341,0.02929656724817109,2.0002133909296615,1.6994420256609315,0.30077136526873005,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,phikon,abs,MEND157,2,1,6.0,6.0,0.8490062695924765,0.7577931034482759,0.09121316614420061,2.069786534079497,1.637688196015983,0.43209833806351416,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,phikon,abs,MEND159,2,1,6.0,6.0,0.7105575726141079,0.6045643153526971,0.10599325726141084,2.0248384538349082,1.6403898913895925,0.3844485624453158,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,phikon,abs,MEND160,2,1,6.0,6.0,0.9075410639862711,0.8054327040941408,0.1021083598921303,2.3180333300109837,1.6420132248820074,0.6760201051289763,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,phikon,abs,MEND162,2,1,6.0,6.0,0.95608662322729,0.9288386354925258,0.027247987734764223,1.9766764926565994,1.7804142604151576,0.1962622322414418,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159 | MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,False
pair,PRAD,shipped,slide_out,phikon,scaled,MEND156,2,1,6.0,6.0,0.8240348902644907,0.814074282498593,0.009960607765897689,2.4165705051778232,2.2740617917665245,0.14250871341129878,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,phikon,scaled,MEND157,2,1,6.0,6.0,0.9201410658307212,0.9200188087774296,0.00012225705329160785,2.510296158069043,2.3092201608715026,0.20107599719754043,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,phikon,scaled,MEND159,2,1,6.0,6.0,0.9564704356846473,0.9146576763485476,0.041812759336099736,3.3610301731999535,2.71880769319189,0.6422224800080634,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,phikon,scaled,MEND160,2,1,6.0,6.0,0.9569772002941899,0.9565530767344936,0.0004241235596962323,2.4597052756080764,2.254999619798806,0.20470565580927058,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
