task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,3,10619,10114,0.9524437329315378,2.2002718448638916,0.377136766910553
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,4,10701,10263,0.9590692458648724,2.102264642715454,0.4382757842540741
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,5,10557,10077,0.9545325376527423,2.0712685585021973,0.5121619701385498
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,6,11579,11009,0.9507729510320407,2.016146183013916,0.5947384238243103
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,7,15777,14901,0.9444761361475565,1.9696011543273926,0.7181599736213684
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,8,24772,20066,0.8100274503471662,1.914337158203125,0.9192075729370117
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,9,56625,25848,0.45647682119205296,1.830647587776184,1.2195549011230469
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,0,48267,42814,0.8870242608821762,2.134350061416626,-0.00032024900428950787
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,1,35020,31529,0.9003141062250143,2.16375470161438,0.19332000613212585
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,2,27279,24083,0.8828402800689175,2.136990547180176,0.29080623388290405
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,3,23035,19736,0.8567831560668547,2.116140127182007,0.370643675327301
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,4,20821,17324,0.8320445703856684,2.095956325531006,0.44154495000839233
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,5,21154,17062,0.8065614068261322,2.0941414833068848,0.5130661725997925
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,6,23306,18535,0.7952887668411568,2.076106309890747,0.5982306599617004
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,7,27833,20961,0.7530988395070599,2.0464255809783936,0.7185521125793457
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,8,34499,23634,0.6850633351691353,2.0180118083953857,0.8960778713226318
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,9,36236,25805,0.7121371012253008,1.9534953832626343,1.216138243675232
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,0,4283,3562,0.8316600513658651,2.0702574253082275,0.033182382583618164
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,1,6164,5311,0.8616158338741077,2.129920721054077,0.19391535222530365
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,2,7186,6229,0.8668243807403284,2.1338932514190674,0.2876029908657074
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,3,8101,7085,0.8745833847673127,2.1525378227233887,0.36790746450424194
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,4,9159,8171,0.8921279615678568,2.1473031044006348,0.4494381248950958
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,5,10973,9875,0.8999362070536772,2.144312858581543,0.5319123268127441
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,6,14582,13243,0.9081744616650665,2.112624168395996,0.6107652187347412
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,7,21588,19809,0.9175931072818232,2.095446825027466,0.7213475704193115
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,8,35445,31744,0.8955847087036254,2.058199405670166,0.9098021984100342
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,9,98369,65440,0.6652502312720471,1.913390040397644,1.318476915359497
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,0,459,437,0.9520697167755992,2.1453213691711426,0.025675952434539795
