encoder,task,label_set,design,arm,fold,cal_draw,score,calibration_unit,n_T,n_C,n_E,n_test_slides,coverage,width_mean,interval_score,miss_above,miss_below,q_alpha_mean,quantile_infinite,superseded_label_set
uni_v2,CCRCC,shipped,donor,C_unit,INT23,1,abs,donor,24174,7801,4755,1,0.8825446898002105,2.4184739690594683,3.368551292222179,0.1157812828601472,0.0016740273396424815,1.2092369845297448,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT23,1,scaled,donor,24174,7801,4755,1,0.8737581493165087,2.449089832042555,3.4791432254376478,0.125863301787592,0.00037854889589905366,3.1343528561726557,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT23,1,abs,block,24174,7801,4755,1,0.7145446898002102,1.491477721247154,3.9033084866228207,0.2637981072555204,0.021657202944269188,0.7457388606235775,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT23,1,scaled,block,24174,7801,4755,1,0.7186161934805467,1.5070550081553569,3.8814788748041824,0.26829442691903255,0.013089379600420609,1.9211487004667762,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT23,2,abs,donor,35996,13269,4755,1,0.9026498422712934,2.4904172203847224,3.369152451836582,0.09636172450052577,0.0009884332281808624,1.2452086101923627,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT23,2,scaled,donor,35996,13269,4755,1,0.8883028391167196,2.455571734703015,3.4108776213630985,0.10868980021030493,0.0030073606729758146,3.1482455529803555,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT23,2,abs,donor,24295,7960,4755,1,0.9041472134595162,2.4584478076893252,3.3104062687361147,0.09518401682439537,0.0006687697160883281,1.2292239038446597,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT23,2,scaled,donor,24295,7960,4755,1,0.8936109358569925,2.4513527483139823,3.3488196618074744,0.10417245005257626,0.0022166140904311253,3.1232391054369852,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT23,2,abs,block,24295,7960,4755,1,0.7527402733964249,1.5661431204506295,3.4859135828900367,0.22148054679284956,0.025779179810725562,0.7830715602253108,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT23,2,scaled,block,24295,7960,4755,1,0.7353732912723447,1.5070798282211775,3.607757580367305,0.24061409043112508,0.024012618296529977,1.918355379985362,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT24,0,abs,donor,35996,18859,4510,1,0.9313614190687362,2.207933069555483,2.8843707340852554,0.05889578713968959,0.00974279379157428,1.1039665347777328,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT24,0,scaled,donor,35996,18859,4510,1,0.9159113082039912,1.9818647580074507,2.670155737010018,0.0754279379157428,0.008660753880266076,2.6900703826562746,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT24,0,abs,donor,23962,7964,4510,1,0.9298226164079822,2.1880965641632866,2.8650831576906444,0.05979157427937916,0.010385809312638583,1.0940482820816329,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT24,0,scaled,donor,23962,7964,4510,1,0.9128070953436809,1.965878934477311,2.6657535281855944,0.07749889135254989,0.009694013303769405,2.725164102248344,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT24,0,abs,block,23962,7964,4510,1,0.8696629711751668,1.5834681593136133,2.73660128935472,0.09626607538802662,0.0340709534368071,0.7917340796568039,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT24,0,scaled,block,23962,7964,4510,1,0.8417605321507761,1.4176435696702665,2.6978066371717735,0.12702882483370287,0.031210643015521074,1.9463252646522025,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT24,1,abs,donor,35996,24159,4510,1,0.9291929046563192,2.1302873730660044,2.7511538221244227,0.05698004434589801,0.013827050997782708,1.0651436865329975,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT24,1,scaled,donor,35996,24159,4510,1,0.9306031042128601,2.1967136568971783,2.8156860212980344,0.06380487804878049,0.005592017738359203,2.8942367071911166,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT24,1,abs,donor,24148,7928,4510,1,0.9331130820399117,2.1445649209417583,2.747679686549753,0.0596008869179601,0.007286031042128604,1.0722824604708847,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT24,1,scaled,donor,24148,7928,4510,1,0.9248070953436806,2.1539048573089663,2.804428912362759,0.07095343680709536,0.004239467849223947,2.967024760003971,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT24,1,abs,block,24148,7928,4510,1,0.8729090909090909,1.6253975389306115,2.7015217875325384,0.10516629711751663,0.021924611973392474,0.8126987694653052,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT24,1,scaled,block,24148,7928,4510,1,0.8411352549889137,1.4368569290484487,2.726879084767508,0.13877161862527718,0.02009312638580931,1.9750070445964425,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT24,2,abs,donor,35996,17964,4510,1,0.9226430155210644,1.9942925890195224,2.6977535588142416,0.06390243902439025,0.013454545454545452,0.9971462945097568,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT24,2,scaled,donor,35996,17964,4510,1,0.879942350332594,1.6793310694740655,2.656340642790339,0.10296674057649667,0.017090909090909098,2.295079942982468,False,False
