encoder,task,label_set,fold,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_pool_spots,n_T_a1_natural,n_match_target,n_T_a1,n_blocks_chosen,n_blocks_total,n_block_spots,n_buffer_dropped,n_T_shared,n_C_unit_natural,n_C_matched,n_E,min_T_spots,status
uni_v2,COAD,shipped,COAD_Oliveira_P5,1,donor,3,1,12234,8614,3389,3389,16,71,746,356,2287,3620,746,3417,1000,ok
uni_v2,COAD,shipped,COAD_Oliveira_P5,2,donor,3,1,12234,8699,3389,3389,14,69,723,311,2355,3535,723,3417,1000,ok
uni_v2,COAD,shipped,COAD_donor_TENX111,0,donor,3,1,10572,6952,3389,3389,13,72,691,293,2405,3620,691,5079,1000,ok
uni_v2,COAD,shipped,COAD_donor_TENX111,1,donor,3,1,10572,7155,3389,3389,16,69,756,389,2244,3417,756,5079,1000,ok
uni_v2,COAD,shipped,COAD_donor_TENX111,2,donor,3,1,10572,7155,3389,3389,15,70,714,237,2438,3417,714,5079,1000,ok
uni_v2,IDC,shipped,IDC_shipped_patient_1,0,donor,3,1,14775,10765,7015,7015,16,71,1496,647,4872,4010,1496,20761,1000,ok
uni_v2,IDC,shipped,IDC_shipped_patient_1,1,donor,3,1,14775,7015,7015,7015,15,72,1570,877,4568,7760,1570,20761,1000,ok
uni_v2,IDC,shipped,IDC_shipped_patient_1,2,donor,3,1,14775,11770,7015,7015,14,71,1593,571,4851,3005,1593,20761,1000,ok
uni_v2,IDC,shipped,IDC_shipped_patient_2,0,donor,3,1,27776,23766,7015,7015,15,71,1474,320,5221,4010,1474,7760,1000,ok
uni_v2,IDC,shipped,IDC_shipped_patient_2,1,donor,3,1,27776,24771,7015,7015,15,72,1549,284,5182,3005,1549,7760,1000,ok
uni_v2,IDC,shipped,IDC_shipped_patient_2,2,donor,3,1,27776,23766,7015,7015,13,72,1453,334,5228,4010,1453,7760,1000,ok
uni_v2,IDC,shipped,NCBI783,0,donor,3,1,32531,28521,7015,7015,14,71,1502,277,5236,4010,1502,3005,1000,ok
