encoder,task,label_set,design,arm,fold,cal_draw,score,calibration_unit,n_T,n_C,n_E,n_test_slides,coverage,width_mean,interval_score,miss_above,miss_below,q_alpha_mean,quantile_infinite
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_Oliveira_P2,1,abs,donor,3389,3417,3535,1,0.8406676096181046,3.063501710949251,5.595442012377685,0.13121357850070725,0.028118811881188113,1.5317508554746413,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_Oliveira_P2,1,scaled,donor,3389,3417,3535,1,0.8722036775106082,4.166603531559073,5.9257780915596365,0.11292786421499294,0.014868458274398871,4.456398927558263,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_Oliveira_P2,1,abs,donor,2330,749,3535,1,0.8433550212164075,3.2025011304025255,5.743685305961845,0.13157567185289956,0.02506930693069306,1.6012505652012807,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_Oliveira_P2,1,scaled,donor,2330,749,3535,1,0.886031117397454,9.61561652619866,11.35622016890659,0.10117114568599718,0.012797736916548796,9.618938841183585,False
hoptimus0,COAD,shipped,donor,C_block,COAD_Oliveira_P2,1,abs,block,2330,749,3535,1,0.6854879773691654,2.0203907534196057,7.276351433786187,0.2512927864214993,0.06321923620933521,1.010195376709797,False
hoptimus0,COAD,shipped,donor,C_block,COAD_Oliveira_P2,1,scaled,block,2330,749,3535,1,0.7123338048090525,2.393086241131796,7.158795128626081,0.2343479490806223,0.053318246110325325,2.6501021756794305,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_Oliveira_P2,2,abs,donor,3389,3417,3535,1,0.8381612446958983,3.093093663684223,5.909980315668598,0.13852333804809056,0.023315417256011314,1.5465468318421296,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_Oliveira_P2,2,scaled,donor,3389,3417,3535,1,0.9057425742574259,6.042355594038594,7.360628194855852,0.08836775106082038,0.005889674681753888,6.197159145886509,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_Oliveira_P2,2,abs,donor,2337,735,3535,1,0.8304158415841582,3.1721903838327976,6.243626154739919,0.14828288543140025,0.021301272984441302,1.5860951919163933,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_Oliveira_P2,2,scaled,donor,2337,735,3535,1,0.8855162659123057,11.466357745833555,13.361761427542643,0.10329844413012726,0.011185289957567188,12.397962775800528,False
hoptimus0,COAD,shipped,donor,C_block,COAD_Oliveira_P2,2,abs,block,2337,735,3535,1,0.662200848656294,1.9827891197944691,7.979034954751543,0.27965487977369163,0.058144271570014144,0.9913945598972369,False
hoptimus0,COAD,shipped,donor,C_block,COAD_Oliveira_P2,2,scaled,block,2337,735,3535,1,0.6785120226308343,2.246878903278089,8.04839243207331,0.2714964639321076,0.049991513437057995,2.4681783781791964,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_Oliveira_P5,0,abs,donor,3389,3535,3417,1,0.8985835528241148,3.5553897422671112,4.907571262524136,0.0818612818261633,0.01955516534972198,1.7776948711335856,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_Oliveira_P5,0,scaled,donor,3389,3535,3417,1,0.85862452443664,3.856637738520969,5.48593427987984,0.10441322797775829,0.03696224758560142,4.674135831455966,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_Oliveira_P5,0,abs,donor,2390,706,3417,1,0.8982733391864205,3.6438032468554042,4.9496308061967955,0.08016973953760609,0.02155692127597308,1.8219016234277214,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_Oliveira_P5,0,scaled,donor,2390,706,3417,1,0.8435118525021948,5.163430146054265,6.941934851548592,0.10707052970441908,0.04941761779338601,6.9772268482522755,False
hoptimus0,COAD,shipped,donor,C_block,COAD_Oliveira_P5,0,abs,block,2390,706,3417,1,0.7321275973075797,1.962718275871071,5.552695437087316,0.18641498390400943,0.08145741878841088,0.981359137935539,False
hoptimus0,COAD,shipped,donor,C_block,COAD_Oliveira_P5,0,scaled,block,2390,706,3417,1,0.6951477904594673,2.0742942592701494,5.871275207013245,0.20223587942639742,0.10261633011413517,2.5858885484772953,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_Oliveira_P5,1,abs,donor,3389,3620,3417,1,0.8819373719637109,3.29031755323915,4.717041069991576,0.06011706175007317,0.05794556628621599,1.6451587766195714,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_Oliveira_P5,1,scaled,donor,3389,3620,3417,1,0.8528007023705004,3.6126200624584794,5.327072485497586,0.07810359964881473,0.06909569798068481,4.4378517066802425,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_Oliveira_P5,1,abs,donor,2287,746,3417,1,0.8782908984489316,3.3727352858778903,4.854753480723122,0.05714954638571846,0.06455955516534974,1.6863676429389465,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_Oliveira_P5,1,scaled,donor,2287,746,3417,1,0.8678021656423764,4.360341212522781,6.059337902548986,0.0665496049165935,0.06564822944103015,5.5193687069024335,False
