encoder,design,n_folds,width_mean_pooled_over_folds,width_median_pooled_over_folds,coverage_mean_pooled_over_folds,n_task_files,width_mean_over_task_files,width_median_over_task_files,coverage_mean_over_task_files,benchmark_pca_ridge_avg_paper9,coverage_min_across_encoders,coverage_max_across_encoders,coverage_range_across_encoders,spearman_width_mean_vs_pearson,spearman_width_median_vs_pearson,spearman_coverage_vs_pearson
hoptimus1,donor,52,2.548075604396331,2.207727439771485,0.8329363017591345,11,2.6435178871656846,2.253331337243269,0.7998651394176821,0.4229,0.7966960150355717,0.8115509751787205,0.014854960143148799,-0.9580419580419581,-0.9860139860139862,-0.055944055944055944
resnet50,patient,33,3.005343828589475,2.5463907282375504,0.8016305705337028,11,2.859170432918535,2.4061689389809056,0.7828971434898245,0.3252,0.7794773692378577,0.7948935341710719,0.015416164933214183,-0.9720279720279721,0.055944055944055944,0.1958041958041958
ctranspath,patient,33,2.9181390514148347,2.5600081964236425,0.7995111239204161,11,2.768335342532472,2.2989821778568684,0.7798433638273383,0.3468,0.7794773692378577,0.7948935341710719,0.015416164933214183,-0.9720279720279721,0.055944055944055944,0.1958041958041958
phikon,patient,33,2.808271818261383,2.5101728508455556,0.7967329865204242,11,2.6798032236691216,2.3166699327372027,0.7794773692378577,0.3661,0.7794773692378577,0.7948935341710719,0.015416164933214183,-0.9720279720279721,0.055944055944055944,0.1958041958041958
conch_v1,patient,33,2.8138082932155366,2.476403970910829,0.8101668599879258,11,2.693152335363591,2.30840006212447,0.7944961697780322,0.3696,0.7794773692378577,0.7948935341710719,0.015416164933214183,-0.9720279720279721,0.055944055944055944,0.1958041958041958
conch_v15,patient,33,2.769424644730171,2.519932701034646,0.8088374028873262,11,2.6488315196458996,2.3179205762266166,0.7948935341710719,0.3792,0.7794773692378577,0.7948935341710719,0.015416164933214183,-0.9720279720279721,0.055944055944055944,0.1958041958041958
uni_v1,patient,33,2.7232028362877667,2.428073646717723,0.8029316672405082,11,2.589542008294173,2.2812487376183075,0.7883990781932215,0.3856,0.7794773692378577,0.7948935341710719,0.015416164933214183,-0.9720279720279721,0.055944055944055944,0.1958041958041958
gigapath,patient,33,2.7306938372086944,2.4391639248013615,0.8040090415025731,11,2.59760970188592,2.261959316911465,0.7882575638113489,0.3875,0.7794773692378577,0.7948935341710719,0.015416164933214183,-0.9720279720279721,0.055944055944055944,0.1958041958041958
virchow2,patient,33,2.7203341975957125,2.471876265982005,0.7995313933233327,11,2.5913161528461224,2.3818605291982617,0.7826872601361096,0.4033,0.7794773692378577,0.7948935341710719,0.015416164933214183,-0.9720279720279721,0.055944055944055944,0.1958041958041958
virchow,patient,33,2.720724358048071,2.4162484720961803,0.7984845483559774,11,2.5834228270844766,2.3446659486725316,0.7813386078190109,0.406,0.7794773692378577,0.7948935341710719,0.015416164933214183,-0.9720279720279721,0.055944055944055944,0.1958041958041958
uni_v2,patient,33,2.662393036443165,2.395688659581887,0.806615636776389,11,2.53630637912116,2.2809888435204213,0.791981342649369,0.4142,0.7794773692378577,0.7948935341710719,0.015416164933214183,-0.9720279720279721,0.055944055944055944,0.1958041958041958
hoptimus0,patient,33,2.666045897359509,2.4423459118659996,0.7990199358052256,11,2.5315263867630637,2.3226534444718454,0.7837343372243205,0.415,0.7794773692378577,0.7948935341710719,0.015416164933214183,-0.9720279720279721,0.055944055944055944,0.1958041958041958
hoptimus1,patient,33,2.6660320139563636,2.461308407237854,0.8016229249059398,11,2.5314614240664617,2.3598362469163554,0.7868654927407287,0.4229,0.7794773692378577,0.7948935341710719,0.015416164933214183,-0.9720279720279721,0.055944055944055944,0.1958041958041958
resnet50,random,33,2.1183461823609897,2.2840382743583034,0.888725513927724,11,2.1455003490038815,2.2938320129519787,0.8925813210467609,0.3252,0.8925813210467609,0.8943555505741153,0.0017742295273543984,-0.9090909090909092,-0.9300699300699302,0.5524475524475525
ctranspath,random,33,2.0201868879079106,2.165353239360161,0.8898741773153569,11,2.048931920613474,2.170086873998791,0.8933438398288593,0.3468,0.8925813210467609,0.8943555505741153,0.0017742295273543984,-0.9090909090909092,-0.9300699300699302,0.5524475524475525
phikon,random,33,1.9172943137366727,2.06060820064475,0.8914674111096327,11,1.9442310130285718,2.06353479601934,0.8942558778907146,0.3661,0.8925813210467609,0.8943555505741153,0.0017742295273543984,-0.9090909090909092,-0.9300699300699302,0.5524475524475525
conch_v1,random,33,2.0273122287091425,2.15133958232483,0.88936856110573,11,2.0581148043130457,2.157949642766664,0.8929100402827924,0.3696,0.8925813210467609,0.8943555505741153,0.0017742295273543984,-0.9090909090909092,-0.9300699300699302,0.5524475524475525
conch_v15,random,33,2.054213209331689,2.19781198573907,0.8892186188868144,11,2.0807243496965713,2.2131329998665845,0.8929196286813916,0.3792,0.8925813210467609,0.8943555505741153,0.0017742295273543984,-0.9090909090909092,-0.9300699300699302,0.5524475524475525
uni_v1,random,33,1.896719702239479,2.040284524441991,0.891007979073434,11,1.916283685103271,2.048928937121706,0.8938923796510021,0.3856,0.8925813210467609,0.8943555505741153,0.0017742295273543984,-0.9090909090909092,-0.9300699300699302,0.5524475524475525
