head,encoder,task,pearson_mean,pearson_std,n_splits
raw_xgb,hoptimus0,READ,0.1714,0.1059,2
raw_xgb,hoptimus0,SKCM,0.6491,0.0434,2
raw_xgb,phikon,CCRCC,0.2129,0.043,6
raw_xgb,phikon,COAD,0.2785,0.0153,2
raw_xgb,phikon,HCC,0.046,0.0202,2
raw_xgb,phikon,IDC,0.4707,0.0784,4
raw_xgb,phikon,LUNG,0.5398,0.0189,2
raw_xgb,phikon,LYMPH_IDC,0.244,0.0713,4
raw_xgb,phikon,PAAD,0.4007,0.076,3
raw_xgb,phikon,PRAD,0.3945,0.0149,2
raw_xgb,phikon,READ,0.1485,0.1134,2
raw_xgb,phikon,SKCM,0.5297,0.0906,2
raw_xgb,resnet50,CCRCC,0.1814,0.0541,6
raw_xgb,resnet50,COAD,0.2924,0.0202,2
raw_xgb,resnet50,HCC,0.0388,0.0078,2
raw_xgb,resnet50,IDC,0.4648,0.0423,4
raw_xgb,resnet50,LUNG,0.5009,0.0144,2
raw_xgb,resnet50,LYMPH_IDC,0.2294,0.0569,4
raw_xgb,resnet50,PAAD,0.4023,0.076,3
raw_xgb,resnet50,PRAD,0.3422,0.0269,2
raw_xgb,resnet50,READ,0.0614,0.0981,2
raw_xgb,resnet50,SKCM,0.4754,0.117,2
raw_xgb,uni_v1,CCRCC,0.2341,0.042,6
raw_xgb,uni_v1,COAD,0.2922,0.0252,2
raw_xgb,uni_v1,HCC,0.0584,0.0127,2
raw_xgb,uni_v1,IDC,0.5375,0.067,4
raw_xgb,uni_v1,LUNG,0.5337,0.0131,2
raw_xgb,uni_v1,LYMPH_IDC,0.2461,0.0591,4
raw_xgb,uni_v1,PAAD,0.4478,0.0702,3
raw_xgb,uni_v1,PRAD,0.3511,0.0296,2
raw_xgb,uni_v1,READ,0.1628,0.093,2
raw_xgb,uni_v1,SKCM,0.624,0.0369,2
raw_xgb,uni_v2,CCRCC,0.2293,0.0384,6
raw_xgb,uni_v2,COAD,0.3284,0.0255,2
raw_xgb,uni_v2,HCC,0.0698,0.0205,2
