head,encoder,task,split,pearson
pca_ridge,virchow2,LYMPH_IDC,2,0.281
pca_ridge,virchow2,LYMPH_IDC,3,0.2319
pca_ridge,virchow2,PAAD,0,0.4206
pca_ridge,virchow2,PAAD,1,0.5768
pca_ridge,virchow2,PAAD,2,0.436
pca_ridge,virchow2,PRAD,0,0.3877
pca_ridge,virchow2,PRAD,1,0.3181
pca_ridge,virchow2,READ,0,0.261
pca_ridge,virchow2,READ,1,0.1537
pca_ridge,virchow2,SKCM,0,0.6784
pca_ridge,virchow2,SKCM,1,0.6013
pca_xgb,resnet50,CCRCC,0,0.1102
pca_xgb,resnet50,CCRCC,1,0.157
pca_xgb,resnet50,CCRCC,2,0.1363
pca_xgb,resnet50,CCRCC,3,0.1693
pca_xgb,resnet50,CCRCC,4,0.1861
pca_xgb,resnet50,CCRCC,5,0.2189
pca_xgb,resnet50,COAD,0,0.2577
pca_xgb,resnet50,COAD,1,0.2577
pca_xgb,resnet50,HCC,0,0.0023
pca_xgb,resnet50,HCC,1,0.0447
pca_xgb,resnet50,IDC,0,0.3812
pca_xgb,resnet50,IDC,1,0.4549
pca_xgb,resnet50,IDC,2,0.4172
pca_xgb,resnet50,IDC,3,0.4654
pca_xgb,resnet50,LUNG,0,0.4927
pca_xgb,resnet50,LUNG,1,0.494
pca_xgb,resnet50,LYMPH_IDC,0,0.3068
pca_xgb,resnet50,LYMPH_IDC,1,0.1876
pca_xgb,resnet50,LYMPH_IDC,2,0.2374
pca_xgb,resnet50,LYMPH_IDC,3,0.1755
pca_xgb,resnet50,PAAD,0,0.3396
pca_xgb,resnet50,PAAD,1,0.4567
pca_xgb,resnet50,PAAD,2,0.3197
pca_xgb,resnet50,PRAD,0,0.3805
pca_xgb,resnet50,PRAD,1,0.3275
pca_xgb,resnet50,READ,0,0.107
pca_xgb,resnet50,READ,1,-0.0693
pca_xgb,resnet50,SKCM,0,0.5069
pca_xgb,resnet50,SKCM,1,0.3455
raw_ridge,conch_v1,CCRCC,0,0.1698
raw_ridge,conch_v1,CCRCC,1,0.2664
raw_ridge,conch_v1,CCRCC,2,0.2094
raw_ridge,conch_v1,CCRCC,3,0.2396
raw_ridge,conch_v1,CCRCC,4,0.238
raw_ridge,conch_v1,CCRCC,5,0.2903
raw_ridge,conch_v1,COAD,0,0.2436
raw_ridge,conch_v1,COAD,1,0.2504
raw_ridge,conch_v1,HCC,0,0.032
raw_ridge,conch_v1,HCC,1,0.0444
raw_ridge,conch_v1,IDC,0,0.4102
raw_ridge,conch_v1,IDC,1,0.5917
raw_ridge,conch_v1,IDC,2,0.4997
raw_ridge,conch_v1,IDC,3,0.6096
raw_ridge,conch_v1,LUNG,0,0.4741
raw_ridge,conch_v1,LUNG,1,0.5164
raw_ridge,conch_v1,LYMPH_IDC,0,0.2939
raw_ridge,conch_v1,LYMPH_IDC,1,0.203
raw_ridge,conch_v1,LYMPH_IDC,2,0.2601
raw_ridge,conch_v1,LYMPH_IDC,3,0.2278
raw_ridge,conch_v1,PAAD,0,0.3683
raw_ridge,conch_v1,PAAD,1,0.5314
raw_ridge,conch_v1,PAAD,2,0.3677
raw_ridge,conch_v1,PRAD,0,0.3741
raw_ridge,conch_v1,PRAD,1,0.3467
raw_ridge,conch_v1,READ,0,0.1906
raw_ridge,conch_v1,READ,1,0.0994
raw_ridge,conch_v1,SKCM,0,0.5382
raw_ridge,conch_v1,SKCM,1,0.4792
raw_ridge,conch_v15,CCRCC,0,0.1765
raw_ridge,conch_v15,CCRCC,1,0.2023
raw_ridge,conch_v15,CCRCC,2,0.1768
raw_ridge,conch_v15,CCRCC,3,0.232
raw_ridge,conch_v15,CCRCC,4,0.2135
raw_ridge,conch_v15,CCRCC,5,0.273
raw_ridge,conch_v15,COAD,0,0.2056
raw_ridge,conch_v15,COAD,1,0.2805
raw_ridge,conch_v15,HCC,0,0.0357
raw_ridge,conch_v15,HCC,1,0.0644
raw_ridge,conch_v15,IDC,0,0.434
raw_ridge,conch_v15,IDC,1,0.5949
raw_ridge,conch_v15,IDC,2,0.5169
