head,encoder,task,pearson_mean,pearson_std,n_splits,leaderboard,diff_vs_leaderboard,config_role,compare_to_leaderboard
pca_xgb,resnet50,IDC,0.4297,0.0384,4,0.4739,-0.0442,A14 candidate - rejected,False
pca_xgb,resnet50,LUNG,0.4934,0.0009,2,0.4949,-0.0015,A14 candidate - rejected,False
pca_xgb,resnet50,LYMPH_IDC,0.2268,0.0597,4,0.2305,-0.0037,A14 candidate - rejected,False
pca_xgb,resnet50,PAAD,0.372,0.074,3,0.388,-0.016,A14 candidate - rejected,False
pca_xgb,resnet50,PRAD,0.354,0.0375,2,0.3044,0.0496,A14 candidate - rejected,False
pca_xgb,resnet50,READ,0.0188,0.1247,2,0.0783,-0.0595,A14 candidate - rejected,False
pca_xgb,resnet50,SKCM,0.4262,0.1141,2,0.4821,-0.0559,A14 candidate - rejected,False
raw_ridge,conch_v1,CCRCC,0.2356,0.0424,6,0.218,0.0176,replicates Table A13,False
raw_ridge,conch_v1,COAD,0.247,0.0048,2,0.2489,-0.0019,replicates Table A13,False
raw_ridge,conch_v1,HCC,0.0382,0.0088,2,,,replicates Table A13,False
raw_ridge,conch_v1,IDC,0.5278,0.092,4,0.5363,-0.0085,replicates Table A13,False
raw_ridge,conch_v1,LUNG,0.4952,0.0299,2,0.5322,-0.037,replicates Table A13,False
raw_ridge,conch_v1,LYMPH_IDC,0.2462,0.0395,4,0.2507,-0.0045,replicates Table A13,False
raw_ridge,conch_v1,PAAD,0.4225,0.0943,3,0.4468,-0.0243,replicates Table A13,False
raw_ridge,conch_v1,PRAD,0.3604,0.0194,2,0.3548,0.0056,replicates Table A13,False
raw_ridge,conch_v1,READ,0.145,0.0645,2,0.1602,-0.0152,replicates Table A13,False
raw_ridge,conch_v1,SKCM,0.5087,0.0417,2,0.5787,-0.07,replicates Table A13,False
raw_ridge,conch_v15,CCRCC,0.2124,0.0366,6,0.2176,-0.0052,replicates Table A13,False
raw_ridge,conch_v15,COAD,0.243,0.053,2,0.2802,-0.0372,replicates Table A13,False
raw_ridge,conch_v15,HCC,0.05,0.0203,2,,,replicates Table A13,False
raw_ridge,conch_v15,IDC,0.5487,0.0937,4,0.544,0.0047,replicates Table A13,False
raw_ridge,conch_v15,LUNG,0.4903,0.0503,2,0.5513,-0.061,replicates Table A13,False
raw_ridge,conch_v15,LYMPH_IDC,0.2548,0.0557,4,0.2699,-0.0151,replicates Table A13,False
raw_ridge,conch_v15,PAAD,0.415,0.0445,3,0.457,-0.042,replicates Table A13,False
raw_ridge,conch_v15,PRAD,0.37,0.0229,2,0.3808,-0.0108,replicates Table A13,False
raw_ridge,conch_v15,READ,0.1536,0.0641,2,0.16,-0.0064,replicates Table A13,False
raw_ridge,conch_v15,SKCM,0.4386,0.0135,2,0.5517,-0.1131,replicates Table A13,False
raw_ridge,ctranspath,CCRCC,0.2219,0.0435,6,0.2362,-0.0143,replicates Table A13,False
raw_ridge,ctranspath,COAD,0.202,0.0753,2,0.2382,-0.0362,replicates Table A13,False
raw_ridge,ctranspath,HCC,0.0162,0.0017,2,,,replicates Table A13,False
raw_ridge,ctranspath,IDC,0.4963,0.0526,4,0.4993,-0.003,replicates Table A13,False
raw_ridge,ctranspath,LUNG,0.4257,0.0783,2,0.5137,-0.088,replicates Table A13,False
raw_ridge,ctranspath,LYMPH_IDC,0.2144,0.042,4,0.2409,-0.0265,replicates Table A13,False
raw_ridge,ctranspath,PAAD,0.3869,0.0752,3,0.4314,-0.0445,replicates Table A13,False
raw_ridge,ctranspath,PRAD,0.3054,0.0897,2,0.3551,-0.0497,replicates Table A13,False
raw_ridge,ctranspath,READ,0.0858,0.1003,2,0.0968,-0.011,replicates Table A13,False
raw_ridge,ctranspath,SKCM,0.3474,0.152,2,0.5097,-0.1623,replicates Table A13,False
raw_ridge,gigapath,CCRCC,0.2172,0.0523,6,0.243,-0.0258,replicates Table A13,False
raw_ridge,gigapath,COAD,0.1726,0.0842,2,0.2992,-0.1266,replicates Table A13,False
raw_ridge,gigapath,HCC,0.0058,0.0164,2,,,replicates Table A13,False
raw_ridge,gigapath,IDC,0.5323,0.0937,4,0.5515,-0.0192,replicates Table A13,False
raw_ridge,gigapath,LUNG,0.315,0.1232,2,0.5412,-0.2262,replicates Table A13,False
raw_ridge,gigapath,LYMPH_IDC,0.193,0.0352,4,0.25,-0.057,replicates Table A13,False
raw_ridge,gigapath,PAAD,0.3173,0.0196,3,0.4746,-0.1573,replicates Table A13,False
raw_ridge,gigapath,PRAD,0.3034,0.0397,2,0.3699,-0.0665,replicates Table A13,False
raw_ridge,gigapath,READ,0.1238,0.053,2,0.1961,-0.0723,replicates Table A13,False
raw_ridge,gigapath,SKCM,0.223,0.0096,2,0.5619,-0.3389,replicates Table A13,False
raw_ridge,hoptimus0,CCRCC,0.2343,0.0409,6,0.2676,-0.0333,replicates Table A13,False
raw_ridge,hoptimus0,COAD,0.1626,0.0709,2,0.3086,-0.146,replicates Table A13,False
raw_ridge,hoptimus0,HCC,0.0192,0.0025,2,,,replicates Table A13,False
raw_ridge,hoptimus0,IDC,0.5788,0.1037,4,0.5976,-0.0188,replicates Table A13,False
raw_ridge,hoptimus0,LUNG,0.3142,0.1169,2,0.559,-0.2448,replicates Table A13,False
raw_ridge,hoptimus0,LYMPH_IDC,0.1976,0.0298,4,0.2591,-0.0615,replicates Table A13,False
raw_ridge,hoptimus0,PAAD,0.3359,0.0532,3,0.4911,-0.1552,replicates Table A13,False
raw_ridge,hoptimus0,PRAD,0.2564,0.0008,2,0.3848,-0.1284,replicates Table A13,False
raw_ridge,hoptimus0,READ,0.1224,0.0441,2,0.2216,-0.0992,replicates Table A13,False
raw_ridge,hoptimus0,SKCM,0.2778,0.0074,2,0.6454,-0.3676,replicates Table A13,False
raw_ridge,phikon,CCRCC,0.2531,0.0532,6,0.2423,0.0108,replicates Table A13,False
raw_ridge,phikon,COAD,0.1698,0.0793,2,0.2623,-0.0925,replicates Table A13,False
raw_ridge,phikon,HCC,0.0385,0.0211,2,,,replicates Table A13,False
raw_ridge,phikon,IDC,0.5259,0.0913,4,0.5327,-0.0068,replicates Table A13,False
raw_ridge,phikon,LUNG,0.4226,0.0818,2,0.5466,-0.124,replicates Table A13,False
raw_ridge,phikon,LYMPH_IDC,0.2151,0.0483,4,0.2373,-0.0222,replicates Table A13,False
raw_ridge,phikon,PAAD,0.3594,0.0866,3,0.4425,-0.0831,replicates Table A13,False
raw_ridge,phikon,PRAD,0.2489,0.1789,2,0.342,-0.0931,replicates Table A13,False
raw_ridge,phikon,READ,0.1134,0.106,2,0.1532,-0.0398,replicates Table A13,False
raw_ridge,phikon,SKCM,0.3684,0.1493,2,0.5355,-0.1671,replicates Table A13,False
raw_ridge,resnet50,CCRCC,0.2102,0.0602,6,0.2252,-0.015,replicates Table A13,False
raw_ridge,resnet50,COAD,0.2004,0.0858,2,0.25,-0.0496,replicates Table A13,False
raw_ridge,resnet50,HCC,0.0386,0.0275,2,,,replicates Table A13,False
raw_ridge,resnet50,IDC,0.4457,0.0436,4,0.4739,-0.0282,replicates Table A13,False
raw_ridge,resnet50,LUNG,0.3998,0.0892,2,0.4949,-0.0951,replicates Table A13,False
raw_ridge,resnet50,LYMPH_IDC,0.2033,0.0619,4,0.2305,-0.0272,replicates Table A13,False
raw_ridge,resnet50,PAAD,0.343,0.0806,3,0.388,-0.045,replicates Table A13,False
raw_ridge,resnet50,PRAD,0.2759,0.0873,2,0.3044,-0.0285,replicates Table A13,False
raw_ridge,resnet50,READ,0.067,0.091,2,0.0783,-0.0113,replicates Table A13,False
raw_ridge,resnet50,SKCM,0.4138,0.1153,2,0.4821,-0.0683,replicates Table A13,False
raw_ridge,uni_v1,CCRCC,0.2396,0.0608,6,0.24,-0.0004,replicates Table A13,False
raw_ridge,uni_v1,COAD,0.1842,0.0717,2,0.2614,-0.0772,replicates Table A13,False
raw_ridge,uni_v1,HCC,0.0164,0.0021,2,,,replicates Table A13,False
raw_ridge,uni_v1,IDC,0.563,0.0892,4,0.589,-0.026,replicates Table A13,False
raw_ridge,uni_v1,LUNG,0.371,0.1555,2,0.5464,-0.1754,replicates Table A13,False
raw_ridge,uni_v1,LYMPH_IDC,0.2237,0.0333,4,0.2559,-0.0322,replicates Table A13,False
raw_ridge,uni_v1,PAAD,0.377,0.0683,3,0.4807,-0.1037,replicates Table A13,False
raw_ridge,uni_v1,PRAD,0.257,0.1158,2,0.2943,-0.0373,replicates Table A13,False
raw_ridge,uni_v1,READ,0.1238,0.061,2,0.1836,-0.0598,replicates Table A13,False
raw_ridge,uni_v1,SKCM,0.3432,0.0785,2,0.6346,-0.2914,replicates Table A13,False
raw_ridge,uni_v2,CCRCC,0.2333,0.0569,6,0.264,-0.0307,replicates Table A13,False
raw_ridge,uni_v2,COAD,0.1826,0.0807,2,0.3015,-0.1189,replicates Table A13,False
raw_ridge,uni_v2,HCC,0.0144,0.0029,2,,,replicates Table A13,False
raw_ridge,uni_v2,IDC,0.5739,0.0851,4,0.5898,-0.0159,replicates Table A13,False
raw_ridge,uni_v2,LUNG,0.2896,0.1784,2,0.5587,-0.2691,replicates Table A13,False
raw_ridge,uni_v2,LYMPH_IDC,0.2074,0.0228,4,0.2727,-0.0653,replicates Table A13,False
raw_ridge,uni_v2,PAAD,0.3484,0.0161,3,0.5001,-0.1517,replicates Table A13,False
raw_ridge,uni_v2,PRAD,0.3376,0.0746,2,0.3569,-0.0193,replicates Table A13,False
raw_ridge,uni_v2,READ,0.1187,0.0611,2,0.2223,-0.1036,replicates Table A13,False
raw_ridge,uni_v2,SKCM,0.1974,0.0564,2,0.6606,-0.4632,replicates Table A13,False
raw_ridge,virchow,CCRCC,0.2313,0.0407,6,0.2586,-0.0273,replicates Table A13,False
raw_ridge,virchow,COAD,0.1542,0.0334,2,0.3079,-0.1537,replicates Table A13,False
raw_ridge,virchow,HCC,0.0316,0.0129,2,,,replicates Table A13,False
raw_ridge,virchow,IDC,0.556,0.0991,4,0.5846,-0.0286,replicates Table A13,False
raw_ridge,virchow,LUNG,0.2912,0.075,2,0.5664,-0.2752,replicates Table A13,False
raw_ridge,virchow,LYMPH_IDC,0.1706,0.0175,4,0.261,-0.0904,replicates Table A13,False
raw_ridge,virchow,PAAD,0.2738,0.0262,3,0.5159,-0.2421,replicates Table A13,False
raw_ridge,virchow,PRAD,0.2721,0.0257,2,0.3378,-0.0657,replicates Table A13,False
raw_ridge,virchow,READ,0.068,0.0672,2,0.1981,-0.1301,replicates Table A13,False
raw_ridge,virchow,SKCM,0.3718,0.0219,2,0.6243,-0.2525,replicates Table A13,False
raw_ridge,virchow2,CCRCC,0.2147,0.0444,6,0.2719,-0.0572,replicates Table A13,False
raw_ridge,virchow2,COAD,0.1395,0.0537,2,0.2581,-0.1186,replicates Table A13,False
raw_ridge,virchow2,HCC,0.0368,0.0145,2,,,replicates Table A13,False
raw_ridge,virchow2,IDC,0.5534,0.1027,4,0.5971,-0.0437,replicates Table A13,False
raw_ridge,virchow2,LUNG,0.2688,0.0678,2,0.5685,-0.2997,replicates Table A13,False
raw_ridge,virchow2,LYMPH_IDC,0.1981,0.0136,4,0.2568,-0.0587,replicates Table A13,False
raw_ridge,virchow2,PAAD,0.2182,0.0201,3,0.4779,-0.2597,replicates Table A13,False
raw_ridge,virchow2,PRAD,0.2794,0.0508,2,0.3529,-0.0735,replicates Table A13,False
raw_ridge,virchow2,READ,0.104,0.0641,2,0.2074,-0.1034,replicates Table A13,False
raw_ridge,virchow2,SKCM,0.376,0.0145,2,0.6402,-0.2642,replicates Table A13,False
raw_xgb,conch_v1,CCRCC,0.1711,0.0595,6,0.218,-0.0469,A14 candidate - selected,False
raw_xgb,conch_v1,COAD,0.3183,0.0045,2,0.2489,0.0694,A14 candidate - selected,False
raw_xgb,conch_v1,HCC,0.0407,0.0156,2,,,A14 candidate - selected,False
raw_xgb,conch_v1,IDC,0.5164,0.0687,4,0.5363,-0.0199,A14 candidate - selected,False
raw_xgb,conch_v1,LUNG,0.5584,0.0107,2,0.5322,0.0262,A14 candidate - selected,False
raw_xgb,conch_v1,LYMPH_IDC,0.2562,0.0711,4,0.2507,0.0055,A14 candidate - selected,False
raw_xgb,conch_v1,PAAD,0.4375,0.0837,3,0.4468,-0.0093,A14 candidate - selected,False
raw_xgb,conch_v1,PRAD,0.3796,0.0179,2,0.3548,0.0248,A14 candidate - selected,False
raw_xgb,conch_v1,READ,0.1421,0.0986,2,0.1602,-0.0181,A14 candidate - selected,False
raw_xgb,conch_v1,SKCM,0.5754,0.0718,2,0.5787,-0.0033,A14 candidate - selected,False
