encoder,task,held_slide,n_slides,m_test,n_train,n_genes,pearson_cross,pearson_within,site_shift,test_slides_in_train
resnet50,PRAD,MEND145,23,1418,61292,50,0.35089462995529175,0.5102350115776062,0.15934038162231445,23
resnet50,PRAD,MEND146,23,1964,60746,50,0.19782429933547974,0.5214595198631287,0.3236352205276489,23
resnet50,PRAD,MEND147,23,2335,60375,50,0.21697022020816803,0.5262652039527893,0.3092949837446213,23
resnet50,PRAD,MEND148,23,1633,61077,50,0.20304058492183685,0.5259325504302979,0.322891965508461,23
resnet50,PRAD,MEND149,23,1851,60859,50,0.3614829182624817,0.5262911915779114,0.1648082733154297,23
resnet50,PRAD,MEND150,23,1751,60959,50,0.518776535987854,0.5173398852348328,-0.0014366507530212402,23
resnet50,PRAD,MEND151,23,2600,60110,50,0.37893912196159363,0.5215551853179932,0.14261606335639954,23
resnet50,PRAD,MEND152,23,3082,59628,50,0.20764808356761932,0.5073217153549194,0.2996736317873001,23
resnet50,PRAD,MEND153,23,1820,60890,50,0.3633024990558624,0.5149759650230408,0.15167346596717834,23
resnet50,PRAD,MEND154,23,2736,59974,50,0.556861162185669,0.5170838832855225,-0.039777278900146484,23
resnet50,PRAD,MEND156,23,3554,59156,50,0.33682769536972046,0.5175396203994751,0.18071192502975464,23
resnet50,PRAD,MEND157,23,3190,59520,50,0.45131605863571167,0.5196437835693359,0.06832772493362427,23
resnet50,PRAD,MEND158,23,3092,59618,50,0.2940189242362976,0.5266323685646057,0.2326134443283081,23
resnet50,PRAD,MEND159,23,3856,58854,50,-0.022877244278788567,0.510338306427002,0.5332155507057905,23
resnet50,PRAD,MEND160,23,4079,58631,50,0.3155631422996521,0.5104504227638245,0.19488728046417236,23
resnet50,PRAD,MEND161,23,2775,59935,50,0.45858287811279297,0.5185538530349731,0.059970974922180176,23
resnet50,PRAD,MEND162,23,2609,60101,50,0.08800502866506577,0.5156314373016357,0.42762640863657,23
resnet50,READ,ZEN36,4,1691,6716,50,0.2401237040758133,0.43300706148147583,0.19288335740566254,4
resnet50,READ,ZEN40,4,2128,6279,50,0.09742655605077744,0.44203484058380127,0.34460828453302383,4
resnet50,READ,ZEN48,4,2385,6022,50,0.23196928203105927,0.4372318685054779,0.20526258647441864,4
resnet50,READ,ZEN49,4,2203,6204,50,0.24687394499778748,0.4460256099700928,0.1991516649723053,4
