check,variant,estimand,population,arm,statistic,value,tol,passed,detail,evaluable
2b_perfect_predictions_at_estimated_lambda,CCRCC,theta2,spot,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.13129879328677796,,True,"lambda_hat median 0.695429, identity lambda 0.753890, basis=spot_iid",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC,theta2,spot,resnet50/classical,max|se_cluster - se_iid|/se_iid,2.1650318990190757e-16,1e-09,True,"n_L=6, G=24, one spot per donor, 50/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC,theta2,spot,resnet50/pp,max|se_cluster - se_iid|/se_iid,3.672068744940307e-16,1e-09,True,"n_L=6, G=24, one spot per donor, 50/50 genes comparable",True
1_U_empty_pp_equals_classical,CCRCC,theta2,donor,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=no_tuning_G_L_23_G_U_1_below_4, G_L=23, G_U=1",True
2_perfect_predictions_pp_equals_full,CCRCC,theta2,donor,identity,max|theta_pp - theta_full| at the identity lambda,5.551115123125783e-17,1e-10,True,"lambda=0.739130 (population weight of U), n_L=6",True
2b_perfect_predictions_at_estimated_lambda,CCRCC,theta2,donor,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.06550716519765004,,True,"lambda_hat median 0.683340, identity lambda 0.739130, basis=donor_pairs",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC,theta2,donor,resnet50/classical,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=6, G=23, one spot per donor, 50/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC,theta2,donor,resnet50/pp,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=6, G=23, one spot per donor, 50/50 genes comparable",True
1_U_empty_pp_equals_classical,CCRCC_merged,theta3,spot,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=23, G_U=0",True
2_perfect_predictions_pp_equals_full,CCRCC_merged,theta3,spot,identity,max|theta_pp - theta_full| at the identity lambda,1.3877787807814457e-16,1e-10,True,"lambda=0.713150 (population weight of U), n_L=6",True
2b_perfect_predictions_at_estimated_lambda,CCRCC_merged,theta3,spot,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.4251322653838014,,True,"lambda_hat median 0.500067, identity lambda 0.713150, basis=spot_iid",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC_merged,theta3,spot,resnet50/classical,max|se_cluster - se_iid|/se_iid,2.7280474854435905e-16,1e-09,True,"n_L=6, G=23, one spot per donor, 48/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC_merged,theta3,spot,resnet50/pp,max|se_cluster - se_iid|/se_iid,2.435192987336769e-16,1e-09,True,"n_L=6, G=23, one spot per donor, 48/50 genes comparable",True
1_U_empty_pp_equals_classical,CCRCC_merged,theta3,donor,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=23, G_U=0",True
2_perfect_predictions_pp_equals_full,CCRCC_merged,theta3,donor,identity,max|theta_pp - theta_full| at the identity lambda,4.163336342344337e-17,1e-10,True,"lambda=0.739130 (population weight of U), n_L=6",True
2b_perfect_predictions_at_estimated_lambda,CCRCC_merged,theta3,donor,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.09292589651410095,,True,"lambda_hat median 0.489012, identity lambda 0.739130, basis=donor_pairs",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC_merged,theta3,donor,resnet50/classical,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=6, G=23, one spot per donor, 48/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC_merged,theta3,donor,resnet50/pp,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=6, G=23, one spot per donor, 48/50 genes comparable",True
1_U_empty_pp_equals_classical,CCRCC_merged,theta2,spot,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=23, G_U=0",True
2_perfect_predictions_pp_equals_full,CCRCC_merged,theta2,spot,identity,max|theta_pp - theta_full| at the identity lambda,1.6653345369377348e-16,1e-10,True,"lambda=0.713150 (population weight of U), n_L=6",True
2b_perfect_predictions_at_estimated_lambda,CCRCC_merged,theta2,spot,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.7284920303828312,,True,"lambda_hat median 0.469558, identity lambda 0.713150, basis=spot_iid",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC_merged,theta2,spot,resnet50/classical,max|se_cluster - se_iid|/se_iid,2.3989400405239174e-16,1e-09,True,"n_L=6, G=23, one spot per donor, 48/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC_merged,theta2,spot,resnet50/pp,max|se_cluster - se_iid|/se_iid,6.248782125846696e-16,1e-09,True,"n_L=6, G=23, one spot per donor, 48/50 genes comparable",True
1_U_empty_pp_equals_classical,CCRCC_merged,theta2,donor,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=no_tuning_G_L_22_G_U_1_below_4, G_L=22, G_U=1",True
2_perfect_predictions_pp_equals_full,CCRCC_merged,theta2,donor,identity,max|theta_pp - theta_full| at the identity lambda,5.551115123125783e-17,1e-10,True,"lambda=0.727273 (population weight of U), n_L=6",True
2b_perfect_predictions_at_estimated_lambda,CCRCC_merged,theta2,donor,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.06607957506258227,,True,"lambda_hat median 0.630868, identity lambda 0.727273, basis=donor_pairs",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC_merged,theta2,donor,resnet50/classical,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=6, G=22, one spot per donor, 48/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC_merged,theta2,donor,resnet50/pp,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=6, G=22, one spot per donor, 48/50 genes comparable",True
1_U_empty_pp_equals_classical,LYMPH_IDC,theta3,spot,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=4, G_U=0",True
2_perfect_predictions_pp_equals_full,LYMPH_IDC,theta3,spot,identity,max|theta_pp - theta_full| at the identity lambda,1.1102230246251565e-16,1e-10,True,"lambda=0.521301 (population weight of U), n_L=2",True
2b_perfect_predictions_at_estimated_lambda,LYMPH_IDC,theta3,spot,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.4259738902930931,,True,"lambda_hat median 0.669287, identity lambda 0.521301, basis=spot_iid",True
3_one_spot_per_donor_cluster_eq_iid,LYMPH_IDC,theta3,spot,resnet50/classical,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=2, G=4, one spot per donor, 18/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,LYMPH_IDC,theta3,spot,resnet50/pp,max|se_cluster - se_iid|/se_iid,2.5136986723396834e-15,1e-09,True,"n_L=2, G=4, one spot per donor, 18/50 genes comparable",True
1_U_empty_pp_equals_classical,LYMPH_IDC,theta3,donor,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=4, G_U=0",True
2_perfect_predictions_pp_equals_full,LYMPH_IDC,theta3,donor,identity,max|theta_pp - theta_full| at the identity lambda,5.551115123125783e-17,1e-10,True,"lambda=0.500000 (population weight of U), n_L=2",True
2b_perfect_predictions_at_estimated_lambda,LYMPH_IDC,theta3,donor,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.16873466659230812,,True,"lambda_hat median 0.000000, identity lambda 0.500000, basis=no_tuning_G_L_2_G_U_2_below_4",True
3_one_spot_per_donor_cluster_eq_iid,LYMPH_IDC,theta3,donor,resnet50/classical,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=2, G=4, one spot per donor, 18/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,LYMPH_IDC,theta3,donor,resnet50/pp,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=2, G=4, one spot per donor, 18/50 genes comparable",True
1_U_empty_pp_equals_classical,LYMPH_IDC,theta2,spot,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=4, G_U=0",True
2_perfect_predictions_pp_equals_full,LYMPH_IDC,theta2,spot,identity,max|theta_pp - theta_full| at the identity lambda,3.3306690738754696e-16,1e-10,True,"lambda=0.521301 (population weight of U), n_L=2",True
2b_perfect_predictions_at_estimated_lambda,LYMPH_IDC,theta2,spot,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",1.252745536474939,,True,"lambda_hat median 0.713741, identity lambda 0.521301, basis=spot_iid",True
3_one_spot_per_donor_cluster_eq_iid,LYMPH_IDC,theta2,spot,resnet50/classical,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=2, G=4, one spot per donor, 18/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,LYMPH_IDC,theta2,spot,resnet50/pp,max|se_cluster - se_iid|/se_iid,1.1551670802446807e-15,1e-09,True,"n_L=2, G=4, one spot per donor, 18/50 genes comparable",True
1_U_empty_pp_equals_classical,LYMPH_IDC,theta2,donor,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=4, G_U=0",True
2_perfect_predictions_pp_equals_full,LYMPH_IDC,theta2,donor,identity,max|theta_pp - theta_full| at the identity lambda,5.551115123125783e-17,1e-10,True,"lambda=0.500000 (population weight of U), n_L=2",True
2b_perfect_predictions_at_estimated_lambda,LYMPH_IDC,theta2,donor,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.3521588376296126,,True,"lambda_hat median 0.000000, identity lambda 0.500000, basis=no_tuning_G_L_2_G_U_2_below_4",True
3_one_spot_per_donor_cluster_eq_iid,LYMPH_IDC,theta2,donor,resnet50/classical,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=2, G=4, one spot per donor, 18/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,LYMPH_IDC,theta2,donor,resnet50/pp,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=2, G=4, one spot per donor, 18/50 genes comparable",True
1_U_empty_pp_equals_classical,PRAD,theta3,spot,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=2, G_U=0",True
2_perfect_predictions_pp_equals_full,PRAD,theta3,spot,identity,max|theta_pp - theta_full| at the identity lambda,6.938893903907228e-17,1e-10,True,"lambda=0.412007 (population weight of U), n_L=1",True
2b_perfect_predictions_at_estimated_lambda,PRAD,theta3,spot,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.6545350951703848,,True,"lambda_hat median 0.066515, identity lambda 0.412007, basis=spot_iid",True
1_U_empty_pp_equals_classical,PRAD,theta3,donor,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=2, G_U=0",True
2_perfect_predictions_pp_equals_full,PRAD,theta3,donor,identity,max|theta_pp - theta_full| at the identity lambda,0.0,1e-10,True,"lambda=0.500000 (population weight of U), n_L=1",True
2b_perfect_predictions_at_estimated_lambda,PRAD,theta3,donor,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.5815846559050499,,True,"lambda_hat median 0.000000, identity lambda 0.500000, basis=no_tuning_G_L_1_G_U_1_below_4",True
1_U_empty_pp_equals_classical,PRAD,theta2,spot,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=2, G_U=0",True
2_perfect_predictions_pp_equals_full,PRAD,theta2,spot,identity,max|theta_pp - theta_full| at the identity lambda,2.220446049250313e-16,1e-10,True,"lambda=0.412007 (population weight of U), n_L=1",True
2b_perfect_predictions_at_estimated_lambda,PRAD,theta2,spot,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.6061408792104422,,True,"lambda_hat median 0.535071, identity lambda 0.412007, basis=spot_iid",True
1_U_empty_pp_equals_classical,PRAD,theta2,donor,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=2, G_U=0",True
2_perfect_predictions_pp_equals_full,PRAD,theta2,donor,identity,max|theta_pp - theta_full| at the identity lambda,0.0,1e-10,True,"lambda=0.500000 (population weight of U), n_L=1",True
2b_perfect_predictions_at_estimated_lambda,PRAD,theta2,donor,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.8234450512658464,,True,"lambda_hat median 0.000000, identity lambda 0.500000, basis=no_tuning_G_L_1_G_U_1_below_4",True
1_U_empty_pp_equals_classical,IDC,theta3,spot,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=4, G_U=0",True
2_perfect_predictions_pp_equals_full,IDC,theta3,spot,identity,max|theta_pp - theta_full| at the identity lambda,2.220446049250313e-16,1e-10,True,"lambda=0.698051 (population weight of U), n_L=2",True
2b_perfect_predictions_at_estimated_lambda,IDC,theta3,spot,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.4303701247914765,,True,"lambda_hat median 0.675970, identity lambda 0.698051, basis=spot_iid",True
3_one_spot_per_donor_cluster_eq_iid,IDC,theta3,spot,resnet50/classical,max|se_cluster - se_iid|/se_iid,1.4117321434178911e-12,1e-09,True,"n_L=2, G=4, one spot per donor, 48/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,IDC,theta3,spot,resnet50/pp,max|se_cluster - se_iid|/se_iid,1.4117321434178911e-12,1e-09,True,"n_L=2, G=4, one spot per donor, 48/50 genes comparable",True
1_U_empty_pp_equals_classical,IDC,theta3,donor,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=4, G_U=0",True
2_perfect_predictions_pp_equals_full,IDC,theta3,donor,identity,max|theta_pp - theta_full| at the identity lambda,2.220446049250313e-16,1e-10,True,"lambda=0.500000 (population weight of U), n_L=2",True
2b_perfect_predictions_at_estimated_lambda,IDC,theta3,donor,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.6366304894540764,,True,"lambda_hat median 0.000000, identity lambda 0.500000, basis=no_tuning_G_L_2_G_U_2_below_4",True
3_one_spot_per_donor_cluster_eq_iid,IDC,theta3,donor,resnet50/classical,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=2, G=4, one spot per donor, 48/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,IDC,theta3,donor,resnet50/pp,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=2, G=4, one spot per donor, 48/50 genes comparable",True
1_U_empty_pp_equals_classical,IDC,theta2,spot,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=4, G_U=0",True
2_perfect_predictions_pp_equals_full,IDC,theta2,spot,identity,max|theta_pp - theta_full| at the identity lambda,8.881784197001252e-16,1e-10,True,"lambda=0.698051 (population weight of U), n_L=2",True
2b_perfect_predictions_at_estimated_lambda,IDC,theta2,spot,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",1.1259396271607363,,True,"lambda_hat median 0.766854, identity lambda 0.698051, basis=spot_iid",True
3_one_spot_per_donor_cluster_eq_iid,IDC,theta2,spot,resnet50/classical,max|se_cluster - se_iid|/se_iid,1.4188762015368494e-12,1e-09,True,"n_L=2, G=4, one spot per donor, 45/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,IDC,theta2,spot,resnet50/pp,max|se_cluster - se_iid|/se_iid,1.4188762015368494e-12,1e-09,True,"n_L=2, G=4, one spot per donor, 45/50 genes comparable",True
1_U_empty_pp_equals_classical,IDC,theta2,donor,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=4, G_U=0",True
2_perfect_predictions_pp_equals_full,IDC,theta2,donor,identity,max|theta_pp - theta_full| at the identity lambda,4.440892098500626e-16,1e-10,True,"lambda=0.500000 (population weight of U), n_L=2",True
2b_perfect_predictions_at_estimated_lambda,IDC,theta2,donor,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.9799054635351012,,True,"lambda_hat median 0.000000, identity lambda 0.500000, basis=no_tuning_G_L_2_G_U_2_below_4",True
3_one_spot_per_donor_cluster_eq_iid,IDC,theta2,donor,resnet50/classical,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=2, G=4, one spot per donor, 48/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,IDC,theta2,donor,resnet50/pp,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=2, G=4, one spot per donor, 48/50 genes comparable",True
1_U_empty_pp_equals_classical,IDC,theta1,spot,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=4, G_U=0",True
2_perfect_predictions_pp_equals_full,IDC,theta1,spot,identity,max|theta_pp - theta_full| at the identity lambda,5.551115123125783e-17,1e-10,True,"lambda=0.698051 (population weight of U), n_L=2",True
2b_perfect_predictions_at_estimated_lambda,IDC,theta1,spot,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.015449714781801127,,True,"lambda_hat median 0.788481, identity lambda 0.698051, basis=spot_iid",True
3_one_spot_per_donor_cluster_eq_iid,IDC,theta1,spot,resnet50/classical,max|se_cluster - se_iid|/se_iid,2.2217063213763807e-15,1e-09,True,"n_L=2, G=4, one spot per donor, 1/1 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,IDC,theta1,spot,resnet50/pp,max|se_cluster - se_iid|/se_iid,1.7334270580537295e-14,1e-09,True,"n_L=2, G=4, one spot per donor, 1/1 genes comparable",True
1_U_empty_pp_equals_classical,IDC,theta1,donor,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=4, G_U=0",True
2_perfect_predictions_pp_equals_full,IDC,theta1,donor,identity,max|theta_pp - theta_full| at the identity lambda,0.0,1e-10,True,"lambda=0.500000 (population weight of U), n_L=2",True
2b_perfect_predictions_at_estimated_lambda,IDC,theta1,donor,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.09757287064906384,,True,"lambda_hat median 0.000000, identity lambda 0.500000, basis=no_tuning_G_L_2_G_U_2_below_4",True
3_one_spot_per_donor_cluster_eq_iid,IDC,theta1,donor,resnet50/classical,max|se_cluster - se_iid|/se_iid,,1e-09,False,"n_L=2, G=4, one spot per donor, 0/1 genes comparable; NOT EVALUABLE (statistic not finite)",False
3_one_spot_per_donor_cluster_eq_iid,IDC,theta1,donor,resnet50/pp,max|se_cluster - se_iid|/se_iid,,1e-09,False,"n_L=2, G=4, one spot per donor, 0/1 genes comparable; NOT EVALUABLE (statistic not finite)",False
4_permuted_not_narrower_than_classical,CCRCC,theta3,spot,permuted/iid,median width ratio pp/classical over genes (the min over genes is a noise statistic; B2's mean over 200 draws is authoritative),0.8481712760614171,0.95,False,"n_L=6, min over genes 0.7582, max lambda_hat 1.00e+00, basis spot_iid",True
4b_permuted_coverage_at_this_partition,CCRCC,theta3,spot,permuted/iid,fraction of genes whose PPI interval covers theta_full (one partition; B2 is authoritative),0.04,,True,"n_L=6, nominal 0.90",True
4_permuted_not_narrower_than_classical,CCRCC,theta3,spot,permuted/cluster,median width ratio pp/classical over genes (the min over genes is a noise statistic; B2's mean over 200 draws is authoritative),0.6251878142589625,0.95,False,"n_L=6, min over genes 0.5329, max lambda_hat 1.00e+00, basis spot_iid",True
4b_permuted_coverage_at_this_partition,CCRCC,theta3,spot,permuted/cluster,fraction of genes whose PPI interval covers theta_full (one partition; B2 is authoritative),0.96,,True,"n_L=6, nominal 0.90",True
4_permuted_not_narrower_than_classical,CCRCC,theta3,spot,permuted/boot,median width ratio pp/classical over genes (the min over genes is a noise statistic; B2's mean over 200 draws is authoritative),0.6556407194090406,0.95,False,"n_L=6, min over genes 0.5364, max lambda_hat 1.00e+00, basis spot_iid",True
4b_permuted_coverage_at_this_partition,CCRCC,theta3,spot,permuted/boot,fraction of genes whose PPI interval covers theta_full (one partition; B2 is authoritative),0.78,,True,"n_L=6, nominal 0.90",True
4_permuted_not_narrower_than_classical,CCRCC,theta3,spot,permuted/iid,median width ratio pp/classical over genes (the min over genes is a noise statistic; B2's mean over 200 draws is authoritative),0.925124040640655,0.95,False,"n_L=8, min over genes 0.8791, max lambda_hat 6.03e-01, basis spot_iid",True
4b_permuted_coverage_at_this_partition,CCRCC,theta3,spot,permuted/iid,fraction of genes whose PPI interval covers theta_full (one partition; B2 is authoritative),0.02,,True,"n_L=8, nominal 0.90",True
4_permuted_not_narrower_than_classical,CCRCC,theta3,spot,permuted/cluster,median width ratio pp/classical over genes (the min over genes is a noise statistic; B2's mean over 200 draws is authoritative),0.8078213958728233,0.95,False,"n_L=8, min over genes 0.7660, max lambda_hat 6.03e-01, basis spot_iid",True
4b_permuted_coverage_at_this_partition,CCRCC,theta3,spot,permuted/cluster,fraction of genes whose PPI interval covers theta_full (one partition; B2 is authoritative),0.98,,True,"n_L=8, nominal 0.90",True
4_permuted_not_narrower_than_classical,CCRCC,theta3,spot,permuted/boot,median width ratio pp/classical over genes (the min over genes is a noise statistic; B2's mean over 200 draws is authoritative),0.8188631760162752,0.95,False,"n_L=8, min over genes 0.7473, max lambda_hat 6.03e-01, basis spot_iid",True
4b_permuted_coverage_at_this_partition,CCRCC,theta3,spot,permuted/boot,fraction of genes whose PPI interval covers theta_full (one partition; B2 is authoritative),0.92,,True,"n_L=8, nominal 0.90",True
4_permuted_not_narrower_than_classical,CCRCC,theta3,spot,permuted/iid,median width ratio pp/classical over genes (the min over genes is a noise statistic; B2's mean over 200 draws is authoritative),0.9521427076785018,0.95,True,"n_L=12, min over genes 0.9055, max lambda_hat 4.13e-01, basis spot_iid",True
4b_permuted_coverage_at_this_partition,CCRCC,theta3,spot,permuted/iid,fraction of genes whose PPI interval covers theta_full (one partition; B2 is authoritative),0.04,,True,"n_L=12, nominal 0.90",True
4_permuted_not_narrower_than_classical,CCRCC,theta3,spot,permuted/cluster,median width ratio pp/classical over genes (the min over genes is a noise statistic; B2's mean over 200 draws is authoritative),0.8441081994956903,0.95,False,"n_L=12, min over genes 0.7996, max lambda_hat 4.13e-01, basis spot_iid",True
4b_permuted_coverage_at_this_partition,CCRCC,theta3,spot,permuted/cluster,fraction of genes whose PPI interval covers theta_full (one partition; B2 is authoritative),0.92,,True,"n_L=12, nominal 0.90",True
4_permuted_not_narrower_than_classical,CCRCC,theta3,spot,permuted/boot,median width ratio pp/classical over genes (the min over genes is a noise statistic; B2's mean over 200 draws is authoritative),0.8540865328550397,0.95,False,"n_L=12, min over genes 0.7809, max lambda_hat 4.13e-01, basis spot_iid",True
4b_permuted_coverage_at_this_partition,CCRCC,theta3,spot,permuted/boot,fraction of genes whose PPI interval covers theta_full (one partition; B2 is authoritative),0.92,,True,"n_L=12, nominal 0.90",True
4_permuted_not_narrower_than_classical,CCRCC,theta3,donor,permuted/iid,median width ratio pp/classical over genes (the min over genes is a noise statistic; B2's mean over 200 draws is authoritative),1.0,0.95,True,"n_L=6, min over genes 0.8927, max lambda_hat 1.00e+00, basis donor_pairs",True
4b_permuted_coverage_at_this_partition,CCRCC,theta3,donor,permuted/iid,fraction of genes whose PPI interval covers theta_full (one partition; B2 is authoritative),0.0,,True,"n_L=6, nominal 0.90",True
4_permuted_not_narrower_than_classical,CCRCC,theta3,donor,permuted/cluster,median width ratio pp/classical over genes (the min over genes is a noise statistic; B2's mean over 200 draws is authoritative),1.0,0.95,True,"n_L=6, min over genes 0.9232, max lambda_hat 1.00e+00, basis donor_pairs",True
4b_permuted_coverage_at_this_partition,CCRCC,theta3,donor,permuted/cluster,fraction of genes whose PPI interval covers theta_full (one partition; B2 is authoritative),0.92,,True,"n_L=6, nominal 0.90",True
4_permuted_not_narrower_than_classical,CCRCC,theta3,donor,permuted/boot,median width ratio pp/classical over genes (the min over genes is a noise statistic; B2's mean over 200 draws is authoritative),1.0,0.95,True,"n_L=6, min over genes 0.9027, max lambda_hat 1.00e+00, basis donor_pairs",True
4b_permuted_coverage_at_this_partition,CCRCC,theta3,donor,permuted/boot,fraction of genes whose PPI interval covers theta_full (one partition; B2 is authoritative),0.8,,True,"n_L=6, nominal 0.90",True
4_permuted_not_narrower_than_classical,CCRCC,theta3,donor,permuted/iid,median width ratio pp/classical over genes (the min over genes is a noise statistic; B2's mean over 200 draws is authoritative),1.0,0.95,True,"n_L=8, min over genes 0.8915, max lambda_hat 1.00e+00, basis donor_pairs",True
4b_permuted_coverage_at_this_partition,CCRCC,theta3,donor,permuted/iid,fraction of genes whose PPI interval covers theta_full (one partition; B2 is authoritative),0.04,,True,"n_L=8, nominal 0.90",True
