key,value,unit,source,note
n_eff_implied_theta3_CCRCC_spot_nL12,38.03724365841793,donor-equivalents,b1_estimates.csv,
m_bar_theta3_CCRCC_spot_nL12,3241.9166666666665,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_CCRCC_merged_donor_nL6,48.98881731245362,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_CCRCC_merged_donor_nL6,0.7417762965953344,share,b1_estimates.csv,
n_eff_implied_theta3_CCRCC_merged_donor_nL6,8.09203327983019,donor-equivalents,b1_estimates.csv,
m_bar_theta3_CCRCC_merged_donor_nL6,3235.3333333333335,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_CCRCC_merged_donor_nL8,46.370046736101855,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_CCRCC_merged_donor_nL8,0.7513306295778708,share,b1_estimates.csv,
n_eff_implied_theta3_CCRCC_merged_donor_nL8,10.647776299510397,donor-equivalents,b1_estimates.csv,
m_bar_theta3_CCRCC_merged_donor_nL8,2861.5,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_CCRCC_merged_donor_nL12,50.26422370072213,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_CCRCC_merged_donor_nL12,0.7628216285226437,share,b1_estimates.csv,
n_eff_implied_theta3_CCRCC_merged_donor_nL12,15.736310338129417,donor-equivalents,b1_estimates.csv,
m_bar_theta3_CCRCC_merged_donor_nL12,3312.0,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_CCRCC_merged_spot_nL6,22.42586029594968,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_CCRCC_merged_spot_nL6,0.15519329091776535,share,b1_estimates.csv,
n_eff_implied_theta3_CCRCC_merged_spot_nL6,38.66999417379476,donor-equivalents,b1_estimates.csv,
m_bar_theta3_CCRCC_merged_spot_nL6,3235.3333333333335,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_CCRCC_merged_spot_nL8,28.240538590018794,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_CCRCC_merged_spot_nL8,0.27846844698892637,share,b1_estimates.csv,
n_eff_implied_theta3_CCRCC_merged_spot_nL8,28.73304338930277,donor-equivalents,b1_estimates.csv,
m_bar_theta3_CCRCC_merged_spot_nL8,2861.5,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_CCRCC_merged_spot_nL12,32.46588815450791,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_CCRCC_merged_spot_nL12,0.3180419837999692,share,b1_estimates.csv,
n_eff_implied_theta3_CCRCC_merged_spot_nL12,37.7313144899268,donor-equivalents,b1_estimates.csv,
m_bar_theta3_CCRCC_merged_spot_nL12,3312.0,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_IDC_donor_nL2,91.9011858719057,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_IDC_donor_nL2,1.6015224662738556,share,b1_estimates.csv,
n_eff_implied_theta3_IDC_donor_nL2,1.2488117039364752,donor-equivalents,b1_estimates.csv,
m_bar_theta3_IDC_donor_nL2,5274.0,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_IDC_spot_nL2,30.94943321681689,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_IDC_spot_nL2,0.1814993973813818,share,b1_estimates.csv,
n_eff_implied_theta3_IDC_spot_nL2,11.027573187893971,donor-equivalents,b1_estimates.csv,
m_bar_theta3_IDC_spot_nL2,5274.0,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_LYMPH_IDC_donor_nL2,93.48656838319238,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_LYMPH_IDC_donor_nL2,1.9768665237110823,share,b1_estimates.csv,
n_eff_implied_theta3_LYMPH_IDC_donor_nL2,1.0117020931921543,donor-equivalents,b1_estimates.csv,
m_bar_theta3_LYMPH_IDC_donor_nL2,4421.5,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_LYMPH_IDC_spot_nL2,5.273687243663148,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_LYMPH_IDC_spot_nL2,0.0060655568649214,share,b1_estimates.csv,
n_eff_implied_theta3_LYMPH_IDC_spot_nL2,295.3858288079057,donor-equivalents,b1_estimates.csv,
m_bar_theta3_LYMPH_IDC_spot_nL2,4421.5,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_PRAD_donor_nL1,,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_PRAD_donor_nL1,,share,b1_estimates.csv,
n_eff_implied_theta3_PRAD_donor_nL1,,donor-equivalents,b1_estimates.csv,
m_bar_theta3_PRAD_donor_nL1,36729.0,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_PRAD_donor_nL2,246.02725621357072,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_PRAD_donor_nL2,1.9380564750322824,share,b1_estimates.csv,
n_eff_implied_theta3_PRAD_donor_nL2,1.031961671791162,donor-equivalents,b1_estimates.csv,
m_bar_theta3_PRAD_donor_nL2,31232.5,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_PRAD_spot_nL1,,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_PRAD_spot_nL1,,share,b1_estimates.csv,
n_eff_implied_theta3_PRAD_spot_nL1,,donor-equivalents,b1_estimates.csv,
m_bar_theta3_PRAD_spot_nL1,36729.0,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_PRAD_spot_nL2,83.06264621830273,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_PRAD_spot_nL2,0.2209005057353469,share,b1_estimates.csv,
n_eff_implied_theta3_PRAD_spot_nL2,9.057268304744715,donor-equivalents,b1_estimates.csv,
m_bar_theta3_PRAD_spot_nL2,31232.5,spots per donor,b1_estimates.csv,
lambda_median_theta3_CCRCC_donor_hoptimus0_nL6,0.4988687491453849,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_donor_hoptimus0_nL6,0.8326553735750233,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_donor_hoptimus0_nL8,0.11729815750005705,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_donor_hoptimus0_nL8,0.9797205822201691,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_donor_hoptimus0_nL12,0.17450525982365014,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_donor_hoptimus0_nL12,0.9493292322312236,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_donor_permuted_nL6,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_donor_permuted_nL6,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_donor_permuted_nL8,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_donor_permuted_nL8,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_donor_permuted_nL12,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_donor_permuted_nL12,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_donor_resnet50_nL6,0.5393976457044014,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_donor_resnet50_nL6,0.8060559344598317,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_donor_resnet50_nL8,0.0932621906903571,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_donor_resnet50_nL8,0.9937085377398407,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_donor_resnet50_nL12,0.22326043000241294,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_donor_resnet50_nL12,0.9421914531652547,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_donor_uni_v2_nL6,0.43815001213033405,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_donor_uni_v2_nL6,0.9276099744591124,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_donor_uni_v2_nL8,0.1385684372172627,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_donor_uni_v2_nL8,0.9785626604059643,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_donor_uni_v2_nL12,0.14297214007416664,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_donor_uni_v2_nL12,0.9668561252370704,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_spot_hoptimus0_nL6,0.6886769464296489,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_spot_hoptimus0_nL6,0.571030154695024,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_spot_hoptimus0_nL8,0.30220099504266934,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_spot_hoptimus0_nL8,0.8186474161423101,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_spot_hoptimus0_nL12,0.3175275030387468,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_spot_hoptimus0_nL12,0.7986138347603284,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_spot_permuted_nL6,0.6058406643047163,lambda,b1_estimates.csv,
