file,rows,rows_tagged,sha256_before,sha256_after,action
results/round3/A1_coverage/a1_cal_dispersion__gigapath__slideout.csv,62,8,3f926dd530a161852061605f821ae82d947575727e8a0a6ceb541dfa0d247b5b,7b5d74126c0ed6a398e3bc7d9edf2708c0d248af60f28e611d412da5e10acdef,tagged
results/round3/A1_coverage/a1_cal_dispersion__hoptimus0__main.csv,236,22,51f431dee973866cddb08b1c0e3453790dbdd9ce071d03fa9d5731ad90319ae0,7ce52d0638b70fc4e08be4771aeaa80b4b74f9b86b71fcb0802988f8b4e45dce,tagged
results/round3/A1_coverage/a1_cal_dispersion__hoptimus0__slideout.csv,62,8,2675cdcbebc6ee7f96394f935b0eef5c9367779f8f831b0bcc007889452b0b91,4ada30dc2d38f1774198ff1811ced89fd69f2ed3cd676847a2cec6c59b65ecfd,tagged
results/round3/A1_coverage/a1_cal_dispersion__hoptimus1__main.csv,236,22,786e5de1d05c9be813b81878985738c311b53d40c85bd1508f90d5ae294a0826,4e5ad64849987d19c005f9aa6e00c7dfc96f8d432431987f9eb187bbed2a4213,tagged
results/round3/A1_coverage/a1_cal_dispersion__hoptimus1__slideout.csv,62,8,9c7591e312f27d32eb93d7d1e85186782f46bc974651c462912043c7218529b6,78150a6ce20456c530184967c8daeb512156aa5a9c1b969d6bd2f5397ae99595,tagged
results/round3/A1_coverage/a1_cal_dispersion__phikon__main.csv,236,22,0ad21f7541e0b017df9cb08f59b11269501a66cfe95c173ac82e11e0ab1ef42e,fe35d434ba62ce305d7ecf6e428ec03257fa121b2365d5e0a7dc10c1767854e6,tagged
results/round3/A1_coverage/a1_cal_dispersion__phikon__slideout.csv,62,8,14cac9c29857df673a49fe51d70efdc08cacbf50c3193eb607ab62c3d9b4d512,5fb02b7990595e136c3c00d4cc1e43cf860955fb4a1d00c6d19883b23b8fa1f4,tagged
results/round3/A1_coverage/a1_cal_dispersion__resnet50__main.csv,236,22,bc195cef8563a55fe9457d7914598e0fae04365b911840f864a034a387695ff2,25e0ffa45522713257dd028d00f2e62f65ba0286e87e6590723f82adee52584b,tagged
results/round3/A1_coverage/a1_cal_dispersion__resnet50__slideout.csv,62,8,ec1c84ee500ec399449f29a15b86b56d019278859b937b6c4199b3dbfa539e9f,fee709276373a98a05145ba3aa92f7846f078cf137b44285195aae6113205ba3,tagged
results/round3/A1_coverage/a1_cal_dispersion__uni_v1__main.csv,236,22,f45b0d883b057e1e1105f130e684ef539cc81565ab08179e09947102a8a86fc3,cde2657489277209b5dfa878fbf0b47e71697d7dfdc1cb26715c8ee3fff13f97,tagged
results/round3/A1_coverage/a1_cal_dispersion__uni_v1__slideout.csv,62,8,c1833e8d2f1341dc125305e46e06e66c11ed84df9e956c3a98aa73506d10549e,2387f78b5bf00c2c7a2e3d059fa22a486a807537efd6c76e28124157d60b2d97,tagged
results/round3/A1_coverage/a1_cal_dispersion__uni_v2__main.csv,236,22,9df327faad4bd782b5a4e15fcc1b75fd10333f359df4767329893c6ae5757b83,3804a9f7782bc78d11375294924105d0d125060616c536073eedcfa09dbf240d,tagged
results/round3/A1_coverage/a1_cal_dispersion__uni_v2__slideout.csv,62,8,6ff6f9d6ad3f8152e15a2dfde486934c854c22cdbdda6dfe5ffbe88bd570324e,2e9306f701d0fa5108523a44791fa852acf75fd1b6a3dda9394803fc2e03d9fc,tagged
results/round3/A1_coverage/a1_cal_dispersion__virchow2__main.csv,236,22,93971a1a5f4666061ba6c69bd5bcfbb070ef106b063430dac4493aa75cdf627a,778b36230a9ad7dbf76f12ba1c42a2a95cbc66fdccb2dffe2e96613c3ab032b9,tagged
results/round3/A1_coverage/a1_cal_dispersion__virchow2__slideout.csv,62,8,2c57fddb74d38669bf1ddbb445e609a29db3aa4e54b43169ed83e277a0c54678,61cbc4db7c6eec3ba6cc29d28ebffe8f852ee61d3954a28470e53f8045709ac7,tagged
results/round3/A1_coverage/a1_cal_dispersion__virchow__main.csv,236,22,e9fd0794109d52b104fb28ba3557591dca99f51411ef4c70ac1390d9d99ec1bb,ec622b9fe433f5932e883fc3cc0bdc15d6cf370cda51468a61a40c5828494ba5,tagged
results/round3/A1_coverage/a1_cal_dispersion__virchow__slideout.csv,62,8,21b8017d26054eb12cb13d6644b5fa86b016392e5b7004d954bef2cff4d5addb,b08f3a49ac11fcf6e7f971cce287e4ac7663fed2156219f5b2e087892323435f,tagged
results/round3/A1_coverage/a1_calibration_unit_table.csv,36,4,2b917c26df47501ece6cc195593a074f6fb7780d3205c54612b692a5f60d6ea4,be89b1a4b23aad16be59f61ec448d0e4fa0cc9d945027cab40e86d30a4dcb381,tagged
results/round3/A1_coverage/a1_calibration_units__conch_v15__main.csv,394,35,a652ad0e6a278aec29daf8be8da0a9e6d2cb222c0417c2a5d18a186e5c1cf3bb,62b78d923778f2929b11255b5d8a1a376b04f1c814f54baa95e053344a295bd7,tagged
results/round3/A1_coverage/a1_calibration_units__conch_v15__slideout.csv,93,12,96ac37d0d519af918437570cbc37b114208cf82dd8d42ab225f9196f9311505f,c771bc2ded81c55dba26ac37b6ae7bb317699303c444b103d8a412ef40ad0070,tagged
results/round3/A1_coverage/a1_calibration_units__conch_v1__main.csv,394,35,3aa95db50ab0529635c6e0144f664a506ff4c5ff8ba440bbdad1ecfb5e0d6821,b3ee9f5b2bb6b7ad710a7eb8f188d6bf34b52cfc511365ccce641385ad5d8b5f,tagged
results/round3/A1_coverage/a1_calibration_units__conch_v1__slideout.csv,93,12,84f91b40269b5e1e95bde48e23b04983ad42fad968c55ddcf1337acf83a928c4,d192c640edf3ae429b5fd1a037703eba8d19c16f5bb67d4a6ef9938bb48498bf,tagged
results/round3/A1_coverage/a1_calibration_units__ctranspath__main.csv,394,35,11742a0bd49e0a92262de5f8e1d6a0fe1ea529ec95d3f0c27de92c5fcdf5cf44,afcc132e25fe18147312c07196eb3db25e85fd2eca9f45737905c8bd55a3e90f,tagged
results/round3/A1_coverage/a1_calibration_units__ctranspath__slideout.csv,93,12,a4872739da830773a78c5067e0bb5e52173b3395f9fbd5f4c875d98a4101ddf1,c8a37d8e380e32c22dde5d1fab89302e94e48eac33597b5e763fc3fb691358d0,tagged
results/round3/A1_coverage/a1_calibration_units__gigapath__main.csv,394,35,086f9daeced7e9528b4c6206e7461dd547c757c468d9e4cf7f8a610b0464b66f,6fb8a33d07556836f7f29fdb52335911fd42e5760b6c51f6531bdd2957dca72b,tagged
results/round3/A1_coverage/a1_calibration_units__gigapath__slideout.csv,93,12,58aa4f2dac4145e73879ceffa19afd7ee133c1d8db8da3b661047eb1be047ba4,9662b6b307de8af38b44b01951d8f3538bf8380acb807e84b11961ee478f1812,tagged
results/round3/A1_coverage/a1_calibration_units__hoptimus0__main.csv,394,35,a20d0cf28703d3805cf97419ee98dc9c896b82b951336f17bca083c193cdac85,a65475d4f5fff7266f34914eca0335821ad26c2a581cd8ec012072c06d9429eb,tagged
results/round3/A1_coverage/a1_calibration_units__hoptimus0__slideout.csv,93,12,aa997a83ac44040fd7520e87ef3de4a0e38ae5ce3cc529a4ae9ab7480d22c340,1e9fd52dd3c56413029cc17bb64a342c19a742312e79c46772052f5c90a876f1,tagged
results/round3/A1_coverage/a1_calibration_units__hoptimus1__main.csv,394,35,dd4aff6981b6aa5f8ab32558b7d65a39651fcc852f7741ba7b812e5aac6f0f21,43c4fdf18aa3c4057ce57d4d01ee015ad6561ee76ed74b30ac2e10003314a038,tagged
results/round3/A1_coverage/a1_calibration_units__hoptimus1__slideout.csv,93,12,92f74f277150f8a7700b7bb31d383111e2116b63a95a925011e5d0e281b94d97,cb6a67ed70d8b0eec53a04ff25e85a427cd565df860206bba2b143aeb0c7b2b5,tagged
