encoder,task,fold,max_abs_intercept_minus_ycentered,max_abs_intercept_minus_nointercept,max_abs_shift_minus_ybar,max_abs_intercept_minus_ycentered_exact,max_abs_intercept_minus_nointercept_exact,max_abs_shift_minus_ybar_exact,max_abs_intercept_minus_ycentered_f64,max_abs_intercept_minus_nointercept_f64,max_abs_shift_minus_ybar_f64
phikon,LYMPH_IDC,0,0.003613710403442383,1.0857365131378174,0.01192021369934082,2.4437904357910156e-06,1.0772244930267334,3.3736228942871094e-05,4.218847493575595e-15,1.0771724363556228,6.550315845288424e-14
phikon,LYMPH_IDC,1,0.006039023399353027,1.1441618204116821,0.012407660484313965,1.5497207641601562e-06,1.1351063251495361,2.777576446533203e-05,3.552713678800501e-15,1.1350530748886598,7.926992395823618e-14
phikon,LYMPH_IDC,2,0.00403672456741333,0.865810215473175,0.007784366607666016,1.3113021850585938e-06,0.8601256012916565,2.1159648895263672e-05,3.774758283725532e-15,0.8600819810874981,4.651834473179406e-14
phikon,LYMPH_IDC,3,0.006011843681335449,0.9681836366653442,0.018198370933532715,1.6689300537109375e-06,0.9544222354888916,2.8431415557861328e-05,3.1086244689504383e-15,0.9543294744029669,5.3290705182007514e-14
phikon,PAAD,0,0.005576729774475098,3.872049331665039,0.05439400672912598,5.7220458984375e-06,3.8207144737243652,0.00012421607971191406,1.3322676295501878e-14,3.8205983133290453,3.566036355096003e-13
phikon,PAAD,1,0.009537816047668457,3.3555972576141357,0.08533430099487305,3.814697265625e-06,3.3207123279571533,0.00012230873107910156,9.769962616701378e-15,3.320595888560988,3.8546943414985435e-13
phikon,PAAD,2,0.007855415344238281,3.6608426570892334,0.033968448638916016,4.5299530029296875e-06,3.630138397216797,0.00011205673217773438,7.993605777301127e-15,3.63003270638809,1.91402449445377e-13
phikon,PRAD,0,0.007909774780273438,3.0378730297088623,0.04218888282775879,2.384185791015625e-06,2.999298334121704,0.0002110004425048828,4.884981308350689e-15,2.999094572994556,3.9124259387790516e-13
phikon,PRAD,1,0.009696245193481445,2.8116934299468994,0.023810386657714844,2.86102294921875e-06,2.7908740043640137,0.00012540817260742188,5.995204332975845e-15,2.7908146602754065,2.460254222569347e-13
phikon,READ,0,0.008700728416442871,1.148581624031067,0.024357318878173828,2.1457672119140625e-06,1.1302454471588135,5.1856040954589844e-05,3.9968028886505635e-15,1.1302036788958172,1.2634338020234281e-13
phikon,READ,1,0.008136391639709473,0.9619565010070801,0.019754528999328613,1.3113021850585938e-06,0.9455678462982178,4.1365623474121094e-05,2.886579864025407e-15,0.9455457646221586,4.807265696626928e-14
phikon,SKCM,0,0.00812220573425293,5.3382568359375,0.08988475799560547,5.0067901611328125e-06,5.284202575683594,0.00016927719116210938,7.549516567451064e-15,5.28407780737977,4.263256414560601e-13
phikon,SKCM,1,0.014590799808502197,4.874276161193848,0.09897232055664062,6.4373016357421875e-06,4.7950119972229,0.0004973411560058594,1.0658141036401503e-14,4.794614522750869,5.639932965095795e-13
