encoder,task,fold,max_abs_intercept_minus_ycentered,max_abs_intercept_minus_nointercept,max_abs_shift_minus_ybar,max_abs_intercept_minus_ycentered_exact,max_abs_intercept_minus_nointercept_exact,max_abs_shift_minus_ybar_exact,max_abs_intercept_minus_ycentered_f64,max_abs_intercept_minus_nointercept_f64,max_abs_shift_minus_ybar_f64
resnet50,LUNG,1,0.009732246398925781,3.949852705001831,0.0642557144165039,5.7220458984375e-06,3.8857638835906982,0.00016689300537109375,2.1845339670534258e-07,3.885759712145151,0.0001691125225939949
resnet50,LYMPH_IDC,0,0.010114789009094238,1.0847123861312866,0.020103752613067627,2.5033950805664062e-06,1.077258586883545,0.00015461444854736328,2.843371382788007e-07,1.077236481657227,0.00015466390939100627
resnet50,LYMPH_IDC,1,0.007090926170349121,1.1499707698822021,0.014892220497131348,1.6689300537109375e-06,1.1351417303085327,6.318092346191406e-05,1.717467892348168e-07,1.1351163150100434,6.324012146285973e-05
resnet50,LYMPH_IDC,2,0.006743311882019043,0.8643131852149963,0.009298145771026611,1.1920928955078125e-06,0.8601347208023071,3.0279159545898438e-05,1.0689608043179533e-07,0.8601123891711348,3.040808366505665e-05
resnet50,LYMPH_IDC,3,0.01039212942123413,0.9640551805496216,0.012600243091583252,1.6093254089355469e-06,0.9545331597328186,0.0001392364501953125,2.4804841497472196e-07,0.9544691110433009,0.00013963664038729728
resnet50,PAAD,0,0.007643938064575195,3.851808547973633,0.035497188568115234,4.76837158203125e-06,3.8206493854522705,7.748603820800781e-05,1.5736143632594235e-07,3.8206567810894185,7.688176178444195e-05
resnet50,PAAD,1,0.015059232711791992,3.351060628890991,0.06416678428649902,5.245208740234375e-06,3.3207972049713135,0.0001876354217529297,2.601793620549131e-07,3.320781126704642,0.00018523814403970107
resnet50,PAAD,2,0.009052157402038574,3.6639668941497803,0.03394055366516113,4.76837158203125e-06,3.6301286220550537,0.00014352798461914062,3.1363169283871173e-07,3.6301346341473266,0.00014445886505543015
resnet50,PRAD,0,0.011796951293945312,3.025912046432495,0.04531717300415039,4.76837158203125e-06,2.9998228549957275,0.0008654594421386719,4.0342311580232604e-07,2.9998036785298243,0.0008643252554785263
resnet50,PRAD,1,0.01230776309967041,2.8430967330932617,0.05231761932373047,6.198883056640625e-06,2.791543960571289,0.0007648468017578125,3.465065330221506e-07,2.7915816471578445,0.0007669868826720716
resnet50,READ,0,0.003922879695892334,1.1444758176803589,0.016265034675598145,1.6689300537109375e-06,1.1302411556243896,4.0650367736816406e-05,1.0527784785607786e-07,1.1302438622745803,4.0183378839264705e-05
resnet50,READ,1,0.009954452514648438,0.9612233638763428,0.01567983627319336,2.384185791015625e-06,0.9455733299255371,5.251169204711914e-05,7.787973022033157e-08,0.9455766010489306,5.3025269902140515e-05
resnet50,SKCM,0,0.008750677108764648,5.327657699584961,0.07180356979370117,5.7220458984375e-06,5.284234046936035,0.00016021728515625,7.217561868166911e-07,5.284227360608514,0.00016209708823033964
resnet50,SKCM,1,0.011513710021972656,4.864952087402344,0.07034063339233398,6.67572021484375e-06,4.794878959655762,0.0002675056457519531,5.018875501860975e-07,4.794883354417411,0.0002688316671060065
