arm,task,encoder,design,method,fold,coverage,width_mean,width_median_of_cells,interval_score,miss_above,miss_below,width_mean_spotgene,width_median_spotgene,n_T,n_C,n_eff
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_biomarker_S3-Middle,0.7965295665420302,3.5345905637844743,3.5345905637844743,7.273225145573207,0.1885066703595993,0.0149637630983704,3.5345905637844743,3.1722246339679323,53824.0,57487.666666666664,57487.666666666664
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_biomarker_S3-Top,0.931553167379464,3.77915446582794,3.77915446582794,4.591564192577883,0.0219512373432759,0.0464955952772599,3.77915446582794,3.352230986799078,53824.0,33750.666666666664,33750.666666666664
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_biomarker_S4-Bottom,0.8703487920453662,3.7017359564291823,3.701735956429184,5.67674182941485,0.0189590616018022,0.1106921463528315,3.701735956429184,3.352552158314674,53824.0,28338.666666666668,28338.666666666668
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_biomarker_S4-Middle,0.921174684159378,3.819816675947643,3.819816675947643,4.5695252698018765,0.0404956268221574,0.0383296890184645,3.819816675947643,3.4686248215869164,53824.0,36382.0,36382.0
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_biomarker_S4-Top,0.933695512132274,3.5796593193002906,3.5796593193002906,4.142073031831376,0.0383709111731443,0.0279335766945816,3.57965931930029,3.163882205035138,53824.0,50447.666666666664,50447.666666666664
breast,BREAST_XENIUM,hoptimus0,random,pooled_quantile,0,0.8886826415520777,2.30802515758499,2.30802515758499,3.2326386749242304,0.0578867516664209,0.0534306067815013,2.30802515758499,2.256642066807788,53824.0,15986.0,15986.0
breast,BREAST_XENIUM,hoptimus0,random,pooled_quantile,1,0.8880545783640003,2.311011085369087,2.311011085369087,3.244446536611263,0.0584981806674727,0.0534472409685269,2.311011085369087,2.251402516155475,53824.0,20991.0,20991.0
breast,BREAST_XENIUM,hoptimus0,random,pooled_quantile,2,0.8886714311697578,2.3219089411217935,2.3219089411217935,3.255210876013701,0.0580443135775813,0.0532842552526608,2.3219089411217935,2.2684225533745725,53824.0,22793.0,22793.0
breast,BREAST_XENIUM,hoptimus0,random,pooled_quantile,3,0.8882309397226951,2.321871434403696,2.321871434403696,3.253133309290336,0.0581225565044653,0.0536465037728395,2.321871434403696,2.260541587581695,53824.0,23818.0,23818.0
breast,BREAST_XENIUM,hoptimus0,random,pooled_quantile,4,0.8874730365614264,2.3219862512376457,2.3219862512376457,3.268567168099561,0.0585949208129133,0.0539320426256602,2.3219862512376457,2.2574810855571172,53824.0,23880.0,23880.0
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_10x_Avaden_block,0.8925162826025034,4.00178256559778,4.00178256559778,5.576544085395028,0.0191727945945792,0.0883109228029173,4.00178256559778,3.812893052907794,53824.0,22463.333333333332,22463.333333333332
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_10x_BioIVT_block,0.8844909537532768,4.459125854841979,4.459125854841979,6.049579622503838,0.098557870479721,0.0169511757670021,4.459125854841979,4.37176805936639,53824.0,23904.0,23904.0
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_Janesick_Sample1,0.7442227122941203,4.074057828967042,4.074057828967042,8.2363606737797,0.2310433717014277,0.0247339160044519,4.074057828967042,3.89302179105408,53824.0,25723.666666666668,25723.666666666668
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_Janesick_Sample2,0.8879596305817387,4.026496828642808,4.026496828642808,5.528597555539484,0.096993240026659,0.0150471293916024,4.026496828642808,3.790579243639652,53824.0,31899.333333333332,31899.333333333332
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_biomarker_S1-Bottom,0.8840019947637451,4.082701289285489,4.082701289285489,5.514936439780417,0.1030403524082616,0.0129576528279931,4.082701289285489,3.766595749123373,53824.0,46077.666666666664,46077.666666666664
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_biomarker_S1-Middle,0.9013266109973216,4.0704012904658855,4.0704012904658855,5.262005003191824,0.0526169844020797,0.0460564046005987,4.0704012904658855,3.9218866269682846,53824.0,34115.666666666664,34115.666666666664
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_biomarker_S1-Top,0.8797763858018456,4.078014171011618,4.078014171011618,6.077266680996968,0.0548609146628948,0.0653626995352596,4.078014171011618,3.852336748141123,53824.0,39281.0,39281.0
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_biomarker_S2-Bottom,0.8670950968545168,4.12444929124356,4.12444929124356,6.100391702104513,0.0478794536599655,0.0850254494855176,4.12444929124356,3.8528701551710145,53824.0,32503.0,32503.0
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_biomarker_S2-Middle,0.9041370855985504,4.2571924363663625,4.2571924363663625,5.231929916731203,0.0310862381409231,0.0647766762605265,4.2571924363663625,3.9521273961721746,53824.0,38748.666666666664,38748.666666666664
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_biomarker_S3-Bottom,0.92414932861148,4.135968127887675,4.135968127887675,4.897688285880371,0.0328906595838866,0.0429600118046333,4.135968127887675,3.884783175787097,53824.0,39073.333333333336,39073.333333333336
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_biomarker_S3-Middle,0.8558639154318423,4.405541790486329,4.405541790486329,7.093325908749908,0.1225388911969718,0.0215971933711858,4.405541790486328,4.048738114845262,53824.0,57487.666666666664,57487.666666666664
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_biomarker_S3-Top,0.9056051467631684,4.191257277290515,4.191257277290515,5.416888176183412,0.0372694374383156,0.0571254157985159,4.191257277290515,3.8487003907506687,53824.0,33750.666666666664,33750.666666666664
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_biomarker_S4-Bottom,0.9249498951293406,4.204630499878552,4.204630499878552,4.979451945726821,0.0215955876641031,0.0534545172065563,4.204630499878552,4.008488629326375,53824.0,28338.666666666668,28338.666666666668
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_biomarker_S4-Middle,0.9011443148688046,4.351376626189594,4.351376626189594,5.527651927291466,0.0547862001943634,0.0440694849368318,4.351376626189594,4.1506994679573515,53824.0,36382.0,36382.0
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,breastXen_biomarker_S4-Top,0.9392026340276286,4.403095149925242,4.403095149925242,4.989318357192508,0.0370954119247011,0.0237019540476701,4.403095149925242,4.067816701704067,53824.0,50447.666666666664,50447.666666666664
breast,BREAST_XENIUM,resnet50,random,pooled_quantile,0,0.8870651437902586,2.930688255759798,2.930688255759798,4.079242833657183,0.063053181114622,0.0498816750951193,2.930688255759798,2.886214072199707,53824.0,15986.0,15986.0
breast,BREAST_XENIUM,resnet50,random,pooled_quantile,1,0.8870055601598856,2.937489842502534,2.937489842502535,4.089919324669141,0.0631528314270885,0.0498416084130257,2.937489842502534,2.906253588285898,53824.0,20991.0,20991.0
breast,BREAST_XENIUM,resnet50,random,pooled_quantile,2,0.8877921702833778,2.948122113661954,2.948122113661954,4.0925049910716105,0.0628179922402949,0.0493898374763275,2.948122113661954,2.906936073270437,53824.0,22793.0,22793.0
breast,BREAST_XENIUM,resnet50,random,pooled_quantile,3,0.8871311107941702,2.95306709762822,2.95306709762822,4.102311341352552,0.0629607603058338,0.0499081288999958,2.95306709762822,2.9198288146356695,53824.0,23818.0,23818.0
breast,BREAST_XENIUM,resnet50,random,pooled_quantile,4,0.8862813025197356,2.946657784835496,2.946657784835496,4.109534651475419,0.0631336177816286,0.0505850796986357,2.946657784835496,2.898420219948336,53824.0,23880.0,23880.0
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_10x_Avaden_block,0.9142846165381884,3.433024182823542,3.433024182823542,4.289848508191789,0.0272202379063094,0.058495145555502,3.433024182823542,3.1283038659694853,53824.0,22463.333333333332,22463.333333333332
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_10x_BioIVT_block,0.902764883781321,3.8683884676492166,3.868388467649216,4.9029754552956595,0.0762973471117881,0.0209377691068907,3.868388467649216,3.545915626032702,53824.0,23904.0,23904.0
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_Janesick_Sample1,0.7923534983704603,3.706290481938821,3.706290481938822,6.4366793092598344,0.1724463785023599,0.0352001231271799,3.706290481938821,3.392942953944884,53824.0,25723.666666666668,25723.666666666668
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_Janesick_Sample2,0.9105188993620872,3.538571880233082,3.538571880233082,4.449256559032071,0.0542759211653813,0.0352051794725316,3.538571880233082,3.1624212241190013,53824.0,31899.333333333332,31899.333333333332
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_biomarker_S1-Bottom,0.875825956863234,3.465075916990408,3.465075916990408,4.7690215155495865,0.1066957569712837,0.0174782861654822,3.465075916990408,3.172324621594123,53824.0,46077.666666666664,46077.666666666664
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_biomarker_S1-Middle,0.8983687831521453,3.411465674016138,3.411465674016138,4.474913157484303,0.0575705057507483,0.0440607110971062,3.411465674016138,3.165227656460638,53824.0,34115.666666666664,34115.666666666664
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_biomarker_S1-Top,0.8754132147908669,3.3889623466238437,3.3889623466238437,5.662934964878065,0.0569125075772883,0.0676742776318448,3.388962346623844,3.170375706686548,53824.0,39281.0,39281.0
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_biomarker_S2-Bottom,0.858579955326083,3.469816463836446,3.469816463836446,5.370001994727226,0.0443948881321176,0.0970251565417994,3.469816463836446,3.0988909340742676,53824.0,32503.0,32503.0
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_biomarker_S2-Middle,0.9198134527235904,3.6795543064991296,3.6795543064991296,4.384587361222418,0.0299381729026756,0.0502483743737341,3.679554306499129,3.2654144055915446,53824.0,38748.666666666664,38748.666666666664
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_biomarker_S3-Bottom,0.8984890069352219,3.521563489637345,3.521563489637345,4.64083333934023,0.0347528404898922,0.0667581525748856,3.521563489637345,3.0456754662871934,53824.0,39073.333333333336,39073.333333333336
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_biomarker_S3-Middle,0.8047094123620923,3.4719995203345455,3.4719995203345455,7.018070657852014,0.1718349259105387,0.0234556617273692,3.471999520334546,3.100353887223854,53824.0,57487.666666666664,57487.666666666664
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_biomarker_S3-Top,0.925139452425339,3.663929699388676,3.663929699388676,4.521013067491567,0.0249471798808348,0.049913367693826,3.663929699388676,3.309184232212578,53824.0,33750.666666666664,33750.666666666664
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_biomarker_S4-Bottom,0.8779958051736192,3.60420278358686,3.60420278358686,5.313013156472947,0.0220570185659908,0.0999471762603899,3.60420278358686,3.3216110016947655,53824.0,28338.666666666668,28338.666666666668
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_biomarker_S4-Middle,0.9074125364431488,3.680034010396809,3.680034010396809,4.557814474561186,0.0548858114674441,0.0377016520894072,3.680034010396809,3.364146719596002,53824.0,36382.0,36382.0
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,breastXen_biomarker_S4-Top,0.9292462958986472,3.477081213083641,3.477081213083641,4.082521579259047,0.0369823205210793,0.0337713835802734,3.477081213083641,3.159382058456455,53824.0,50447.666666666664,50447.666666666664
breast,BREAST_XENIUM,uni_v2,random,pooled_quantile,0,0.8881136901548257,2.322084215428063,2.322084215428063,3.252261064432568,0.0575644855903005,0.0543218242548738,2.322084215428063,2.286922293028266,53824.0,15986.0,15986.0
breast,BREAST_XENIUM,uni_v2,random,pooled_quantile,1,0.8876790027658845,2.326827632026594,2.326827632026594,3.2645651263093227,0.0580446018047335,0.0542763954293818,2.3268276320265935,2.2795328772246637,53824.0,20991.0,20991.0
breast,BREAST_XENIUM,uni_v2,random,pooled_quantile,2,0.8884343405907181,2.337690979351851,2.337690979351851,3.2721230674014614,0.0576078650567951,0.0539577943524868,2.3376909793518506,2.2960686626122184,53824.0,22793.0,22793.0
breast,BREAST_XENIUM,uni_v2,random,pooled_quantile,3,0.8878582468245989,2.3393179427339663,2.3393179427339663,3.2752472599506484,0.0577186272868916,0.0544231258885094,2.339317942733966,2.2819826522074194,53824.0,23818.0,23818.0
breast,BREAST_XENIUM,uni_v2,random,pooled_quantile,4,0.8870163035522476,2.337328750808969,2.337328750808969,3.285886213523802,0.0581466283813941,0.0548370680663583,2.337328750808969,2.2864181704220115,53824.0,23880.0,23880.0
