arm,task,encoder,design,method,fold,coverage,width_mean,width_median_of_cells,interval_score,miss_above,miss_below,width_mean_spotgene,width_median_spotgene,n_T,n_C,n_eff
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,pooled_quantile,kidVis_atlas_33-10331,0.846388474913065,1.502395426789836,1.502395426789836,2.4035859034757405,0.1122503725782414,0.0413611525086934,1.502395426789836,1.3780197399913927,16135.0,13627.333333333334,13627.333333333334
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,pooled_quantile,kidVis_atlas_IU-13437,0.933672936259143,1.7375924534504994,1.7375924534504994,2.06383222777735,0.0369331243469174,0.0293939393939394,1.7375924534504994,1.5907571986954032,15267.0,13221.0,13221.0
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,pooled_quantile,kidVis_atlas_IU-F52,0.9572667034787412,1.6584851505132945,1.6584851505132945,1.8759269358065984,0.0310123320449107,0.0117209644763482,1.6584851505132945,1.561936152096596,15296.0,12207.0,12207.0
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,pooled_quantile,kidVis_atlas_IU-F59,0.8711222111222111,1.5889144279212637,1.5889144279212637,2.558393249251605,0.1239116439116439,0.0049661449661449,1.5889144279212637,1.479319503009168,15350.666666666666,12457.666666666666,12457.666666666666
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,pooled_quantile,kidVis_atlas_IU-M32,0.9168497330282228,1.555950472278805,1.555950472278805,1.944096772680357,0.0722222222222222,0.010928044749555,1.5559504722788045,1.418372011926306,14484.333333333334,13538.333333333334,13538.333333333334
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,pooled_quantile,kidVis_atlas_IU-M61,0.9341636611364912,1.7239172037614845,1.7239172037614845,2.1143791034511925,0.0490422377174,0.0167941011461088,1.7239172037614845,1.5915159165176895,15992.333333333334,9291.0,9291.0
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,pooled_quantile,kidVis_papilla_20-0034,0.9177861424787396,1.5650038450764585,1.5650038450764587,1.8923958180308171,0.043789209535759,0.0384246479855011,1.5650038450764587,1.492030138512133,16006.666666666666,11896.0,11896.0
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,pooled_quantile,kidVis_papilla_KRP428,0.821648033126294,1.5278593022071616,1.5278593022071616,3.029420598588692,0.1652919254658385,0.0130600414078674,1.5278593022071616,1.467868411615198,14323.333333333334,16205.666666666666,16205.666666666666
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,pooled_quantile,kidVis_papilla_M50,0.8375256884504726,1.5893574644423414,1.5893574644423414,2.8333831213674134,0.130428825866557,0.0320454856829702,1.5893574644423414,1.4572581696012523,15747.666666666666,11394.666666666666,11394.666666666666
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_21-015,0.8702278303540133,1.473996709093311,1.473996709093311,2.1379793048166085,0.115422362425517,0.0143498072204696,1.473996709093311,1.3454792123842694,16135.0,6646.333333333333,6646.333333333333
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_21-019,0.8872303206997086,1.5778083464017083,1.5778083464017083,2.172638204610314,0.1051441528992549,0.0076255264010366,1.5778083464017083,1.4648513792175593,16135.0,8737.333333333334,8737.333333333334
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_27-10066,0.8479506172839507,1.6416912342097436,1.6416912342097438,2.692177362766278,0.1461234567901234,0.0059259259259259,1.6416912342097438,1.4968108295852538,16135.0,7901.333333333333,7901.333333333333
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_28-12265,0.889838634279073,1.494672201175306,1.494672201175306,2.088912109150188,0.098444687851106,0.0117166778698209,1.494672201175306,1.379205438456574,16135.0,7690.333333333333,7690.333333333333
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_29-10012,0.8774397590361446,1.5489814217651323,1.5489814217651323,2.339543316292278,0.106004016064257,0.0165562248995983,1.5489814217651323,1.3857246254274036,16135.0,7068.333333333333,7068.333333333333
