task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes
COAD,shipped,resnet50,random,abs,1,4,0,spot,TENX148,0.8818374558303888,2.455908896404149,3.498296056319268,0.06823321554770317,0.049929328621908124,1132,50
COAD,shipped,resnet50,random,abs,1,4,0,spot,TENX149,0.9040456769983688,2.4559088964041487,3.2960980780817515,0.04879282218597064,0.04716150081566069,1226,50
HCC,shipped,resnet50,random,abs,0,0,0,spot,NCBI642,0.9201168451801364,1.5670443327040255,2.0362472226227606,0.06541382667964947,0.014469328140214217,1027,50
HCC,shipped,resnet50,random,abs,0,0,0,spot,NCBI643,0.8819218241042346,1.567044332704026,2.2464920511914594,0.08436482084690552,0.03371335504885994,1228,50
HCC,shipped,resnet50,random,abs,0,1,0,spot,NCBI642,0.9188729703915951,1.5645900848142407,2.034609875061173,0.06844317096466095,0.01268385864374403,1047,50
HCC,shipped,resnet50,random,abs,0,1,0,spot,NCBI643,0.8799668874172185,1.5645900848142396,2.29386591526791,0.08730132450331127,0.0327317880794702,1208,50
HCC,shipped,resnet50,random,abs,0,2,0,spot,NCBI642,0.9248979591836735,1.586267661941754,2.030958994528884,0.06169096209912536,0.013411078717201166,1029,50
HCC,shipped,resnet50,random,abs,0,2,0,spot,NCBI643,0.8844535073409462,1.586267661941757,2.258160017960201,0.08057096247960847,0.03497553017944535,1226,50
HCC,shipped,resnet50,random,abs,0,3,0,spot,NCBI642,0.9236100386100387,1.5843925054197805,2.0267246830604346,0.06245173745173745,0.013938223938223939,1036,50
HCC,shipped,resnet50,random,abs,0,3,0,spot,NCBI643,0.8830680885972109,1.5843925054197805,2.2619581082858704,0.08390484003281377,0.03302707136997539,1219,50
HCC,shipped,resnet50,random,abs,0,4,0,spot,NCBI642,0.9248850574712644,1.5626516835256767,1.9854093092714147,0.06145593869731801,0.013659003831417625,1044,50
HCC,shipped,resnet50,random,abs,0,4,0,spot,NCBI643,0.8804459124690338,1.5626516835256772,2.2825704470489327,0.08867052023121387,0.03088356729975227,1211,50
HCC,shipped,resnet50,random,abs,1,0,0,spot,NCBI642,0.9155453501722158,1.5549190392002035,2.043402992205118,0.06936854190585534,0.015086107921928818,871,50
HCC,shipped,resnet50,random,abs,1,0,0,spot,NCBI643,0.8789532710280373,1.5549190392002052,2.26932802646139,0.0880747663551402,0.03297196261682243,1070,50
HCC,shipped,resnet50,random,abs,1,1,0,spot,NCBI642,0.9209810479375697,1.5736432826890328,2.027641878688588,0.06630992196209587,0.012709030100334449,897,50
HCC,shipped,resnet50,random,abs,1,1,0,spot,NCBI643,0.8841570881226053,1.573643282689033,2.2779756821710793,0.08773946360153256,0.02810344827586207,1044,50
HCC,shipped,resnet50,random,abs,1,2,0,spot,NCBI642,0.9231903190319032,1.590412141586689,2.022450946107242,0.0645984598459846,0.01221122112211221,909,50
HCC,shipped,resnet50,random,abs,1,2,0,spot,NCBI643,0.8871705426356589,1.5904121415866894,2.258204160657078,0.08253875968992248,0.030290697674418606,1032,50
HCC,shipped,resnet50,random,abs,1,3,0,spot,NCBI642,0.9218342541436464,1.5822959406830526,2.0419509372670293,0.06475138121546961,0.013414364640883978,905,50
HCC,shipped,resnet50,random,abs,1,3,0,spot,NCBI643,0.8866409266409266,1.5822959406830532,2.2684893067874996,0.08575289575289576,0.027606177606177607,1036,50
HCC,shipped,resnet50,random,abs,1,4,0,spot,NCBI642,0.9276031215161651,1.5845680611007904,1.9826961700677879,0.0578149386845039,0.014581939799331103,897,50
HCC,shipped,resnet50,random,abs,1,4,0,spot,NCBI643,0.8848659003831417,1.58456806110079,2.2693929158635533,0.08312260536398468,0.032011494252873564,1044,50
IDC,shipped,resnet50,random,abs,0,0,0,spot,NCBI783,0.8419031339031339,2.552015643575346,4.15824690744439,0.08055840455840454,0.07753846153846154,1755,50
IDC,shipped,resnet50,random,abs,0,0,0,spot,NCBI785,0.8521089023336215,2.552015643575343,3.956240582496921,0.07340535868625757,0.074485738980121,2314,50
IDC,shipped,resnet50,random,abs,0,0,0,spot,TENX95,0.8875350262697023,2.552015643575383,3.5442797089764535,0.06922504378283713,0.04323992994746059,4568,50
IDC,shipped,resnet50,random,abs,0,0,0,spot,TENX99,0.9265176509402838,2.552015643575388,3.1238284009252304,0.041497855493236556,0.031984493566479706,12124,50
IDC,shipped,resnet50,random,abs,0,1,0,spot,NCBI783,0.8375977337110482,2.5534204152164217,4.202731778408197,0.08922379603399433,0.07317847025495751,1765,50
IDC,shipped,resnet50,random,abs,0,1,0,spot,NCBI785,0.8493646649260227,2.5534204152164226,4.01771605295647,0.07650130548302872,0.07413402959094866,2298,50
IDC,shipped,resnet50,random,abs,0,1,0,spot,TENX95,0.8896306306306306,2.5534204152164226,3.54526302840238,0.06945045045045045,0.040918918918918926,4440,50
IDC,shipped,resnet50,random,abs,0,1,0,spot,TENX99,0.9275428291727852,2.553420415216457,3.115517493102285,0.04160221895904716,0.030854951868167727,12258,50
IDC,shipped,resnet50,random,abs,0,2,0,spot,NCBI783,0.8425129682997118,2.5509982454053075,4.093824761638474,0.08182132564841499,0.0756657060518732,1735,50
IDC,shipped,resnet50,random,abs,0,2,0,spot,NCBI785,0.8516389953171563,2.5509982454053066,3.9867773371250568,0.07931034482758621,0.06905065985525756,2349,50
IDC,shipped,resnet50,random,abs,0,2,0,spot,TENX95,0.8863925729442971,2.5509982454053004,3.559428838353905,0.07021662245800177,0.04339080459770115,4524,50
IDC,shipped,resnet50,random,abs,0,2,0,spot,TENX99,0.9269414959269316,2.550998245405272,3.108199231918543,0.041770756191886776,0.0312877478811816,12153,50
IDC,shipped,resnet50,random,abs,0,3,0,spot,NCBI783,0.8322981366459627,2.5183779337779963,4.181642168948957,0.08680971202710333,0.08089215132693393,1771,50
IDC,shipped,resnet50,random,abs,0,3,0,spot,NCBI785,0.8434782608695651,2.5183779337779955,4.070140882940054,0.07887123745819398,0.0776505016722408,2392,50
IDC,shipped,resnet50,random,abs,0,3,0,spot,TENX95,0.8859179170344218,2.5183779337780314,3.5461167881468008,0.07106796116504854,0.04301412180052957,4532,50
IDC,shipped,resnet50,random,abs,0,3,0,spot,TENX99,0.9245532902370297,2.518377933777983,3.1075814831542603,0.04240842035471573,0.0330382894082546,12066,50
IDC,shipped,resnet50,random,abs,0,4,0,spot,NCBI783,0.8346432748538011,2.5344675522591347,4.175687766068791,0.08511111111111111,0.08024561403508772,1710,50
IDC,shipped,resnet50,random,abs,0,4,0,spot,NCBI785,0.8456925031766201,2.5344675522591276,4.004784653419515,0.0839135959339263,0.07039390088945362,2361,50
IDC,shipped,resnet50,random,abs,0,4,0,spot,TENX95,0.884780682321666,2.5344675522590823,3.5675396354111983,0.07152414709791759,0.04369517058041648,4514,50
