encoder,task,fold,gene,pearson,n_train,n_test
resnet50,CCRCC,2,TFRC,0.06294531205241921,63464,10756
resnet50,CCRCC,2,TM2D3,0.029572849300489826,63464,10756
resnet50,CCRCC,2,TMEM91,0.1314971231343,63464,10756
resnet50,CCRCC,2,TP53INP1,0.06779521664743945,63464,10756
resnet50,CCRCC,2,TRBC1,0.16518250303273405,63464,10756
resnet50,CCRCC,2,VMP1,0.1982110815720974,63464,10756
resnet50,CCRCC,2,YWHAE,0.5161888856830769,63464,10756
resnet50,CCRCC,3,AKAP8,0.32347582563957067,67098,7122
resnet50,CCRCC,3,BLVRB,0.1557897256505377,67098,7122
resnet50,CCRCC,3,BTF3,0.16278027186716662,67098,7122
resnet50,CCRCC,3,CD109,0.358837763007889,67098,7122
resnet50,CCRCC,3,CD14,0.21337419016593276,67098,7122
resnet50,CCRCC,3,CHST15,0.4724672641063444,67098,7122
resnet50,CCRCC,3,CIB1,0.3372970534724332,67098,7122
resnet50,CCRCC,3,CKB,0.39913809056028243,67098,7122
resnet50,CCRCC,3,CPD,0.4291272207605718,67098,7122
resnet50,CCRCC,3,CPE,0.19874486285611281,67098,7122
resnet50,CCRCC,3,DERL1,0.5428568501891299,67098,7122
resnet50,CCRCC,3,DNAJB12,0.22790460219602893,67098,7122
resnet50,CCRCC,3,EGFL7,0.14531650529907975,67098,7122
resnet50,CCRCC,3,FLNB,0.45139483894306925,67098,7122
resnet50,CCRCC,3,GADD45B,0.29604298115899896,67098,7122
resnet50,CCRCC,3,GPNMB,-0.07921858226207548,67098,7122
resnet50,CCRCC,3,H3F3A,-0.08994539626471726,67098,7122
resnet50,CCRCC,3,HMOX1,0.07997288823428725,67098,7122
resnet50,CCRCC,3,HNRNPK,0.1694752556922799,67098,7122
resnet50,CCRCC,3,HSPA1A,0.021973282353360574,67098,7122
resnet50,CCRCC,3,HTRA1,0.3509033948283218,67098,7122
resnet50,CCRCC,3,IFI27,-0.14597975045982028,67098,7122
resnet50,CCRCC,3,IFI6,0.22328757679544256,67098,7122
resnet50,CCRCC,3,IRF7,0.3121923326283738,67098,7122
resnet50,CCRCC,3,ISG15,0.26603871449926636,67098,7122
resnet50,CCRCC,3,KRTCAP2,0.16630089956749633,67098,7122
resnet50,CCRCC,3,LAPTM4B,0.45252042709320844,67098,7122
resnet50,CCRCC,3,LRRC41,-0.004081708849399967,67098,7122
resnet50,CCRCC,3,LY6E,0.49740937789709305,67098,7122
resnet50,CCRCC,3,NAMPT,0.4817486530141979,67098,7122
resnet50,CCRCC,3,NOL3,0.3890477447133737,67098,7122
resnet50,CCRCC,3,NOTCH3,0.2703444390015539,67098,7122
resnet50,CCRCC,3,NT5DC2,0.2509372280805355,67098,7122
resnet50,CCRCC,3,PARP10,0.360991668190585,67098,7122
resnet50,CCRCC,3,PTGS1,0.3572236959489719,67098,7122
resnet50,CCRCC,3,PXN,0.27594630987491797,67098,7122
resnet50,CCRCC,3,RXRA,0.40446712500120063,67098,7122
resnet50,CCRCC,3,S100A9,0.018603086809530076,67098,7122
resnet50,CCRCC,3,SCARB1,0.22630694191531728,67098,7122
resnet50,CCRCC,3,SEMA4B,0.4097301504611205,67098,7122
resnet50,CCRCC,3,SLC15A4,0.19846308518002131,67098,7122
resnet50,CCRCC,3,SLC39A14,0.3591207783536109,67098,7122
resnet50,CCRCC,3,STK39,0.3184668360471872,67098,7122
resnet50,CCRCC,3,TFRC,0.5321127595672543,67098,7122
resnet50,CCRCC,3,TM2D3,0.3236476405999256,67098,7122
resnet50,CCRCC,3,TMEM91,0.5640724833570283,67098,7122
resnet50,CCRCC,3,TP53INP1,0.08118146392120236,67098,7122
resnet50,CCRCC,3,TRBC1,0.004372470266161083,67098,7122
resnet50,CCRCC,3,VMP1,0.2669530346420188,67098,7122
resnet50,CCRCC,3,YWHAE,0.12024462940165863,67098,7122
resnet50,CCRCC,4,AKAP8,0.15313075447370952,59472,14748
resnet50,CCRCC,4,BLVRB,0.309030480018108,59472,14748
resnet50,CCRCC,4,BTF3,0.40279414916953116,59472,14748
resnet50,CCRCC,4,CD109,0.4725530061595604,59472,14748
