encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,gene,gene_index,alpha_g,alpha_g_oos,n_T,n_C,deviance_ratio,score_residual,guard_pass,mean_count_T,var_count_T,mean_count_E,var_count_E,_source
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,AREG,4,0.4262595478664441,10.736193483552604,9980,4988,0.7829984857846003,7.058442043076884e-10,True,0.1447895791583166,0.1867701230700703,2.569310897435898,8.851135730211816,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,CLNS1A,9,0.0894165674090619,185.9777645431145,9980,4988,0.8053412967122258,2.489861645932244e-11,True,0.2090180360721442,0.2457148388369082,0.3048878205128205,0.3406052368622495,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,CROT,10,0.0719423164060235,0.1083567602153306,9980,4988,0.2984025338067687,3.8877909680667374e-10,True,1.8157314629258516,6.83115844877449,0.2594150641025641,0.2702980348601842,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,CXCL11,13,0.8181299649115402,6.8868310079673485,9980,4988,0.6997110286009456,1.87744336397513e-11,True,0.4321643286573146,0.9190375038080972,0.2668269230769231,0.4549361928394186,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,GTPBP3,18,0.0376645770338648,47.87881090162574,9980,4988,0.7973139921137682,2.1705724096963032e-08,True,0.3309619238476954,0.3944115407887625,0.6115785256410257,0.7537268605926566,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,HAUS8,20,0.1196229571448708,495.7271775513509,9980,4988,0.7362828993971458,2.3037262217989445e-12,True,0.4087174348697395,0.552544501770351,0.2293669871794871,0.2489230213743712,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,IFIT2,22,1.3956185687753937,345.15061888988225,9980,4988,0.7881896020899046,1.742866194316849e-09,True,0.1886773547094188,0.3372803428281555,0.2642227564102564,0.3507293496884135,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,MX1,27,0.7759076838711267,193.76562069662808,9980,4988,0.6775589459228829,6.217186360077872e-11,True,0.625751503006012,1.5772303701500603,1.4611378205128205,2.5001924939249625,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,MYH11,29,0.366785728284863,0.0305496458027573,9980,4988,0.645890535335535,1.8286884735229071e-10,True,0.7708416833667334,2.4057435544503174,0.1776842948717948,0.2262861211077375,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,NUDT1,31,0.1019803661966491,79.27674523355238,9980,4988,0.7525926236556336,5.813810050332507e-12,True,0.2973947895791583,0.3773256102343981,0.1634615384615384,0.1744370636376246,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,POLD3,36,0.093768712673228,50.54608171240745,9980,4988,0.7282867203192726,2.4109093683478374e-11,True,0.5114228456913827,0.693025132337026,0.2670272435897436,0.2971453985764118,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,RAB38,39,0.0752478712314774,0.1252608085451328,9980,4988,0.6406274948790099,1.4597426444378804e-08,True,0.5046092184368738,0.7759082048253236,5.435897435897436,18.446701498594905,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,RSAD2,40,0.7701915535533981,179.0081890889954,9980,4988,0.814784212232985,1.45183711271988e-10,True,0.1581162324649298,0.221314017954739,0.188301282051282,0.2314159076080534,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,SNCG,45,0.1385501593314241,1.73239110341679,9980,4988,0.7040455224212293,8.700637501057566e-12,True,0.5292585170340681,0.7965183398162193,5.542267628205129,25.29374504717466,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,1,donor,ZMAT5,49,0.1341446126309446,53.62244774974513,9980,4988,0.7592480555738971,1.1586632149900056e-08,True,0.4201402805611222,0.553898366931277,0.3173076923076923,0.3641323613273122,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,AAMDC,0,0.1015303873721954,0.6591605714754697,9980,4992,0.1624624435523644,8.505795138499896e-12,True,6.6915831663326655,122.19167180939696,0.6913060897435898,0.8425771757753701,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,AREG,4,0.6255333070053415,0.9563580664374658,9980,4992,0.8050562658160914,1.090541410515022e-07,True,0.2182364729458918,0.3249504922260595,2.569310897435898,8.851135730211816,a4_nb_dispersion__hoptimus0__main9.csv
