task,label_set,encoder,design,score,subset,alpha,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,n_finite_width,n_infinite_width,_source
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,3,predicted_value_decile,8,4275,3284,0.768187134502924,1.6222601425438596,1.0050963998538012,4275,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,3,predicted_value_decile,9,4398,3489,0.7933151432469304,1.6235153940711686,1.5600650331116417,4398,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,4,predicted_value_decile,0,8904,8367,0.939690026954178,1.620737519654088,0.0195398836230117,8904,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,4,predicted_value_decile,1,8794,8421,0.9575847168523992,1.6232046752402205,0.1899771361777206,8794,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,4,predicted_value_decile,2,8741,8329,0.9528658048278228,1.62207511654845,0.2886115059865147,8741,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,4,predicted_value_decile,3,8802,8248,0.9370597591456488,1.6190576360486253,0.3734426535251221,8802,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,4,predicted_value_decile,4,8732,8112,0.9289967934035732,1.6246461470739808,0.4599826618776483,8732,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,4,predicted_value_decile,5,8815,8305,0.9421440726035168,1.6243618831537152,0.5471358967314237,8815,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,4,predicted_value_decile,6,8920,8002,0.897085201793722,1.6205286137191703,0.6402849548066144,8920,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,4,predicted_value_decile,7,8993,8039,0.8939174913821861,1.619934536757756,0.7672165156232625,8993,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,4,predicted_value_decile,8,9029,6913,0.7656440358843726,1.623445438829051,1.0073981450395946,9029,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,4,predicted_value_decile,9,8758,6904,0.7883078328385477,1.622019020110185,1.5626978102163736,8758,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,5,predicted_value_decile,0,10056,9480,0.9427207637231504,1.6268570808161793,0.0200762904249872,10056,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,5,predicted_value_decile,1,10120,9655,0.9540513833992096,1.629304980854743,0.1900292558632349,10120,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,5,predicted_value_decile,2,10201,9665,0.947456131751789,1.6255422262523282,0.2886774657509067,10201,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,5,predicted_value_decile,3,10055,9406,0.9354549975136748,1.6278720941074092,0.376195815592367,10055,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,5,predicted_value_decile,4,9990,9239,0.9248248248248248,1.6253742023273274,0.4571000199418168,9990,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,5,predicted_value_decile,5,10094,9504,0.941549435308104,1.6224215034921736,0.5392736983294532,10094,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,5,predicted_value_decile,6,9650,8688,0.9003108808290156,1.625325554566062,0.6395921713082902,9650,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,5,predicted_value_decile,7,10021,8928,0.8909290489971061,1.6288871494860793,0.7737196223867379,10021,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,5,predicted_value_decile,8,9925,7653,0.7710831234256927,1.629831549118388,1.0121136059508815,9925,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,5,predicted_value_decile,9,9812,7769,0.7917855686913983,1.6271195347533631,1.5683094122630452,9812,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,0,predicted_value_decile,0,11101,9482,0.8541572831276462,0.8220479855418431,0.0188985016526171,11101,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,0,predicted_value_decile,1,10926,9747,0.8920922570016474,1.0330274045281895,0.1896069697925247,10926,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,0,predicted_value_decile,2,10884,9792,0.8996692392502756,1.162304346546536,0.2903054548247427,10884,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,0,predicted_value_decile,3,10956,9946,0.9078130704636728,1.28055278642981,0.3766801046515607,10956,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,0,predicted_value_decile,4,10945,9996,0.913293741434445,1.3786225159890362,0.4571372933559844,10945,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,0,predicted_value_decile,5,11017,10072,0.9142234728147408,1.471192780191976,0.5442568427628892,11017,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,0,predicted_value_decile,6,11098,10123,0.9121463326725536,1.5698443694809876,0.6425490868287079,11098,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,0,predicted_value_decile,7,11014,10027,0.9103867804612312,1.7033936566528962,0.7730532234542401,11014,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,0,predicted_value_decile,8,11162,9953,0.8916860777638416,1.8696027467635727,0.9994551127710088,11162,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,0,predicted_value_decile,9,11123,10036,0.9022745662141508,2.320583616155713,1.571924447091612,11123,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,1,predicted_value_decile,0,3954,3367,0.851542741527567,0.8208398042330551,0.0194083384087909,3954,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,1,predicted_value_decile,1,3888,3454,0.8883744855967078,1.014575094843107,0.1909032751012731,3888,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,1,predicted_value_decile,2,3973,3550,0.8935313365215203,1.14164900185628,0.2904986159014756,3973,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,1,predicted_value_decile,3,3966,3585,0.9039334341906202,1.2448191217142588,0.3732275489118444,3966,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,1,predicted_value_decile,4,3958,3592,0.9075290550783224,1.3326448707522738,0.4542151514239357,3958,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,1,predicted_value_decile,5,3987,3626,0.90945573112616,1.4277233528498872,0.5450793080441121,3987,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,1,predicted_value_decile,6,3969,3613,0.9103048626858152,1.5420947893046106,0.6476866860748929,3969,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,1,predicted_value_decile,7,3967,3596,0.9064784471893118,1.6590014593048903,0.7712241716820015,3967,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,1,predicted_value_decile,8,3872,3564,0.9204545454545454,1.93757036697766,1.0034143116848528,3872,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,1,predicted_value_decile,9,3880,3544,0.91340206185567,2.383192553962629,1.5628065600837628,3880,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,2,predicted_value_decile,0,6356,5426,0.8536815607300189,0.8507007097132631,0.0198734408283173,6356,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,2,predicted_value_decile,1,6506,5803,0.8919458960959115,1.0529925501460191,0.189797740036841,6506,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,2,predicted_value_decile,2,6481,5859,0.9040271563030396,1.1740041955572056,0.2891841936104092,6481,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,2,predicted_value_decile,3,6595,6040,0.9158453373768006,1.288406374384003,0.3767034315177217,6595,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,2,predicted_value_decile,4,6624,6036,0.9112318840579712,1.3837896522116546,0.4591970766224147,6624,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,2,predicted_value_decile,5,6402,5835,0.9114339268978444,1.4762086066854108,0.5457988287351608,6402,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,2,predicted_value_decile,6,6474,5928,0.9156626506024096,1.588353715342138,0.643088655704549,6474,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,2,predicted_value_decile,7,6268,5716,0.9119336311423102,1.703803047223995,0.7660874182354818,6268,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,2,predicted_value_decile,8,6269,5576,0.8894560535970649,1.87423856476312,1.0100852782541074,6269,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,2,predicted_value_decile,9,6561,5858,0.8928516994360616,2.311237806736778,1.5890239197530864,6561,0,a4_by_decile__hoptimus0__cqrmain.csv
