metric,scope,value,n,note
coverage_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=dwr encoder=uni_v2,1.0,72,
width_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=dwr encoder=uni_v2,,72,
coverage_mean,donor_set=24 arm=a1_rule_K6 method=hcp,1.0,216,"mean over folds, draws and encoders of the per-fold coverage"
coverage_sd_across_cells,donor_set=24 arm=a1_rule_K6 method=hcp,0.0,216,
width_mean,donor_set=24 arm=a1_rule_K6 method=hcp,,216,
width_median,donor_set=24 arm=a1_rule_K6 method=hcp,,216,
frac_cells_at_or_above_nominal,donor_set=24 arm=a1_rule_K6 method=hcp,1.0,216,fraction of cells with coverage >= 0.90
frac_cells_finite,donor_set=24 arm=a1_rule_K6 method=hcp,0.0,216,
n_T_donors_median,donor_set=24 arm=a1_rule_K6 method=hcp,17.0,216,
n_T_spots_matched_median,donor_set=24 arm=a1_rule_K6 method=hcp,35996.0,216,
n_T_spots_natural_median,donor_set=24 arm=a1_rule_K6 method=hcp,52671.5,216,
n_C_median,donor_set=24 arm=a1_rule_K6 method=hcp,18812.0,216,
K_median,donor_set=24 arm=a1_rule_K6 method=hcp,6.0,216,
coverage_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=hcp encoder=hoptimus0,1.0,72,
width_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=hcp encoder=hoptimus0,,72,
coverage_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=hcp encoder=resnet50,1.0,72,
width_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=hcp encoder=resnet50,,72,
coverage_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=hcp encoder=uni_v2,1.0,72,
width_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=hcp encoder=uni_v2,,72,
coverage_mean,donor_set=24 arm=a1_rule_K6 method=pooled,0.8641703258818441,216,"mean over folds, draws and encoders of the per-fold coverage"
coverage_sd_across_cells,donor_set=24 arm=a1_rule_K6 method=pooled,0.14431368574833053,216,
width_mean,donor_set=24 arm=a1_rule_K6 method=pooled,2.118331951004647,216,
width_median,donor_set=24 arm=a1_rule_K6 method=pooled,2.0176180796733374,216,
frac_cells_at_or_above_nominal,donor_set=24 arm=a1_rule_K6 method=pooled,0.5601851851851852,216,fraction of cells with coverage >= 0.90
frac_cells_finite,donor_set=24 arm=a1_rule_K6 method=pooled,1.0,216,
n_T_donors_median,donor_set=24 arm=a1_rule_K6 method=pooled,17.0,216,
n_T_spots_matched_median,donor_set=24 arm=a1_rule_K6 method=pooled,35996.0,216,
n_T_spots_natural_median,donor_set=24 arm=a1_rule_K6 method=pooled,52671.5,216,
n_C_median,donor_set=24 arm=a1_rule_K6 method=pooled,18812.0,216,
K_median,donor_set=24 arm=a1_rule_K6 method=pooled,18812.0,216,
coverage_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=pooled encoder=hoptimus0,0.8610559868289842,72,
width_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=pooled encoder=hoptimus0,2.09778765704315,72,
coverage_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=pooled encoder=resnet50,0.8660822785144952,72,
width_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=pooled encoder=resnet50,2.1700528017809892,72,
coverage_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=pooled encoder=uni_v2,0.8653727123020527,72,
width_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=pooled encoder=uni_v2,2.087155394189802,72,
coverage_mean,donor_set=24 arm=random method=dwr,0.880833865634279,90,"mean over folds, draws and encoders of the per-fold coverage"
coverage_sd_across_cells,donor_set=24 arm=random method=dwr,0.003344908961554128,90,
width_mean,donor_set=24 arm=random method=dwr,1.6425317571541989,90,
width_median,donor_set=24 arm=random method=dwr,1.6025974165958812,90,
frac_cells_at_or_above_nominal,donor_set=24 arm=random method=dwr,0.0,90,fraction of cells with coverage >= 0.90
frac_cells_finite,donor_set=24 arm=random method=dwr,1.0,90,
n_T_donors_median,donor_set=24 arm=random method=dwr,24.0,90,
n_T_spots_matched_median,donor_set=24 arm=random method=dwr,35996.0,90,
n_T_spots_natural_median,donor_set=24 arm=random method=dwr,49174.0,90,
n_C_median,donor_set=24 arm=random method=dwr,12294.0,90,
K_median,donor_set=24 arm=random method=dwr,12294.0,90,
coverage_mean_by_encoder,donor_set=24 arm=random method=dwr encoder=hoptimus0,0.8827673685178659,30,
width_mean_by_encoder,donor_set=24 arm=random method=dwr encoder=hoptimus0,1.6048919071021392,30,
coverage_mean_by_encoder,donor_set=24 arm=random method=dwr encoder=resnet50,0.8767166033550392,30,
width_mean_by_encoder,donor_set=24 arm=random method=dwr encoder=resnet50,1.7217186698095728,30,
coverage_mean_by_encoder,donor_set=24 arm=random method=dwr encoder=uni_v2,0.8830176250299324,30,
width_mean_by_encoder,donor_set=24 arm=random method=dwr encoder=uni_v2,1.6009846945508859,30,
