encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_C,n_E,sigma_floor,sigma_clip_lo_pct,sigma_clip_hi_pct,sigma_clip_lo,sigma_clip_hi,sigma_p1_raw_cal,sigma_p99_raw_cal,sigma_min_raw_cal,sigma_min_raw_test,sigma_median_raw_cal,frac_cal_raw_below_floor,frac_test_raw_below_floor,p1_below_floor,frac_test_clipped_low,frac_test_clipped_high,frac_cal_clipped_low,frac_cal_clipped_high,lower_clip_binds,upper_clip_binds,_source
hoptimus0,HCC,shipped,random,0,2,0,spot,389,2255,0.001,1.0,99.0,0.001,0.7176408574534319,-0.0443441400008918,0.7176408574534319,-0.4086190056729998,-0.5688732735200023,0.3059458877009822,0.0222622107969151,0.0167361419068736,True,0.0167361419068736,0.0090643015521064,0.0222622107969151,0.010025706940874,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,random,0,3,0,spot,389,2255,0.001,1.0,99.0,0.001,0.7107999582586174,-0.0315454888394285,0.7107999582586174,-0.5107255526234549,-0.5307429234419354,0.3071860129943249,0.0166580976863753,0.0200798226164079,True,0.0200798226164079,0.0095432372505543,0.0166580976863753,0.010025706940874,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,random,0,4,0,spot,389,2255,0.001,1.0,99.0,0.001,0.7046812064714582,-0.0492635089971606,0.7046812064714582,-0.4361991977699719,-0.8709627193491359,0.3046505099879111,0.0219023136246786,0.019840354767184,True,0.019840354767184,0.0095077605321507,0.0219023136246786,0.010025706940874,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,random,1,0,0,spot,451,1941,0.001,1.0,99.0,0.001,0.7048596534655197,-0.0476223370095858,0.7048596534655197,-0.6500373103842233,-0.6657558424010681,0.3033297705188151,0.0199556541019955,0.0198763523956723,True,0.0198763523956723,0.0097887686759402,0.0199556541019955,0.0100221729490022,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,random,1,1,0,spot,451,1941,0.001,1.0,99.0,0.001,0.7077960525433286,-0.0335539254375162,0.7077960525433286,-0.4510689228352464,-0.6425848147061768,0.3088194317595222,0.0186252771618625,0.0212879958784131,True,0.0212879958784131,0.011334363730036,0.0186252771618625,0.0100221729490022,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,random,1,2,0,spot,451,1941,0.001,1.0,99.0,0.001,0.7089892250018067,-0.043507827631571,0.7089892250018067,-0.3891727375493954,-0.4772244145845597,0.313140176783364,0.0194235033259423,0.0198042246264811,True,0.0198042246264811,0.0095929933024214,0.0194235033259423,0.0100221729490022,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,random,1,3,0,spot,451,1941,0.001,1.0,99.0,0.001,0.7143293016510356,-0.0374136806232623,0.7143293016510356,-0.4363310540885354,-0.5149191296703852,0.309553621306443,0.0201330376940133,0.0171045852653271,True,0.0171045852653271,0.0089953632148377,0.0201330376940133,0.0100221729490022,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,random,1,4,0,spot,451,1941,0.001,1.0,99.0,0.001,0.7150567428288824,-0.0418773201710074,0.7150567428288824,-0.3322113723754024,-0.4096261530916964,0.3116462067331975,0.0194235033259423,0.0180937660999484,True,0.0180937660999484,0.008737764039155,0.0194235033259423,0.0100221729490022,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,patient,0,-1,0,block,407,2255,0.001,1.0,99.0,0.001,0.63875094801692,-0.0786647640474695,0.63875094801692,-0.5087697057709473,-0.6589557138628332,0.2594797850981236,0.0365110565110565,0.0549445676274944,True,0.0549445676274944,0.031450110864745,0.0365110565110565,0.01002457002457,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,patient,0,-1,1,block,400,2255,0.001,1.0,99.0,0.001,0.6460386221524262,-0.0694975178253001,0.6460386221524262,-0.4472847529473649,-0.5968235055278277,0.2692255687029562,0.03085,0.0551219512195121,True,0.0551219512195121,0.0181374722838137,0.03085,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,patient,0,-1,2,block,421,2255,0.001,1.0,99.0,0.001,0.661079322895445,-0.0542993612991357,0.661079322895445,-0.4386707731110796,-0.5568049958597043,0.2621306839714598,0.0261282660332541,0.0391662971175166,True,0.0391662971175166,0.0175343680709534,0.0261282660332541,0.0100237529691211,True,True,a4_sigma_clip__hoptimus0__main9.csv
