check,score,n_cells,statistic,value,tol,passed,note,_source,encoder,a1_tag,scope
ANCHOR_scaled_reproduces_A1_by_fold,scaled,27,max |dcoverage| against a1_by_fold,2.220446049250313e-16,1e-12,True,max |dwidth| 2.477e-09; source results/round3/A1_coverage/a1_by_fold__hoptimus0__slideout.csv,a4_acceptance__hoptimus0__slideout.csv,,,
ANCHOR_abs_reproduces_A1_by_fold,abs,107,max |dcoverage| against a1_by_fold,0.1182779827798277,1e-12,False,max |dwidth| 8.087e-01; source results/round3/A1_coverage/a1_by_fold__resnet50__main.csv,a4_acceptance__resnet50__cqrmain.csv,,,
ANCHOR_scaled_reproduces_A1_by_fold,scaled,0,no overlapping folds,,1e-12,,source results/round3/A1_coverage/a1_by_fold__resnet50__main.csv,a4_acceptance__resnet50__cqrmain.csv,,,
A4_cqr_coverage_at_nominal_on_random,cqr,10,max |coverage - nominal| over tasks,0.0131043913342983,0.02,True,nominal 0.90; mean over folds per task,a4_acceptance__resnet50__cqrmain.csv,,,
ANCHOR_abs_reproduces_A1_by_fold,abs,71,max |dcoverage| against a1_by_fold,2.220446049250313e-16,1e-12,True,max |dwidth| 4.974e-14; source results/round3/A1_coverage/a1_by_fold__resnet50__main.csv,a4_acceptance__resnet50__main9.csv,,,
ANCHOR_scaled_reproduces_A1_by_fold,scaled,71,max |dcoverage| against a1_by_fold,2.220446049250313e-16,1e-12,True,max |dwidth| 7.935e-12; source results/round3/A1_coverage/a1_by_fold__resnet50__main.csv,a4_acceptance__resnet50__main9.csv,,,
A4_nb_pit_uniform_on_random,nb,1840,"median exact KS over (fold, gene)",0.0720295380084917,0.05,False,"max KS 0.4230; the 0.05 threshold is this stage's own, section 4.6 asks for the statistic to be reported, not for a level",a4_acceptance__resnet50__main9.csv,,,
ANCHOR_abs_reproduces_A1_by_fold,abs,36,max |dcoverage| against a1_by_fold,2.220446049250313e-16,1e-12,True,max |dwidth| 1.880e-11; source results/round3/A1_coverage/a1_by_fold__resnet50__main.csv,a4_acceptance__resnet50__mainCCRCC.csv,,,
ANCHOR_scaled_reproduces_A1_by_fold,scaled,36,max |dcoverage| against a1_by_fold,2.220446049250313e-16,1e-12,True,max |dwidth| 3.318e-10; source results/round3/A1_coverage/a1_by_fold__resnet50__main.csv,a4_acceptance__resnet50__mainCCRCC.csv,,,
A4_nb_pit_uniform_on_random,nb,480,"median exact KS over (fold, gene)",0.0274018704356511,0.05,True,"max KS 0.0880; the 0.05 threshold is this stage's own, section 4.6 asks for the statistic to be reported, not for a level",a4_acceptance__resnet50__mainCCRCC.csv,,,
ANCHOR_abs_reproduces_A1_by_fold,abs,27,max |dcoverage| against a1_by_fold,2.220446049250313e-16,1e-12,True,max |dwidth| 9.326e-15; source results/round3/A1_coverage/a1_by_fold__resnet50__slideout.csv,a4_acceptance__resnet50__slideout.csv,,,
ANCHOR_scaled_reproduces_A1_by_fold,scaled,27,max |dcoverage| against a1_by_fold,2.220446049250313e-16,1e-12,True,max |dwidth| 1.545e-13; source results/round3/A1_coverage/a1_by_fold__resnet50__slideout.csv,a4_acceptance__resnet50__slideout.csv,,,
ANCHOR_abs_reproduces_A1_by_fold,abs,107,max |dcoverage| against a1_by_fold,0.134324252136752,1e-12,False,max |dwidth| 6.183e-01; source results/round3/A1_coverage/a1_by_fold__uni_v2__main.csv,a4_acceptance__uni_v2__cqrmain.csv,,,
ANCHOR_scaled_reproduces_A1_by_fold,scaled,0,no overlapping folds,,1e-12,,source results/round3/A1_coverage/a1_by_fold__uni_v2__main.csv,a4_acceptance__uni_v2__cqrmain.csv,,,
A4_cqr_coverage_at_nominal_on_random,cqr,10,max |coverage - nominal| over tasks,0.0113886452695299,0.02,True,nominal 0.90; mean over folds per task,a4_acceptance__uni_v2__cqrmain.csv,,,
ANCHOR_abs_reproduces_A1_by_fold,abs,71,max |dcoverage| against a1_by_fold,3.3306690738754696e-16,1e-12,True,max |dwidth| 6.058e-10; source results/round3/A1_coverage/a1_by_fold__uni_v2__main.csv,a4_acceptance__uni_v2__main9.csv,,,
ANCHOR_scaled_reproduces_A1_by_fold,scaled,71,max |dcoverage| against a1_by_fold,3.3306690738754696e-16,1e-12,True,max |dwidth| 6.221e-08; source results/round3/A1_coverage/a1_by_fold__uni_v2__main.csv,a4_acceptance__uni_v2__main9.csv,,,
A4_nb_pit_uniform_on_random,nb,1840,"median exact KS over (fold, gene)",0.0671822627612096,0.05,False,"max KS 0.3282; the 0.05 threshold is this stage's own, section 4.6 asks for the statistic to be reported, not for a level",a4_acceptance__uni_v2__main9.csv,,,
ANCHOR_abs_reproduces_A1_by_fold,abs,36,max |dcoverage| against a1_by_fold,1.1102230246251563e-16,1e-12,True,max |dwidth| 9.770e-15; source results/round3/A1_coverage/a1_by_fold__uni_v2__main.csv,a4_acceptance__uni_v2__mainCCRCC.csv,,,
ANCHOR_scaled_reproduces_A1_by_fold,scaled,36,max |dcoverage| against a1_by_fold,2.220446049250313e-16,1e-12,True,max |dwidth| 1.421e-14; source results/round3/A1_coverage/a1_by_fold__uni_v2__main.csv,a4_acceptance__uni_v2__mainCCRCC.csv,,,
A4_nb_pit_uniform_on_random,nb,480,"median exact KS over (fold, gene)",0.0227991085715398,0.05,True,"max KS 0.0632; the 0.05 threshold is this stage's own, section 4.6 asks for the statistic to be reported, not for a level",a4_acceptance__uni_v2__mainCCRCC.csv,,,
ANCHOR_abs_reproduces_A1_by_fold,abs,27,max |dcoverage| against a1_by_fold,3.3306690738754696e-16,1e-12,True,max |dwidth| 2.876e-10; source results/round3/A1_coverage/a1_by_fold__uni_v2__slideout.csv,a4_acceptance__uni_v2__slideout.csv,,,
ANCHOR_scaled_reproduces_A1_by_fold,scaled,27,max |dcoverage| against a1_by_fold,2.220446049250313e-16,1e-12,True,max |dwidth| 7.699e-10; source results/round3/A1_coverage/a1_by_fold__uni_v2__slideout.csv,a4_acceptance__uni_v2__slideout.csv,,,
ANCHOR_cell_abs_reproduces_A1_by_slide,abs,359,"max |dcoverage| per (fold, repeat, cal draw)",4.440892098500626e-16,1e-12,True,max |dwidth| 3.948e-10; source results/round3/A1_coverage/a1_by_slide__hoptimus0__main.csv,,hoptimus0,main,"merged, every cell"
ANCHOR_cell_scaled_reproduces_A1_by_slide,scaled,359,"max |dcoverage| per (fold, repeat, cal draw)",4.440892098500626e-16,1e-12,True,max |dwidth| 3.280e-09; source results/round3/A1_coverage/a1_by_slide__hoptimus0__main.csv,,hoptimus0,main,"merged, every cell"
ANCHOR_cell_abs_reproduces_A1_by_slide,abs,81,"max |dcoverage| per (fold, repeat, cal draw)",3.3306690738754696e-16,1e-12,True,max |dwidth| 1.906e-08; source results/round3/A1_coverage/a1_by_slide__hoptimus0__slideout.csv,,hoptimus0,slideout,"merged, every cell"
ANCHOR_cell_scaled_reproduces_A1_by_slide,scaled,81,"max |dcoverage| per (fold, repeat, cal draw)",3.3306690738754696e-16,1e-12,True,max |dwidth| 7.883e-09; source results/round3/A1_coverage/a1_by_slide__hoptimus0__slideout.csv,,hoptimus0,slideout,"merged, every cell"
ANCHOR_cell_abs_reproduces_A1_by_slide,abs,359,"max |dcoverage| per (fold, repeat, cal draw)",4.440892098500626e-16,1e-12,True,max |dwidth| 1.174e-09; source results/round3/A1_coverage/a1_by_slide__uni_v2__main.csv,,uni_v2,main,"merged, every cell"
ANCHOR_cell_scaled_reproduces_A1_by_slide,scaled,359,"max |dcoverage| per (fold, repeat, cal draw)",4.440892098500626e-16,1e-12,True,max |dwidth| 1.873e-07; source results/round3/A1_coverage/a1_by_slide__uni_v2__main.csv,,uni_v2,main,"merged, every cell"
ANCHOR_cell_abs_reproduces_A1_by_slide,abs,81,"max |dcoverage| per (fold, repeat, cal draw)",4.440892098500626e-16,1e-12,True,max |dwidth| 4.221e-10; source results/round3/A1_coverage/a1_by_slide__uni_v2__slideout.csv,,uni_v2,slideout,"merged, every cell"
ANCHOR_cell_scaled_reproduces_A1_by_slide,scaled,81,"max |dcoverage| per (fold, repeat, cal draw)",3.3306690738754696e-16,1e-12,True,max |dwidth| 1.946e-09; source results/round3/A1_coverage/a1_by_slide__uni_v2__slideout.csv,,uni_v2,slideout,"merged, every cell"
ANCHOR_cell_abs_reproduces_A1_by_slide,abs,359,"max |dcoverage| per (fold, repeat, cal draw)",4.440892098500626e-16,1e-12,True,max |dwidth| 5.100e-11; source results/round3/A1_coverage/a1_by_slide__resnet50__main.csv,,resnet50,main,"merged, every cell"
ANCHOR_cell_scaled_reproduces_A1_by_slide,scaled,359,"max |dcoverage| per (fold, repeat, cal draw)",4.440892098500626e-16,1e-12,True,max |dwidth| 9.095e-10; source results/round3/A1_coverage/a1_by_slide__resnet50__main.csv,,resnet50,main,"merged, every cell"
ANCHOR_cell_abs_reproduces_A1_by_slide,abs,81,"max |dcoverage| per (fold, repeat, cal draw)",4.440892098500626e-16,1e-12,True,max |dwidth| 2.975e-14; source results/round3/A1_coverage/a1_by_slide__resnet50__slideout.csv,,resnet50,slideout,"merged, every cell"
ANCHOR_cell_scaled_reproduces_A1_by_slide,scaled,81,"max |dcoverage| per (fold, repeat, cal draw)",3.3306690738754696e-16,1e-12,True,max |dwidth| 4.121e-13; source results/round3/A1_coverage/a1_by_slide__resnet50__slideout.csv,,resnet50,slideout,"merged, every cell"
