task,label_set,encoder,design,score,alpha,subset,gene_subset,is_conformal,n_folds,n_cells,coverage,coverage_sd,width_mean,width_median,width_median_of_cells,interval_score,miss_above,miss_below,n_infinite,n_spot_gene,n_genes,n_T,n_C,K_median,frac_infinite,_source
LYMPH_IDC,shipped,resnet50,patient,nb_conformal,0.1,cqr_matched,every_kth_16,True,4,4,0.8055106092763659,0.0835190480268955,1.5001746514463956,1.3701597308354978,1.5534060312163973,4.202458887983326,0.1849401169644754,0.0095492737591587,4992,119784,6,9980,4988,1.0,0.0416750150270486,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,nb_conformal,0.1,full,every_kth_16,True,4,12,0.8338025475551044,0.1014319010010824,1.375957919596085,1.2982392127225524,1.4195833978620318,3.096362207807557,0.1550595301921727,0.0111379222527227,4992,958272,16,9980,4988,1.0,0.005209376878381,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,nb_conformal,0.1,nb_matched,every_kth_16,True,4,12,0.8338025475551044,0.1014319010010824,1.375957919596085,1.2982392127225524,1.4195833978620318,3.096362207807557,0.1550595301921727,0.0111379222527227,4992,958272,16,9980,4988,1.0,0.005209376878381,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,nb_conformal,0.15,cqr_matched,every_kth_16,True,4,4,0.7828098801975167,0.0880508592629731,1.381469541743375,1.242453324894,1.4522314780139824,3.5490276407733843,0.1996191433693,0.0175709764331832,4992,119784,6,9980,4988,1.0,0.0416750150270486,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,nb_conformal,0.15,full,every_kth_16,True,4,12,0.8069889511336288,0.1084490210979093,1.2580286412937307,1.2077233986667564,1.3100480677986264,2.6647297688614096,0.1756116924207842,0.0173993564455869,4992,958272,16,9980,4988,1.0,0.005209376878381,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,nb_conformal,0.15,nb_matched,every_kth_16,True,4,12,0.8069889511336288,0.1084490210979093,1.2580286412937307,1.2077233986667564,1.3100480677986264,2.6647297688614096,0.1756116924207842,0.0173993564455869,4992,958272,16,9980,4988,1.0,0.005209376878381,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,nb_conformal,0.2,cqr_matched,every_kth_16,True,4,4,0.7621978980857477,0.0865433832484886,1.2836814270818,1.1705328067810548,1.3437220953630893,3.162896380942459,0.2094632754294066,0.0283388264848456,4992,119784,6,9980,4988,1.0,0.0416750150270486,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,nb_conformal,0.2,full,every_kth_16,True,4,12,0.7851875375299757,0.1118558944999823,1.1637555324630044,1.1891281027239056,1.2026462219410636,2.403127953997164,0.190508843821325,0.0243036186486991,4992,958272,16,9980,4988,1.0,0.005209376878381,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,nb_conformal,0.2,nb_matched,every_kth_16,True,4,12,0.7851875375299757,0.1118558944999823,1.1637555324630044,1.1891281027239056,1.2026462219410636,2.403127953997164,0.190508843821325,0.0243036186486991,4992,958272,16,9980,4988,1.0,0.005209376878381,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,nb_conformal,0.3,cqr_matched,every_kth_16,True,4,4,0.7257900866459845,0.0868707237299651,1.1965215180792532,0.9972460116410684,1.2660767354464704,2.6756836140102314,0.2252280071530647,0.0489819062009506,0,119784,6,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
