name,scope,value,n,source,note
frac_cells_scaled_clip_narrows_scaled_by_half,"subset nb_matched, alpha 0.1",0.0022727272727272726,1320,a4_by_fold.csv,memo prediction 1 asks for a narrowing of more than half
width_ratio_scaled_over_abs,"subset nb_matched, alpha 0.1",1.5666381758238574,1320,a4_by_fold.csv,
frac_folds_lower_clip_binds,every fold with scaled_clip,0.9984848484848485,1320,a4_sigma_clip.csv,"binds = at least one TEST sigmahat below the lower clip, so the clip changes that fold's intervals"
frac_folds_p1_of_sigma_below_harness_floor,every fold with scaled_clip,0.20454545454545456,1320,a4_sigma_clip.csv,"the 1st percentile of the calibration sigmahat is itself below SIGMA_FLOOR, so the lower clip IS the floor and the percentile never acts"
mean_frac_cal_sigma_below_floor,every fold with scaled_clip,0.0059531638777689825,1320,a4_sigma_clip.csv,the extrapolation defect: an unconstrained ridge on absolute residuals predicting a negative sigmahat
mean_frac_test_sigma_clipped_high,every fold with scaled_clip,0.015908713852354164,1320,a4_sigma_clip.csv,
top_decile_coverage_abs,"subset cqr_matched, all designs",0.7223539568222338,1403917,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_abs__donor,"subset cqr_matched, design donor",0.7052647896057045,425772,a4_by_decile.csv,
top_decile_coverage_abs__patient,"subset cqr_matched, design patient",0.712160499046438,425772,a4_by_decile.csv,
top_decile_coverage_abs__random,"subset cqr_matched, design random",0.7839947201788751,425772,a4_by_decile.csv,
top_decile_coverage_abs__slide_out,"subset cqr_matched, design slide_out",0.6068040536804606,126601,a4_by_decile.csv,
top_decile_coverage_cqr,"subset cqr_matched, all designs",0.8746546268091923,1384734,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_cqr__donor,"subset cqr_matched, design donor",0.8479176760807597,406589,a4_by_decile.csv,
top_decile_coverage_cqr__patient,"subset cqr_matched, design patient",0.8601199703127496,425772,a4_by_decile.csv,
top_decile_coverage_cqr__random,"subset cqr_matched, design random",0.8982741936999145,425772,a4_by_decile.csv,
top_decile_coverage_cqr__slide_out,"subset cqr_matched, design slide_out",0.9299689575911723,126601,a4_by_decile.csv,
top_decile_coverage_nb,"subset cqr_matched, all designs",0.7405447812090208,1404674,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_nb__donor,"subset cqr_matched, design donor",0.6812748688351532,504899,a4_by_decile.csv,
top_decile_coverage_nb__patient,"subset cqr_matched, design patient",0.6977603889472246,347605,a4_by_decile.csv,
top_decile_coverage_nb__random,"subset cqr_matched, design random",0.8330540993352429,425569,a4_by_decile.csv,
top_decile_coverage_nb__slide_out,"subset cqr_matched, design slide_out",0.7834219318962725,126601,a4_by_decile.csv,
top_decile_coverage_nb_conformal,"subset cqr_matched, all designs",0.8667875962678885,1404674,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_nb_conformal__donor,"subset cqr_matched, design donor",0.851401963561029,504899,a4_by_decile.csv,
top_decile_coverage_nb_conformal__patient,"subset cqr_matched, design patient",0.8665410451518246,347605,a4_by_decile.csv,
top_decile_coverage_nb_conformal__random,"subset cqr_matched, design random",0.9019923913630927,425569,a4_by_decile.csv,
top_decile_coverage_nb_conformal__slide_out,"subset cqr_matched, design slide_out",0.8104833295155647,126601,a4_by_decile.csv,
top_decile_coverage_scaled,"subset cqr_matched, all designs",0.8289795354651684,1404674,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_scaled__donor,"subset cqr_matched, design donor",0.7872960730760014,504899,a4_by_decile.csv,
top_decile_coverage_scaled__patient,"subset cqr_matched, design patient",0.790423037643302,347605,a4_by_decile.csv,
top_decile_coverage_scaled__random,"subset cqr_matched, design random",0.9004673742683326,425569,a4_by_decile.csv,
top_decile_coverage_scaled__slide_out,"subset cqr_matched, design slide_out",0.8607751913491994,126601,a4_by_decile.csv,
top_decile_coverage_scaled_clip,"subset cqr_matched, all designs",0.8205348714363617,1404674,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_scaled_clip__donor,"subset cqr_matched, design donor",0.785848258760663,504899,a4_by_decile.csv,
top_decile_coverage_scaled_clip__patient,"subset cqr_matched, design patient",0.7867205592554768,347605,a4_by_decile.csv,
top_decile_coverage_scaled_clip__random,"subset cqr_matched, design random",0.8979812909304954,425569,a4_by_decile.csv,
top_decile_coverage_scaled_clip__slide_out,"subset cqr_matched, design slide_out",0.7913760554813943,126601,a4_by_decile.csv,
top_decile_coverage_abs,"subset full, all designs",0.7054914998297102,41264938,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_abs__donor,"subset full, design donor",0.6944602661957038,10163575,a4_by_decile.csv,
top_decile_coverage_abs__patient,"subset full, design patient",0.6669722996909069,10163605,a4_by_decile.csv,
top_decile_coverage_abs__random,"subset full, design random",0.7525683787048995,17737357,a4_by_decile.csv,
top_decile_coverage_abs__slide_out,"subset full, design slide_out",0.6019392569868588,3200401,a4_by_decile.csv,
top_decile_coverage_cqr,"subset full, all designs",0.8746663162249922,1384919,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_cqr__donor,"subset full, design donor",0.8479696342440766,406774,a4_by_decile.csv,
top_decile_coverage_cqr__patient,"subset full, design patient",0.8601199703127496,425772,a4_by_decile.csv,
top_decile_coverage_cqr__random,"subset full, design random",0.8982741936999145,425772,a4_by_decile.csv,
top_decile_coverage_cqr__slide_out,"subset full, design slide_out",0.9299689575911723,126601,a4_by_decile.csv,
top_decile_coverage_nb,"subset full, all designs",0.761376417555714,13204772,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_nb__donor,"subset full, design donor",0.679816169337717,3252341,a4_by_decile.csv,
top_decile_coverage_nb__patient,"subset full, design patient",0.6762854640049171,3252347,a4_by_decile.csv,
top_decile_coverage_nb__random,"subset full, design random",0.844435517899631,5675955,a4_by_decile.csv,
top_decile_coverage_nb__slide_out,"subset full, design slide_out",0.8302811462227903,1024129,a4_by_decile.csv,
top_decile_coverage_nb_conformal,"subset full, all designs",0.8658204018971324,13204772,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_nb_conformal__donor,"subset full, design donor",0.8278950454457267,3252341,a4_by_decile.csv,
top_decile_coverage_nb_conformal__patient,"subset full, design patient",0.828815621457366,3252347,a4_by_decile.csv,
top_decile_coverage_nb_conformal__random,"subset full, design random",0.9066854828834972,5675955,a4_by_decile.csv,
top_decile_coverage_nb_conformal__slide_out,"subset full, design slide_out",0.8772937784204919,1024129,a4_by_decile.csv,
top_decile_coverage_scaled,"subset full, all designs",0.8497342223075678,41264938,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_scaled__donor,"subset full, design donor",0.800665021904202,10163575,a4_by_decile.csv,
top_decile_coverage_scaled__patient,"subset full, design patient",0.7958935830347598,10163605,a4_by_decile.csv,
top_decile_coverage_scaled__random,"subset full, design random",0.9016047881316253,17737357,a4_by_decile.csv,
top_decile_coverage_scaled__slide_out,"subset full, design slide_out",0.8890689010533368,3200401,a4_by_decile.csv,
top_decile_coverage_scaled_clip,"subset full, all designs",0.8441031221227087,41264938,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_scaled_clip__donor,"subset full, design donor",0.7975614879606832,10163575,a4_by_decile.csv,
top_decile_coverage_scaled_clip__patient,"subset full, design patient",0.7916831675375027,10163605,a4_by_decile.csv,
top_decile_coverage_scaled_clip__random,"subset full, design random",0.896569088619009,17737357,a4_by_decile.csv,
top_decile_coverage_scaled_clip__slide_out,"subset full, design slide_out",0.8675994039496926,3200401,a4_by_decile.csv,
top_decile_coverage_abs,"subset nb_matched, all designs",0.7125602774512123,13204772,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_abs__donor,"subset nb_matched, design donor",0.688508062346476,3252341,a4_by_decile.csv,
top_decile_coverage_abs__patient,"subset nb_matched, design patient",0.6664442631736405,3252347,a4_by_decile.csv,
top_decile_coverage_abs__random,"subset nb_matched, design random",0.7679239881218227,5675955,a4_by_decile.csv,
top_decile_coverage_abs__slide_out,"subset nb_matched, design slide_out",0.6285565587928864,1024129,a4_by_decile.csv,
top_decile_coverage_nb,"subset nb_matched, all designs",0.761376417555714,13204772,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_nb__donor,"subset nb_matched, design donor",0.679816169337717,3252341,a4_by_decile.csv,
top_decile_coverage_nb__patient,"subset nb_matched, design patient",0.6762854640049171,3252347,a4_by_decile.csv,
top_decile_coverage_nb__random,"subset nb_matched, design random",0.844435517899631,5675955,a4_by_decile.csv,
top_decile_coverage_nb__slide_out,"subset nb_matched, design slide_out",0.8302811462227903,1024129,a4_by_decile.csv,
top_decile_coverage_nb_conformal,"subset nb_matched, all designs",0.8658204018971324,13204772,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_nb_conformal__donor,"subset nb_matched, design donor",0.8278950454457267,3252341,a4_by_decile.csv,
top_decile_coverage_nb_conformal__patient,"subset nb_matched, design patient",0.828815621457366,3252347,a4_by_decile.csv,
top_decile_coverage_nb_conformal__random,"subset nb_matched, design random",0.9066854828834972,5675955,a4_by_decile.csv,
top_decile_coverage_nb_conformal__slide_out,"subset nb_matched, design slide_out",0.8772937784204919,1024129,a4_by_decile.csv,
top_decile_coverage_scaled,"subset nb_matched, all designs",0.8416537597165631,13204772,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_scaled__donor,"subset nb_matched, design donor",0.7882783508863308,3252341,a4_by_decile.csv,
top_decile_coverage_scaled__patient,"subset nb_matched, design patient",0.7811620346783416,3252347,a4_by_decile.csv,
top_decile_coverage_scaled__random,"subset nb_matched, design random",0.9009690880213109,5675955,a4_by_decile.csv,
top_decile_coverage_scaled__slide_out,"subset nb_matched, design slide_out",0.8745245960225714,1024129,a4_by_decile.csv,
top_decile_coverage_scaled_clip,"subset nb_matched, all designs",0.8364300421090194,13204772,a4_by_decile.csv,"pooled over task, design, encoder and fold; decile 9 of the base head's predicted value within task and gene"
top_decile_coverage_scaled_clip__donor,"subset nb_matched, design donor",0.785469604816961,3252341,a4_by_decile.csv,
top_decile_coverage_scaled_clip__patient,"subset nb_matched, design patient",0.7769152553525193,3252347,a4_by_decile.csv,
top_decile_coverage_scaled_clip__random,"subset nb_matched, design random",0.8969676468541418,5675955,a4_by_decile.csv,
top_decile_coverage_scaled_clip__slide_out,"subset nb_matched, design slide_out",0.8517550035200644,1024129,a4_by_decile.csv,
A2_top_decile_coverage_abs__donor,"A2 baseline, design donor",0.6944602661957038,10163575,results/round3/A2_conditional/a2_strata__*.csv,"A2's own committed decile table, IDC audited excluded; the memo's prediction 2 quotes 0.68 for this quantity"
A2_top_decile_coverage_abs__patient,"A2 baseline, design patient",0.6669722996909069,10163605,results/round3/A2_conditional/a2_strata__*.csv,"A2's own committed decile table, IDC audited excluded; the memo's prediction 2 quotes 0.68 for this quantity"
A2_top_decile_coverage_abs__slide_out,"A2 baseline, design slide_out",0.6019392569868588,3200401,results/round3/A2_conditional/a2_strata__*.csv,"A2's own committed decile table, IDC audited excluded; the memo's prediction 2 quotes 0.68 for this quantity"
width_mean_at_cov90_abs,subset cqr_matched,2.692993311576165,78,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_abs,subset cqr_matched,2.5027865337756188,78,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_abs,subset cqr_matched,0.8125,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_cqr,subset cqr_matched,2.6460747177381654,76,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_cqr,subset cqr_matched,2.451510570763984,76,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_cqr,subset cqr_matched,0.7916666666666666,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_nb,subset cqr_matched,1.5137371119081522,20,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_nb,subset cqr_matched,1.4494122262067641,20,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_nb,subset cqr_matched,0.20833333333333334,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_nb_conformal,subset cqr_matched,1.955562627684863,81,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_nb_conformal,subset cqr_matched,1.8577066052680322,81,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_nb_conformal,subset cqr_matched,0.84375,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_scaled,subset cqr_matched,14.832513673670409,82,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_scaled,subset cqr_matched,6.891143095123752,82,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_scaled,subset cqr_matched,0.8541666666666666,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_scaled_clip,subset cqr_matched,14.705218031515916,80,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_scaled_clip,subset cqr_matched,6.797643490226287,80,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_scaled_clip,subset cqr_matched,0.8333333333333334,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_abs,subset full,2.6080118040074836,74,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_abs,subset full,2.4514591108558825,74,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_abs,subset full,0.7708333333333334,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_cqr,subset full,2.627234165278456,77,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_cqr,subset full,2.4346780488549458,77,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_cqr,subset full,0.7938144329896907,97,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_nb,subset full,1.430334958008469,17,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_nb,subset full,1.3326862534787212,17,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_nb,subset full,0.17708333333333334,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_nb_conformal,subset full,1.9337166278794238,76,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_nb_conformal,subset full,1.8283841003160581,76,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_nb_conformal,subset full,0.7916666666666666,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_scaled,subset full,25.419974151904583,86,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_scaled,subset full,8.63463334934293,86,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_scaled,subset full,0.8958333333333334,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_scaled_clip,subset full,23.944077476161816,86,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_scaled_clip,subset full,8.580625852415666,86,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_scaled_clip,subset full,0.8958333333333334,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_abs,subset nb_matched,2.644668254931842,69,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_abs,subset nb_matched,2.4327293004324906,69,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_abs,subset nb_matched,0.71875,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_nb,subset nb_matched,1.430334958008469,17,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_nb,subset nb_matched,1.3326862534787212,17,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_nb,subset nb_matched,0.17708333333333334,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_nb_conformal,subset nb_matched,1.9337166278794238,76,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_nb_conformal,subset nb_matched,1.8283841003160581,76,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_nb_conformal,subset nb_matched,0.7916666666666666,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_scaled,subset nb_matched,24.120760055594687,85,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_scaled,subset nb_matched,8.410452873272265,85,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_scaled,subset nb_matched,0.8854166666666666,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
width_mean_at_cov90_scaled_clip,subset nb_matched,22.62436073278886,85,a4_width_at_coverage.csv,"width at the grid level whose realised coverage is 0.90; a DIAGNOSTIC, the level is picked with test labels"
width_median_at_cov90_scaled_clip,subset nb_matched,8.350311361271807,85,a4_width_at_coverage.csv,
frac_cells_cov90_in_grid_scaled_clip,subset nb_matched,0.8854166666666666,96,a4_width_at_coverage.csv,0.90 lies inside the level grid's realised-coverage range; nothing is extrapolated outside it
HCP_alpha020_CCRCC_donor_coverage,"A3 W3 nominal, abs, all encoders",0.914262414805738,24,results/round3/A3_weighted/a3_by_fold.csv,no rerun; 13.2 item 5
HCP_alpha020_CCRCC_donor_width_mean,"A3 W3 nominal, abs, all encoders",2.761347100211142,24,results/round3/A3_weighted/a3_by_fold.csv,
HCP_alpha020_CCRCC_donor_width_median,"A3 W3 nominal, abs, all encoders",2.706316609762117,24,results/round3/A3_weighted/a3_by_fold.csv,
oracle_recentred_width_ratio_to_abs,block-calibrated folds,1.4717147477124544,6750,a4_oracle_recentred.csv,"mean over (test slide, gene) of w_star(recentred) / w_hat(abs); a DIAGNOSTIC, uses test labels for the offset and the half-width"
oracle_recentred_coverage,block-calibrated folds,0.8998950394421323,135,a4_oracle_recentred.csv,by construction the ceil((1-alpha) n)/n order statistic on the slide
abs_coverage_on_same_slides,block-calibrated folds,0.6666156040083134,135,a4_oracle_recentred.csv,
b_s_over_s_y_mean,block-calibrated folds,0.650915630402007,135,a4_oracle_recentred.csv,A2 reported this near 0.5 on unit-calibrated slides
oracle_recentred_width_ratio_to_abs,spot-calibrated folds,0.9808593129908897,194250,a4_oracle_recentred.csv,"mean over (test slide, gene) of w_star(recentred) / w_hat(abs); a DIAGNOSTIC, uses test labels for the offset and the half-width"
oracle_recentred_coverage,spot-calibrated folds,0.8999088242807985,3885,a4_oracle_recentred.csv,by construction the ceil((1-alpha) n)/n order statistic on the slide
abs_coverage_on_same_slides,spot-calibrated folds,0.8882608798573733,3885,a4_oracle_recentred.csv,
b_s_over_s_y_mean,spot-calibrated folds,0.12707878858879387,3885,a4_oracle_recentred.csv,A2 reported this near 0.5 on unit-calibrated slides
oracle_recentred_width_ratio_to_abs,unit-calibrated folds,0.8617176337642285,66000,a4_oracle_recentred.csv,"mean over (test slide, gene) of w_star(recentred) / w_hat(abs); a DIAGNOSTIC, uses test labels for the offset and the half-width"
oracle_recentred_coverage,unit-calibrated folds,0.8999805290150423,1320,a4_oracle_recentred.csv,by construction the ceil((1-alpha) n)/n order statistic on the slide
abs_coverage_on_same_slides,unit-calibrated folds,0.8710357677874285,1320,a4_oracle_recentred.csv,
b_s_over_s_y_mean,unit-calibrated folds,0.5244629109390408,1320,a4_oracle_recentred.csv,A2 reported this near 0.5 on unit-calibrated slides
nb_alpha_g_mean,"every (task, design, fold, gene) NB fit",0.28555372990959427,21120,a4_nb_dispersion.csv,
nb_alpha_g_oos_mean,"every (task, design, fold, gene) NB fit",57.44937079735815,21120,a4_nb_dispersion.csv,"the SAME moment estimator on the calibration set's out-of-sample Pearson residuals; a diagnostic, not the plan's estimator and not used for any interval"
marginal_fano_mean,"the same (task, gene) pairs",68.42211239806441,21120,results/tailored/counts/count_diagnostics.csv,round 1's marginal Fano factor on the raw counts
nb_alpha_g_over_marginal_alpha_mom_mean,"the same (task, gene) pairs",0.06389402437758487,21120,a4_nb_dispersion.csv,conditional over marginal NB2 dispersion; the round-1 review's question
frac_nb_alpha_g_exactly_zero,every NB fit,0.10577651515151515,21120,a4_nb_dispersion.csv,"the moment estimator is max(0, .) and collapses wherever the in-sample residual variance falls below the Poisson mean"
frac_nb_alpha_g_oos_exactly_zero,every NB fit,0.008428030303030304,21120,a4_nb_dispersion.csv,
nb_deviance_ratio_mean,every NB fit,0.40324883555055585,21120,a4_nb_dispersion.csv,fitted Poisson deviance over the intercept-only deviance on T; small values are the in-sample overfit that collapses alpha_g
