encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal
resnet50,CCRCC,shipped,patient,1,-1,0,0.001,0.0006462078035949146,0.0,0.41048215692721135,0.5287009399511964,-0.1886797572847686,2.229286081500406,5.313290369193804
resnet50,CCRCC,shipped,patient,1,-1,1,0.001,0.00021645292461682829,0.00018267620642411326,0.3912328565837903,0.522169418638286,-0.2410385625963855,2.8230839161869503,5.925388383074398
resnet50,CCRCC,shipped,patient,1,-1,2,0.001,0.00030829817158931083,9.133810321205662e-06,0.4069671615121676,0.5707152714907556,-0.21668287418696103,2.4865716903355004,5.22426257058634
resnet50,CCRCC,shipped,patient,2,-1,0,0.001,0.00026881995195993254,5.206396429899591e-05,0.3822279515208439,0.4373989946126012,-0.20398287132255088,2.3026195773952396,5.056706101121301
resnet50,CCRCC,shipped,patient,2,-1,1,0.001,0.0005463293496818252,4.4626255113425064e-05,0.4128962741532868,0.42164611889546144,-0.2545958013521299,2.4812192765161516,5.8384136036205545
resnet50,CCRCC,shipped,patient,2,-1,2,0.001,0.0015380017930072716,0.0005392339159538862,0.3805507056250159,0.39292356485140995,-0.34109000576966,4.023190845461373,8.170541371385257
resnet50,CCRCC,shipped,patient,3,-1,0,0.001,0.0005219161154321436,8.986239820275204e-05,0.395035928677106,0.45391313472846584,-0.18935716015350335,2.7669159826864167,6.22691792258493
resnet50,CCRCC,shipped,patient,3,-1,1,0.001,0.00028229960848959407,0.00017972479640550407,0.39263759172461726,0.4772459454521849,-0.2675015952297764,2.5279605153022624,5.337154703878197
resnet50,CCRCC,shipped,patient,3,-1,2,0.001,0.00020229265003371543,0.00010671159786576804,0.41449542816554985,0.4796112354147217,-0.18437688480209902,2.1456914020522886,4.480518961888207
resnet50,CCRCC,shipped,patient,4,-1,0,0.001,0.0005878769418215048,0.0006156767019256848,0.4240597556546228,0.4109178607863285,-0.22617094239338403,3.150297717189782,6.56419679185203
resnet50,CCRCC,shipped,patient,4,-1,1,0.001,5.283281195689955e-05,9.764035801464605e-05,0.4072054655741049,0.39742822325658467,-0.09667464341832427,2.5153827819118133,5.066152912187334
resnet50,CCRCC,shipped,patient,4,-1,2,0.001,2.2253455141719373e-05,0.00013832384052074858,0.4163134592570886,0.3943985269637031,-0.0769930954318846,2.5739533688278535,5.338358605048829
resnet50,CCRCC,shipped,patient,5,-1,0,0.001,7.17626705965272e-05,0.000775789600096073,0.4568032111718672,0.3943875852213159,-0.10264388566673294,2.2977572134389344,4.865418934478383
resnet50,CCRCC,shipped,patient,5,-1,1,0.001,5.6953013763645e-06,0.00024498618950402303,0.47406193971532035,0.39807037507663945,-0.018056934485362386,2.258464142542344,4.172203886693847
resnet50,CCRCC,shipped,patient,5,-1,2,0.001,0.00018137013307047806,0.0004995796805572235,0.4764507473755552,0.39326182512244595,-0.2888643168674808,3.017409979657027,6.225467879167389
resnet50,CCRCC,shipped,donor,INT1,-1,0,0.001,7.509613209681068e-05,0.0,0.4019670055664327,0.5593813657122569,-0.18875120658357913,2.1254902619466334,4.593728597220855
resnet50,CCRCC,shipped,donor,INT1,-1,1,0.001,6.476798864342117e-05,0.0,0.40407936713090614,0.42940467858444725,-0.2974904341240385,2.898872442546463,5.791163332887764
resnet50,CCRCC,shipped,donor,INT1,-1,2,0.001,0.00016992644123852427,0.0,0.4239936610632993,0.570285296635449,-0.1584505233389893,2.3983602888515088,5.062190279838119
resnet50,CCRCC,shipped,donor,INT10,-1,0,0.001,0.00030263601754132333,0.00037317196167423097,0.4102547247327216,0.4576298934377522,-0.2018985529909142,2.681199531409364,6.087513610683768
resnet50,CCRCC,shipped,donor,INT10,-1,1,0.001,0.0016723671448261779,0.0019667170953101363,0.41519514511361777,0.36759796083601504,-0.23751606507217443,3.0409505148184914,7.246604154380297
resnet50,CCRCC,shipped,donor,INT10,-1,2,0.001,8.927432725417676e-06,0.00016137165910237015,0.4513591039777955,0.45048282936692075,-0.031776564792452944,2.2821947492347974,4.792586060651423
resnet50,CCRCC,shipped,donor,INT11,-1,0,0.001,5.2224886757260855e-05,2.7797081306462822e-05,0.4226709046980515,0.4733748389209907,-0.15128759345901066,2.150675447392191,4.3030927361270725
resnet50,CCRCC,shipped,donor,INT11,-1,1,0.001,0.00010114291493880854,1.3898540653231411e-05,0.42561192949383014,0.43005999284887253,-0.2518189742116136,2.7989030654046076,5.82484810841587
resnet50,CCRCC,shipped,donor,INT11,-1,2,0.001,9.94494761143669e-05,9.728978457261988e-05,0.411785721501047,0.4467343761754473,-0.1474340966488008,2.157246655718805,4.664694000163155
resnet50,CCRCC,shipped,donor,INT12,-1,0,0.001,0.0002614650342394688,0.0,0.4278990067397901,0.5780099647746074,-0.2019334723247292,2.6217860250320877,5.408111168727247
resnet50,CCRCC,shipped,donor,INT12,-1,1,0.001,9.41521079610838e-05,0.0,0.44675009499292,0.557620641579676,-0.11859983924631279,2.1510231792202386,4.358582380398817
resnet50,CCRCC,shipped,donor,INT12,-1,2,0.001,0.0001659874027417562,0.0,0.4617879416792381,0.5797573090566777,-0.1820220679361098,2.483897676156455,5.1800228989120525
resnet50,CCRCC,shipped,donor,INT13,-1,0,0.001,0.00039016460069091647,1.3764624913971094e-05,0.46085079315071065,0.3771730355289067,-0.12702881014102313,2.362355119338051,4.936976307635657
resnet50,CCRCC,shipped,donor,INT13,-1,1,0.001,0.00023765174384995824,4.588208304657031e-05,0.4511116995599388,0.38108860985148746,-0.245774602860242,2.3639371290510334,5.171862206028659
resnet50,CCRCC,shipped,donor,INT13,-1,2,0.001,0.0009020164725930134,0.00012388162422573984,0.4150854471200268,0.3720697679245054,-0.37323091943486386,2.576495173769059,6.191178959359183
resnet50,CCRCC,shipped,donor,INT14,-1,0,0.001,0.00017769966803358718,3.068829460762823e-05,0.4402859870078575,0.4221875119086975,-0.17829838778409873,2.563250139887083,5.444434672242066
resnet50,CCRCC,shipped,donor,INT14,-1,1,0.001,4.1631185542624655e-05,1.7536168347216134e-05,0.47101348301691714,0.4121791000842552,-0.09224127166860024,2.462636175554725,5.033887272343607
resnet50,CCRCC,shipped,donor,INT14,-1,2,0.001,0.0006643180674383493,8.768084173608067e-06,0.4287970715633168,0.39007364772253794,-0.3145612524654316,2.3545277496241823,5.141725691293286
resnet50,CCRCC,shipped,donor,INT15,-1,0,0.001,0.00011185578923041368,0.0,0.44705267637355395,0.46183472043297197,-0.1840781819207955,2.1559292066946143,4.336379410389344
resnet50,CCRCC,shipped,donor,INT15,-1,1,0.001,0.0006739141635323819,1.2145748987854251e-05,0.3921824377273046,0.4240910373241634,-0.35328707228004047,3.093764806238012,6.968773583078564
resnet50,CCRCC,shipped,donor,INT15,-1,2,0.001,6.079570853822083e-05,0.0,0.41958037196443787,0.4419331479399858,-0.1418580668891693,2.2571275652186316,4.874191729800211
resnet50,CCRCC,shipped,donor,INT16,-1,0,0.001,0.00010538780343398461,4.3668122270742355e-05,0.45480317648872576,0.377840112612886,-0.10283535148238893,2.21950263914202,4.481869406496134
resnet50,CCRCC,shipped,donor,INT16,-1,1,0.001,7.516973811833171e-05,7.485963817841548e-05,0.44227312603285784,0.381349737642408,-0.08794978057282915,2.2089720143548046,4.044409547307443
resnet50,CCRCC,shipped,donor,INT16,-1,2,0.001,0.000369046468940199,0.0006862133499688085,0.418349689046721,0.39696511314564553,-0.2361486725334998,2.205327709368109,4.806917503915256
resnet50,CCRCC,shipped,donor,INT17,-1,0,0.001,7.451564828614009e-05,0.0008145048814504882,0.42490270544442843,0.3635552526011576,-0.08842053103596204,2.110642145880788,4.211028497040925
resnet50,CCRCC,shipped,donor,INT17,-1,1,0.001,7.12896953985742e-05,0.0012217573221757322,0.41298720458822735,0.33094008821289544,-0.16725848006589916,2.486747843980873,5.140887696346707
