task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
COAD,shipped,resnet50,random,scaled,0,spot,1,0.89873244407127,0.0017604557130552257,0.017906815961050215
COAD,shipped,resnet50,random,scaled,1,spot,1,0.8982949426873384,0.0018265970600545563,0.010875260245279916
HCC,shipped,resnet50,donor,abs,CHC20,block,3,0.7996530997767474,0.002266177902344469,0.005048861774120164
HCC,shipped,resnet50,donor,abs,CHC23,block,3,0.6776674057649666,0.02064338657524343,0.07210795364913976
HCC,shipped,resnet50,donor,scaled,CHC20,block,3,0.7839670273055126,0.023692692270580937,1.455484996703616
HCC,shipped,resnet50,donor,scaled,CHC23,block,3,0.6685439763488543,0.017915510817872876,0.7576114885091267
HCC,shipped,resnet50,patient,abs,0,block,3,0.70930081300813,0.02572916034298377,0.0717432568012827
HCC,shipped,resnet50,patient,abs,1,block,3,0.8060175167439464,0.008379583589671839,0.026613086569184152
HCC,shipped,resnet50,patient,scaled,0,block,3,0.6974249815225425,0.01971535105067761,1.0282024779110517
HCC,shipped,resnet50,patient,scaled,1,block,3,0.8049081229606733,0.03667505436033285,0.5967632476562837
HCC,shipped,resnet50,random,abs,0,spot,1,0.9034471901216525,0.0017580799343350608,0.015368702827451152
HCC,shipped,resnet50,random,abs,1,spot,1,0.9028844096829169,0.003301471690126713,0.014311315939545089
HCC,shipped,resnet50,random,scaled,0,spot,1,0.8984636677809454,0.0042630130308416855,0.07218983776795222
HCC,shipped,resnet50,random,scaled,1,spot,1,0.9020697802183278,0.004009779118372207,0.06221502844138925
IDC,audited,resnet50,donor,abs,IDC_JanesickSample1,donor,1,0.9035826203423647,,
IDC,audited,resnet50,donor,abs,NCBI783,donor,1,0.7924392678868553,,
IDC,audited,resnet50,donor,abs,NCBI785,donor,1,0.831715710723192,,
IDC,audited,resnet50,donor,scaled,IDC_JanesickSample1,donor,1,0.8264154545820201,,
IDC,audited,resnet50,donor,scaled,NCBI783,donor,1,0.8793078202995008,,
IDC,audited,resnet50,donor,scaled,NCBI785,donor,1,0.8771720698254364,,
IDC,audited,resnet50,patient,abs,0,patient,3,0.8544013615272226,0.04173080287153139,0.058086689704987655
IDC,audited,resnet50,patient,abs,1,patient,3,0.8853900343642612,0.028467543993833465,0.7238808911032196
IDC,audited,resnet50,patient,abs,2,patient,3,0.7741612635078968,0.0900609187955851,0.4017282640089635
IDC,audited,resnet50,patient,abs,3,patient,3,0.8302074320576817,0.05296962165479096,0.7561807284106624
IDC,audited,resnet50,patient,scaled,0,patient,3,0.868439220975226,0.06882569407058099,109.77763078158293
IDC,audited,resnet50,patient,scaled,1,patient,3,0.9443273195876288,0.0033554414621142278,20.13324674123393
IDC,audited,resnet50,patient,scaled,2,patient,3,0.7504189526184538,0.13802442158220957,66.1286267617778
IDC,audited,resnet50,patient,scaled,3,patient,3,0.7314830837493068,0.04690404796806719,73.10317521034303
IDC,audited,resnet50,random,abs,0,spot,1,0.8742754168493778,0.0013302159603331917,0.012933486576619293
IDC,audited,resnet50,random,abs,1,spot,1,0.8726508358237343,0.0020004619159987394,0.01336664606622451
IDC,audited,resnet50,random,abs,2,spot,1,0.8706232369353151,0.0018795087458511241,0.0029097248126864713
IDC,audited,resnet50,random,abs,3,spot,1,0.8703348228901142,0.003951968169257721,0.013265881233670783
