task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched,superseded_label_set
LYMPH_IDC,shipped,resnet50,donor,abs,4,0.821793672602708,0.1302150911264649,2.4769210362370337,0.43325536803572223,4.756366357001741,0.14188234240810424,0.03632398498918773,donor,9980,False
LYMPH_IDC,shipped,resnet50,donor,scaled,4,0.8283063246021221,0.09145821028433969,4.976857242571204,2.6331434281309454,7.019134825226702,0.14601149195033894,0.025682183447539052,donor,9980,False
LYMPH_IDC,shipped,resnet50,patient,abs,4,0.8032804285841575,0.11879742276323767,2.3424325285868637,0.3322265010005582,4.713052263136186,0.14253356586791205,0.05418600554793041,patient,9980,False
LYMPH_IDC,shipped,resnet50,patient,scaled,4,0.8178902729263908,0.06494468700981333,4.737577882903886,2.906671646166267,6.773894301989373,0.14401765894128815,0.038092068132320994,patient,9980,False
LYMPH_IDC,shipped,resnet50,random,abs,4,0.9006056784168988,0.0004451178029205539,1.6026897502961843,0.002434565367507184,2.1281072662672775,0.07047131045603988,0.028923011127061356,spot,9980,False
LYMPH_IDC,shipped,resnet50,random,scaled,4,0.9003572727526138,0.00030008334885567176,1.5183337018511636,0.00410048102666196,2.0041901592589073,0.08544138407907578,0.014201343168310437,spot,9980,False
PAAD,shipped,resnet50,donor,abs,3,0.8869158496343342,0.06688050136636002,3.6596243045054067,0.4478276716301049,4.899948085412266,0.08722705932902451,0.02585709103664119,donor,1951,False
PAAD,shipped,resnet50,donor,scaled,3,0.8702882009149748,0.03895241501641471,12.288629413088266,7.098534055167704,13.95041624455586,0.08626333349417646,0.043448465590848674,donor,1951,False
PAAD,shipped,resnet50,patient,abs,3,0.8730247940630536,0.09084391596102392,3.7590253366192443,0.3851623260070996,5.208011370919652,0.09762599919317548,0.029349206743771016,patient,1951,False
PAAD,shipped,resnet50,patient,scaled,3,0.8689728453504092,0.05147260511328493,18.121244811727777,13.362647067257964,19.872274945028483,0.08836049164669084,0.042666663002899986,patient,1951,False
PAAD,shipped,resnet50,random,abs,3,0.8942289550941142,0.0010328213809617502,2.293832012951979,0.008489750501959476,3.126189403738698,0.057032430210142475,0.04873861469574334,spot,1951,False
PAAD,shipped,resnet50,random,scaled,3,0.9012374250912093,0.001494711937623783,2.579358821569481,0.019703071009657923,3.3325054253346593,0.05754868065750223,0.04121389425128861,spot,1951,False
PRAD,shipped,resnet50,donor,abs,2,0.8674493240941491,0.07894311214023982,2.289263366596451,0.4528197696995422,3.486034009689546,0.08588394493272142,0.046666730973129476,slide,19299,False
PRAD,shipped,resnet50,donor,scaled,2,0.8239429166280409,0.01025163985157977,2.014750870689903,0.10377248391638104,3.6418026690679026,0.13873962137734783,0.03731746199461122,slide,19299,False
PRAD,shipped,resnet50,patient,abs,2,0.8643698564278242,0.1020793732335732,2.3246525436709837,0.5438396228919835,3.480773776586961,0.06965434145653922,0.06597580211563661,slide,19299,False
PRAD,shipped,resnet50,patient,scaled,2,0.863302440025902,0.03259041878076399,2.4372449158754916,0.47301015284584286,3.714634996350912,0.09845593733703745,0.03824162263706066,slide,19299,False
PRAD,shipped,resnet50,random,abs,2,0.902768414562588,0.00034316028217400304,1.8969017447364287,0.001109407016567333,2.5230131262886015,0.06907216922574333,0.02815941621166862,spot,19299,False
