encoder,task,n_spots,n_slides,chance,acc_random,acc_block,drop,test_frac_random,test_frac_block,nn_dist_random,nn_dist_block,nn_dist_ratio,slides_in_block_test
ctranspath,CCRCC,74220,24,0.041666666666666664,0.98831981192816,0.9727654735841315,0.015554338344028529,0.3,0.31248989490703316,218.0022935659164,581.1239110551209,2.6656779685641654,24
ctranspath,COAD,15651,4,0.25,0.9962402625489484,0.9897150517995393,0.006525210749409038,0.30004472557664047,0.31614593316720974,365.0,1201.0,3.2904109589041095,4
ctranspath,HCC,4196,2,0.5,0.9991408934707904,0.9954579004144666,0.0036829930563238023,0.300047664442326,0.31029551954242135,220.0,583.1654996654038,2.6507522712063807,2
ctranspath,IDC,35536,4,0.25,0.9971567960457925,0.9914462216088924,0.005710574436900151,0.3000056280954525,0.30372017109410177,470.0,1883.0,4.006382978723404,4
ctranspath,LUNG,5206,2,0.5,0.9979570990806945,0.9941775768569254,0.003779522223769094,0.3000384172109105,0.31713407606607763,365.0,731.0,2.0027397260273974,2
ctranspath,LYMPH_IDC,19964,4,0.25,0.9732899213211197,0.9548012735434691,0.01848864777765058,0.3000400721298337,0.30595071128030454,365.0013698604431,1270.0015748021733,3.4794433108230622,4
ctranspath,PAAD,7571,3,0.3333333333333333,0.9953719192874827,0.9871095800386055,0.008262339248877204,0.30009245806366397,0.31448949940562676,365.0,1096.0,3.0027397260273974,3
ctranspath,PRAD,62710,23,0.043478260869565216,0.960502846697224,0.9288396198073648,0.03166322688985912,0.3,0.31816297241269337,287.0,607.0,2.1149825783972127,23
ctranspath,READ,8407,4,0.25,0.9705786946830638,0.9481958973872979,0.022382797295765866,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4
ctranspath,SKCM,3034,2,0.5,0.9977553172616349,0.9858482352153238,0.01190708204631108,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.0027397260273974,2
phikon,CCRCC,74220,24,0.041666666666666664,0.99465392526132,0.9871145228802601,0.007539402381059879,0.3,0.31248989490703316,218.0022935659164,581.1239110551209,2.6656779685641654,24
phikon,COAD,15651,4,0.25,0.9981284069462979,0.9981781600345231,-4.9753088225190645e-05,0.30004472557664047,0.31614593316720974,365.0,1201.0,3.2904109589041095,4
phikon,HCC,4196,2,0.5,0.9984023410335674,0.9960327598932606,0.002369581140306831,0.300047664442326,0.31029551954242135,220.0,583.1654996654038,2.6507522712063807,2
phikon,IDC,35536,4,0.25,0.9996517638996484,0.9961370512345471,0.0035147126651012828,0.3000056280954525,0.30372017109410177,470.0,1883.0,4.006382978723404,4
phikon,LUNG,5206,2,0.5,0.9977740089039644,0.9991909385113269,-0.0014169296073625048,0.3000384172109105,0.31713407606607763,365.0,731.0,2.0027397260273974,2
phikon,LYMPH_IDC,19964,4,0.25,0.978964599858635,0.9642900998435728,0.014674500015062208,0.3000400721298337,0.30595071128030454,365.0013698604431,1270.0015748021733,3.4794433108230622,4
phikon,PAAD,7571,3,0.3333333333333333,0.9985078107519563,0.9979166666666667,0.0005911440852895966,0.30009245806366397,0.31448949940562676,365.0,1096.0,3.0027397260273974,3
phikon,PRAD,62710,23,0.043478260869565216,0.980419790994568,0.957255852711345,0.02316393828322305,0.3,0.31816297241269337,287.0,607.0,2.1149825783972127,23
phikon,READ,8407,4,0.25,0.9912078772451036,0.9796308890777525,0.011576988167351088,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4
phikon,SKCM,3034,2,0.5,0.9987113402061856,0.9936708860759493,0.005040454130236238,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.0027397260273974,2
conch_v1,CCRCC,74220,24,0.041666666666666664,0.9825555972373684,0.9631983639682341,0.0193572332691343,0.3,0.31248989490703316,218.0022935659164,581.1239110551209,2.6656779685641654,24
conch_v1,COAD,15651,4,0.25,0.9856227885857778,0.9811776498506388,0.004445138735138965,0.30004472557664047,0.31614593316720974,365.0,1201.0,3.2904109589041095,4
conch_v1,HCC,4196,2,0.5,0.9933682559502962,0.9940739794469994,-0.00070572349670317,0.300047664442326,0.31029551954242135,220.0,583.1654996654038,2.6507522712063807,2
conch_v1,IDC,35536,4,0.25,0.9962319922875269,0.989654842871723,0.006577149415803896,0.3000056280954525,0.30372017109410177,470.0,1883.0,4.006382978723404,4
conch_v1,LUNG,5206,2,0.5,0.9919536685489622,0.9852849494199507,0.006668719129011458,0.3000384172109105,0.31713407606607763,365.0,731.0,2.0027397260273974,2
conch_v1,LYMPH_IDC,19964,4,0.25,0.9736250383755881,0.9583555491752278,0.015269489200360309,0.3000400721298337,0.30595071128030454,365.0013698604431,1270.0015748021733,3.4794433108230622,4
conch_v1,PAAD,7571,3,0.3333333333333333,0.9927581102279919,0.9942246371801456,-0.0014665269521537683,0.30009245806366397,0.31448949940562676,365.0,1096.0,3.0027397260273974,3
conch_v1,PRAD,62710,23,0.043478260869565216,0.9468207653260258,0.9049388594635286,0.04188190586249718,0.3,0.31816297241269337,287.0,607.0,2.1149825783972127,23
conch_v1,READ,8407,4,0.25,0.9627756013554999,0.9511031314428979,0.011672469912601957,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4
conch_v1,SKCM,3034,2,0.5,0.9980879541108987,0.9879958922153015,0.010092061895597193,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.0027397260273974,2
