encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_cal_spots,n_cal_slides,n_pool_spots,n_train_natural,n_train_matched,n_match_target,n_train_buffer_dropped,n_blocks_total,n_test,n_test_slides,test_slides,cal_slides,cal_shares_donor_with_test,cal_shares_session_with_test,cal_shares_resolution_group_with_test,cal_shares_exact_session_with_test,cal_status,size_match,superseded_label_set
ctranspath,PRAD,shipped,slide_out,MEND150,-1,2,slide,22,6,17982,6,60959,42977,39667,39667,0,,1751,1,MEND150,MEND139;MEND140;MEND143;MEND144;MEND148;MEND161,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND151,-1,0,slide,22,6,15861,6,60110,44249,39667,39667,0,,2600,1,MEND151,MEND140;MEND141;MEND142;MEND146;MEND158;MEND160,True,True,True,False,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND151,-1,1,slide,22,6,18550,6,60110,41560,39667,39667,0,,2600,1,MEND151,MEND139;MEND147;MEND150;MEND152;MEND156;MEND160,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND151,-1,2,slide,22,6,17768,6,60110,42342,39667,39667,0,,2600,1,MEND151,MEND139;MEND153;MEND154;MEND160;MEND161;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND152,-1,0,slide,22,6,15288,6,59628,44340,39667,39667,0,,3082,1,MEND152,MEND142;MEND146;MEND149;MEND158;MEND161;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND152,-1,1,slide,22,6,18327,6,59628,41301,39667,39667,0,,3082,1,MEND152,MEND141;MEND144;MEND154;MEND158;MEND159;MEND161,True,True,True,False,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND152,-1,2,slide,22,6,12611,6,59628,47017,39667,39667,0,,3082,1,MEND152,MEND141;MEND145;MEND150;MEND153;MEND154;MEND158,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND153,-1,0,slide,22,6,17157,6,60890,43733,39667,39667,0,,1820,1,MEND153,MEND140;MEND143;MEND150;MEND157;MEND159;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND153,-1,1,slide,22,6,13626,6,60890,47264,39667,39667,0,,1820,1,MEND153,MEND140;MEND148;MEND149;MEND150;MEND151;MEND159,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND153,-1,2,slide,22,6,17682,6,60890,43208,39667,39667,0,,1820,1,MEND153,MEND144;MEND145;MEND151;MEND154;MEND160;MEND161,True,True,True,True,ok,task,False
