encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal,superseded_label_set
gigapath,CCRCC,shipped,patient,5,-1,1,0.001,5.6953013763645e-06,8.166206316800768e-05,0.44229648825936524,0.37965293449070187,-0.02187613669735955,2.303718380316725,4.279481933267613,False
gigapath,CCRCC,shipped,patient,5,-1,2,0.001,9.068506653523903e-05,0.0002593971418277891,0.42125053193035383,0.3756005702674221,-0.09473945274111173,3.3460458702158538,6.629177576722899,False
gigapath,CCRCC,shipped,donor,INT1,-1,0,0.001,2.7143180275955665e-06,0.0,0.400426245116831,0.454536988121512,-0.01422982506609849,2.1602145667597337,4.196945054668224,False
gigapath,CCRCC,shipped,donor,INT1,-1,1,0.001,5.057226510513708e-05,0.0,0.3902795568035249,0.44653425701931443,-0.06345402854467341,2.911396068629357,5.879873397259539,False
gigapath,CCRCC,shipped,donor,INT1,-1,2,0.001,5.702229571762559e-06,0.0,0.3995809624216965,0.4853891520346528,-0.030523158477504753,2.7248951148644194,5.155871984521233,False
gigapath,CCRCC,shipped,donor,INT10,-1,0,0.001,3.084188713796926e-05,5.042864346949067e-05,0.39241029331572724,0.42886289879096745,-0.04836417678582028,2.773591761134349,6.121402810215553,False
gigapath,CCRCC,shipped,donor,INT10,-1,1,0.001,7.146868140282812e-05,0.00024205748865355523,0.38620025096037724,0.33265373085878713,-0.06841544920458636,3.0321449476892126,6.287041945900485,False
gigapath,CCRCC,shipped,donor,INT10,-1,2,0.001,1.53041703864303e-05,5.042864346949067e-05,0.41170762629807334,0.38865272520470556,-0.06294583514125363,2.4028318358363703,4.4055503716316755,False
gigapath,CCRCC,shipped,donor,INT11,-1,0,0.001,1.3855582200905941e-05,0.0,0.40335498593677366,0.45560628172036943,-0.03670368751323039,2.231480530048824,4.056641098141439,False
gigapath,CCRCC,shipped,donor,INT11,-1,1,0.001,4.6525740871851924e-05,0.0,0.4121890131915761,0.465230749538724,-0.05049710518112771,2.7895811822838277,5.777008061542942,False
gigapath,CCRCC,shipped,donor,INT11,-1,2,0.001,2.0126679689812347e-05,0.0,0.40486785650743307,0.47066942331458933,-0.02362730543809849,2.1235376152593606,3.863097047906241,False
gigapath,CCRCC,shipped,donor,INT12,-1,0,0.001,1.97136335339282e-05,0.0,0.39021789353519387,0.4428013409354341,-0.03442088925752451,2.867705550078737,5.677756403388504,False
gigapath,CCRCC,shipped,donor,INT12,-1,1,0.001,2.719949785542421e-05,0.0,0.41482179524554896,0.4551445802499345,-0.08102394583408118,2.4066177582912123,4.468766207275681,False
gigapath,CCRCC,shipped,donor,INT12,-1,2,0.001,1.4820303816228232e-05,0.0,0.42007980001211104,0.48169583424687057,-0.06043674418910372,2.429659560984269,4.709828889113763,False
gigapath,CCRCC,shipped,donor,INT13,-1,0,0.001,1.083790557474768e-05,0.0,0.41699997195636507,0.37597331924459265,-0.04382295864991176,2.4655622856985913,4.442220329913232,False
