task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws,superseded_label_set
COAD,shipped,phikon,donor,abs,COAD_Oliveira_P1,donor,3,0.8987716390423572,0.0019797233285325593,0.2175527743719727,False
COAD,shipped,phikon,donor,abs,COAD_Oliveira_P2,donor,3,0.8254615747289016,0.0073847301918992725,0.07843158882369516,False
COAD,shipped,phikon,donor,abs,COAD_Oliveira_P5,donor,3,0.8926016973953761,0.0137080996274084,0.23542601715142994,False
COAD,shipped,phikon,donor,abs,COAD_donor_TENX111,donor,3,0.8021264028352038,0.02173201341468862,0.1550438323687646,False
COAD,shipped,phikon,donor,scaled,COAD_Oliveira_P1,donor,3,0.917828729281768,0.004222270641019434,15.438661631001544,False
COAD,shipped,phikon,donor,scaled,COAD_Oliveira_P2,donor,3,0.8328297972654409,0.007368188264869166,2.1397676639776777,False
COAD,shipped,phikon,donor,scaled,COAD_Oliveira_P5,donor,3,0.8661574480538484,0.01377502600426586,12.573204541073013,False
COAD,shipped,phikon,donor,scaled,COAD_donor_TENX111,donor,3,0.8065354072323948,0.05586912854320981,0.5871772179672206,False
COAD,shipped,phikon,patient,abs,0,block,3,0.5964581698302793,0.005002633841044034,0.01393091184973159,False
COAD,shipped,phikon,patient,abs,1,slide,3,0.7730852530025595,0.03393775030275681,0.07574961730032476,False
COAD,shipped,phikon,patient,scaled,0,block,3,0.542181018898016,0.012000805018980045,0.03935481367723749,False
COAD,shipped,phikon,patient,scaled,1,slide,3,0.8076642383671326,0.027621021059435428,0.4533337831381565,False
COAD,shipped,phikon,random,abs,0,spot,1,0.8955866980625757,0.0034515796882662055,0.023656657938679243,False
COAD,shipped,phikon,random,abs,1,spot,1,0.8966084297063365,0.0024231469055977944,0.01608997809028629,False
COAD,shipped,phikon,random,scaled,0,spot,1,0.8991748562975556,0.0015847997850184949,0.016041417963797527,False
COAD,shipped,phikon,random,scaled,1,spot,1,0.9005479107389011,0.001779308592470971,0.01576330837535118,False
HCC,shipped,phikon,donor,abs,CHC20,block,3,0.7649081229606732,0.013283113754155059,0.03248700886693587,False
HCC,shipped,phikon,donor,abs,CHC23,block,3,0.7089283074648928,0.026296386634224737,0.08032248245527432,False
HCC,shipped,phikon,donor,scaled,CHC20,block,3,0.7231839258114374,0.026103454766390387,2.250914975625283,False
HCC,shipped,phikon,donor,scaled,CHC23,block,3,0.7649076127124909,0.0509553451759157,2.2979944852067566,False
HCC,shipped,phikon,patient,abs,0,block,3,0.7293274205469326,0.021963846547813526,0.06934038692272784,False
HCC,shipped,phikon,patient,abs,1,block,3,0.7592993302421432,0.03378417343267048,0.049621963508875155,False
HCC,shipped,phikon,patient,scaled,0,block,3,0.7661433850702144,0.05244243325706728,2.2706596428626438,False
HCC,shipped,phikon,patient,scaled,1,block,3,0.7119697750300533,0.01703476788820461,0.7681549958529736,False
HCC,shipped,phikon,random,abs,0,spot,1,0.9020939949650595,0.001205381201083143,0.014966349470572484,False
HCC,shipped,phikon,random,abs,1,spot,1,0.9007354339882021,0.003942663057636384,0.023793622947082153,False
HCC,shipped,phikon,random,scaled,0,spot,1,0.8966438686014226,0.0025894271630892748,0.13867035686275764,False
HCC,shipped,phikon,random,scaled,1,spot,1,0.8969144553792503,0.003955982479260825,0.3360721233363579,False
IDC,audited,phikon,donor,abs,IDC_JanesickSample1,donor,1,0.9193499041248535,,,True
IDC,audited,phikon,donor,abs,NCBI783,donor,1,0.8770915141430948,,,True
IDC,audited,phikon,donor,abs,NCBI785,donor,1,0.7233915211970074,,,True
IDC,audited,phikon,donor,scaled,IDC_JanesickSample1,donor,1,0.8257491007747972,,,True
IDC,audited,phikon,donor,scaled,NCBI783,donor,1,0.8667221297836939,,,True
IDC,audited,phikon,donor,scaled,NCBI785,donor,1,0.6988129675810474,,,True
