task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws,superseded_label_set
HCC,shipped,virchow2,donor,abs,CHC23,block,3,0.6876954915003696,0.020536809599807984,0.06767349951072672,False
HCC,shipped,virchow2,donor,scaled,CHC20,block,3,0.7180731581658938,0.008182848559219419,0.7756345687238451,False
HCC,shipped,virchow2,donor,scaled,CHC23,block,3,0.7249756097560976,0.042721280432939816,1.2359001479228915,False
HCC,shipped,virchow2,patient,abs,0,block,3,0.728940133037694,0.017272510380644864,0.04991866453654014,False
HCC,shipped,virchow2,patient,abs,1,block,3,0.7996840116778294,0.019113718116087103,0.02354687694835337,False
HCC,shipped,virchow2,patient,scaled,0,block,3,0.7343059866962305,0.022694750620877634,1.1406587050846055,False
HCC,shipped,virchow2,patient,scaled,1,block,3,0.732182723681951,0.026176745747516234,0.31597554828309654,False
HCC,shipped,virchow2,random,abs,0,spot,1,0.902886653622866,0.00231132622107043,0.02127764687570274,False
HCC,shipped,virchow2,random,abs,1,spot,1,0.9022534445034198,0.002390340228079931,0.013711820765695677,False
HCC,shipped,virchow2,random,scaled,0,spot,1,0.8967684147934225,0.00619340705915927,0.15993610985114634,False
HCC,shipped,virchow2,random,scaled,1,spot,1,0.900115456271763,0.006321151306041813,0.27071182553159184,False
IDC,audited,virchow2,donor,abs,IDC_JanesickSample1,donor,1,0.9102987486574005,,,True
IDC,audited,virchow2,donor,abs,NCBI783,donor,1,0.8427687188019967,,,True
IDC,audited,virchow2,donor,abs,NCBI785,donor,1,0.7278902743142145,,,True
IDC,audited,virchow2,donor,scaled,IDC_JanesickSample1,donor,1,0.9036650349808348,,,True
IDC,audited,virchow2,donor,scaled,NCBI783,donor,1,0.8848718801996672,,,True
IDC,audited,virchow2,donor,scaled,NCBI785,donor,1,0.6873815461346634,,,True
IDC,audited,virchow2,patient,abs,0,patient,3,0.8567583449737488,0.012166465956117218,0.0492317970800941,True
IDC,audited,virchow2,patient,abs,1,patient,3,0.8659020618556701,0.023759317077656043,0.45669220497467267,True
IDC,audited,virchow2,patient,abs,2,patient,3,0.708836242726517,0.050154799539521636,0.05943853288348647,True
IDC,audited,virchow2,patient,abs,3,patient,3,0.841018302828619,0.05785167264341735,0.4636121103870155,True
IDC,audited,virchow2,patient,scaled,0,patient,3,0.8545587078335982,0.025662955927304398,13.70463493972548,True
IDC,audited,virchow2,patient,scaled,1,patient,3,0.8653634020618557,0.029474765093002935,73.25896447571242,True
IDC,audited,virchow2,patient,scaled,2,patient,3,0.7330407315045719,0.05396528372501789,8.572246869931426,True
IDC,audited,virchow2,patient,scaled,3,patient,3,0.8417193566278426,0.057682566782974044,48.60974689844305,True
IDC,audited,virchow2,random,abs,0,spot,1,0.8802756417964879,0.0021162035007843325,0.016952498995438565,True
IDC,audited,virchow2,random,abs,1,spot,1,0.8788422440817067,0.002302224197965288,0.009464920792997345,True
IDC,audited,virchow2,random,abs,2,spot,1,0.8795300096648466,0.0013386462510274835,0.0013229407752708524,True
IDC,audited,virchow2,random,abs,3,spot,1,0.8795137029104586,0.0019713619874831612,0.007083896721175001,True
IDC,audited,virchow2,random,scaled,0,spot,1,0.8915033075522831,0.002103713948030649,0.021145990025066497,True
IDC,audited,virchow2,random,scaled,1,spot,1,0.8914011259256857,0.0022480351365696,0.02066735729761533,True
IDC,audited,virchow2,random,scaled,2,spot,1,0.8906939701843057,0.0019794613166968372,0.009208436989170418,True
IDC,audited,virchow2,random,scaled,3,spot,1,0.8904376225331994,0.0016765437059934347,0.012405957228322233,True
IDC,shipped,virchow2,donor,abs,IDC_shipped_patient_1,donor,3,0.8642743605799335,0.030204859094614622,0.3406297630917022,False
IDC,shipped,virchow2,donor,abs,IDC_shipped_patient_2,donor,3,0.877770618556701,0.030830047189446125,0.585683822342252,False
IDC,shipped,virchow2,donor,abs,NCBI783,donor,3,0.8719866888519135,0.03662417441193958,0.4456720109164957,False
IDC,shipped,virchow2,donor,abs,NCBI785,donor,3,0.7001762261014131,0.013674099048138003,0.02489412455869419,False
IDC,shipped,virchow2,donor,scaled,IDC_shipped_patient_1,donor,3,0.84839426488769,0.01708165856348506,3.605418722700946,False
IDC,shipped,virchow2,donor,scaled,IDC_shipped_patient_2,donor,3,0.8704037800687284,0.009466452509768823,53.38651920974034,False
IDC,shipped,virchow2,donor,scaled,NCBI783,donor,3,0.8556539101497505,0.05143178848756587,1.2835656647716382,False
IDC,shipped,virchow2,donor,scaled,NCBI785,donor,3,0.7264887780548629,0.0313499749239221,0.8898916375367898,False
IDC,shipped,virchow2,patient,abs,0,patient,3,0.8534466868969061,0.012214300724926817,0.08969351665565589,False
IDC,shipped,virchow2,patient,abs,1,patient,3,0.8617895189003436,0.02658823475569792,0.5448406663218652,False
IDC,shipped,virchow2,patient,abs,2,patient,3,0.689484621778886,0.025682011360290982,0.05798775503011871,False
IDC,shipped,virchow2,patient,abs,3,patient,3,0.8481841375485302,0.06316608316582424,0.5244310018808217,False
IDC,shipped,virchow2,patient,scaled,0,patient,3,0.8463673875696417,0.012657042401593425,0.14339742799806893,False
IDC,shipped,virchow2,patient,scaled,1,patient,3,0.8537517182130584,0.006801000109581107,1.390003308766032,False
IDC,shipped,virchow2,patient,scaled,2,patient,3,0.673737323358271,0.0136245488548711,0.3957642309487273,False
IDC,shipped,virchow2,patient,scaled,3,patient,3,0.8478691070438158,0.06611967943541121,2.767261312768194,False
IDC,shipped,virchow2,random,abs,0,spot,1,0.8810530278266058,0.002375471191376481,0.011141833614638873,False
IDC,shipped,virchow2,random,abs,1,spot,1,0.8798177096940882,0.002097186512948866,0.007088549049746557,False
IDC,shipped,virchow2,random,abs,2,spot,1,0.8810800867037244,0.0016063668338726737,0.0054832400952862575,False
IDC,shipped,virchow2,random,abs,3,spot,1,0.8807090658757328,0.0012799661034178982,0.006020713188700896,False
IDC,shipped,virchow2,random,scaled,0,spot,1,0.895374868973175,0.001296773101780363,0.007361438946580482,False
