task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit,superseded_label_set
IDC,audited,resnet50,donor,scaled,IDC_JanesickSample1,0.8264154545820201,230.59210956986783,234.74818779002553,0.11367055906768092,0.059913986350298966,donor,True
IDC,audited,resnet50,donor,scaled,NCBI783,0.8793078202995008,962.9222024169733,966.1751206197819,0.008193011647254576,0.1124991680532446,donor,True
IDC,audited,resnet50,donor,scaled,NCBI785,0.8771720698254364,298.96072865106703,301.5776292516425,0.09076309226932669,0.03206483790523691,donor,True
IDC,audited,resnet50,patient,abs,0,0.8544013615272226,4.747242152312372,7.420379162981912,0.02816723664563364,0.11743140182714384,patient,True
IDC,audited,resnet50,patient,abs,1,0.8853900343642612,4.855011240072087,7.31468908273711,0.10100343642611682,0.013606529209621993,patient,True
IDC,audited,resnet50,patient,abs,2,0.7741612635078968,4.832818467705338,8.966799520774915,0.1961014131338321,0.02973732335827099,patient,True
IDC,audited,resnet50,patient,abs,3,0.8302074320576817,4.535682051408277,7.330229891442507,0.07746644481419857,0.09232612312811979,patient,True
IDC,audited,resnet50,patient,scaled,0,0.868439220975226,109.70397243930819,112.44987181746633,0.03613762985084212,0.0954231491739319,patient,True
IDC,audited,resnet50,patient,scaled,1,0.9443273195876288,33.330172706948446,34.251330930969004,0.04962800687285224,0.0060446735395189,patient,True
IDC,audited,resnet50,patient,scaled,2,0.7504189526184538,79.22716385806352,85.11733457215128,0.21763757273482962,0.03194347464671654,patient,True
IDC,audited,resnet50,patient,scaled,3,0.7314830837493068,46.235460462068396,51.388066881666724,0.14289739323349973,0.12561952301719356,patient,True
IDC,audited,resnet50,random,abs,0,0.8742754168493778,2.624218229225718,3.8189423835202527,0.06914969459143261,0.056574888559189615,spot,True
IDC,audited,resnet50,random,abs,1,0.8726508358237343,2.604813570345348,3.8267815736138773,0.07089832662811217,0.05645083754815348,spot,True
IDC,audited,resnet50,random,abs,2,0.8706232369353151,2.607396582962286,3.839105012824426,0.06987349121065425,0.05950327185403067,spot,True
IDC,audited,resnet50,random,abs,3,0.8703348228901142,2.6031675334418103,3.8629968945125475,0.07279601940688084,0.056869157703004915,spot,True
IDC,audited,resnet50,random,scaled,0,0.8930077748354963,2.912537512866919,3.8355519772715545,0.06601555559029637,0.040976669574207356,spot,True
IDC,audited,resnet50,random,scaled,1,0.8925660965549103,2.8932539252307814,3.8287925130614076,0.06627430155734179,0.04115960188774785,spot,True
IDC,audited,resnet50,random,scaled,2,0.8926809157886769,2.910021422799501,3.828141676495497,0.0652257583352572,0.042093325876065804,spot,True
