task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes,superseded_label_set
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND140,0.9548527131782946,2.9082921124701584,3.158056778725628,0.044878552971576224,0.000268733850129199,1935,50,False
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND141,0.968216276477146,2.908292112470156,3.0998904257849516,0.03157190635451505,0.00021181716833890748,1794,50,False
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND142,0.9736202869536202,2.908292112470158,3.053746307755018,0.025752419085752418,0.000627293960627294,2997,50,False
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND143,0.9903983228511531,2.9082921124701486,2.9452153407987613,0.00958595387840671,1.572327044025157e-05,3816,50,False
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND144,0.9949828178694158,2.9082921124701446,2.9240397745507223,0.004963181148748159,5.400098183603338e-05,4074,50,False
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND145,0.9658392101551481,2.9082921124701473,3.115494506686797,0.03413258110014104,2.8208744710860367e-05,1418,50,False
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND146,0.9831975560081466,2.908292112470159,3.008958174148043,0.016670061099796334,0.00013238289205702645,1964,50,False
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND147,0.9897044967880086,2.908292112470162,2.952207349943181,0.006852248394004282,0.0034432548179871517,2335,50,False
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND148,0.9941947336191059,2.908292112470152,2.944408584585245,0.005266380894060012,0.0005388854868340478,1633,50,False
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND149,0.9744030253916801,2.9082921124701566,3.0621552208082448,0.02533765532144787,0.00025931928687196107,1851,50,False
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND150,0.9289091947458595,2.9082921124701557,3.604632990574373,0.07024557395773844,0.000845231296402056,1751,50,False
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND151,0.9850769230769231,2.908292112470162,2.97951628044408,0.009107692307692308,0.0058153846153846155,2600,50,False
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND152,0.9716742375081117,2.9082921124701566,3.0771889022767906,0.012660609993510707,0.015665152498377678,3082,50,False
PRAD,shipped,virchow,patient,abs,1,-1,0,slide,MEND153,0.9692087912087912,2.908292112470156,3.1061343319240287,0.02221978021978022,0.00857142857142857,1820,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND139,0.900378767671379,2.678748795664907,3.2119116681213837,0.047153907708722326,0.05246732461989864,3749,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND140,0.9354935400516795,2.6787487956649256,3.0586559003430636,0.06308010335917313,0.0014263565891472869,1935,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND141,0.9642586399108138,2.6787487956649243,2.8771676941750868,0.03459308807134894,0.0011482720178372353,1794,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND142,0.9593193193193192,2.6787487956649216,2.9014524322043203,0.03630964297630965,0.004371037704371038,2997,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND143,0.9783176100628931,2.6787487956649056,2.777420422868816,0.0214727463312369,0.00020964360587002098,3816,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND144,0.9858370152184586,2.678748795664901,2.7341431828345417,0.013721158566519391,0.00044182621502209126,4074,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND145,0.9500423131170663,2.6787487956649234,3.0148746164983704,0.048631875881523276,0.0013258110014104374,1418,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND146,0.9761507128309573,2.678748795664926,2.8275066439773697,0.0220061099796334,0.0018431771894093687,1964,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND147,0.9667665952890792,2.678748795664926,2.8300120012411356,0.015349036402569594,0.017884368308351176,2335,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND148,0.9852173913043478,2.6787487956649243,2.7719009507250703,0.011022657685241886,0.0037599510104102877,1633,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND149,0.95752566180443,2.6787487956649247,2.8971618008240188,0.039103187466234465,0.003371150729335494,1851,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND150,0.9337978298115363,2.678748795664924,3.1696224065620453,0.051867504283266704,0.01433466590519703,1751,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND151,0.9507461538461538,2.6787487956649247,2.9206052967677345,0.010653846153846154,0.038599999999999995,2600,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND152,0.9351460090850097,2.6787487956649203,3.060396228776778,0.017073329007138222,0.047780661907852046,3082,50,False
PRAD,shipped,virchow,patient,abs,1,-1,1,slide,MEND153,0.9387142857142856,2.6787487956649243,3.04991020416525,0.023450549450549446,0.03783516483516483,1820,50,False
PRAD,shipped,virchow,patient,abs,1,-1,2,slide,MEND139,0.8549746599093092,2.5055260384036835,3.47345373449655,0.04986396372365965,0.0951613763670312,3749,50,False
PRAD,shipped,virchow,patient,abs,1,-1,2,slide,MEND140,0.916609819121447,2.505526038403681,2.999798220891862,0.08054780361757105,0.002842377260981912,1935,50,False
