source,task,label_set,encoder,design,score,coverage,aggregation,src
A1_slide_mean,CCRCC,shipped,virchow,random,abs,0.8825217118181149,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow__main.csv
A1_slide_mean,COAD,shipped,virchow,random,abs,0.8963936683048692,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow__main.csv
A1_slide_mean,HCC,shipped,virchow,random,abs,0.9024263028375324,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow__main.csv
A1_slide_mean,IDC,audited,virchow,random,abs,0.8785743619239126,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow__main.csv
A1_slide_mean,IDC,shipped,virchow,random,abs,0.8800037192827979,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow__main.csv
A1_slide_mean,LUNG,shipped,virchow,random,abs,0.8996334704961204,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow__main.csv
A1_slide_mean,LYMPH_IDC,shipped,virchow,random,abs,0.9002557868310147,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow__main.csv
A1_slide_mean,PAAD,shipped,virchow,random,abs,0.8925877844756425,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow__main.csv
A1_slide_mean,PRAD,shipped,virchow,random,abs,0.9039455054249134,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow__main.csv
A1_slide_mean,READ,shipped,virchow,random,abs,0.8975934986912022,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow__main.csv
A1_slide_mean,SKCM,shipped,virchow,random,abs,0.9024484864489765,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow__main.csv
