task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched
LYMPH_IDC,shipped,gigapath,patient,scaled,4,0.7934809453478947,0.09569699648530948,2.7315496958731402,0.36532316832939754,5.087568857764562,0.15741173661873967,0.04910731803336555,patient,9980
LYMPH_IDC,shipped,gigapath,random,abs,4,0.9002405410389955,0.0003087404911093394,1.4891541310521363,0.0014012604410375649,1.9867790192932098,0.0692026340542483,0.030556824906756163,spot,9980
LYMPH_IDC,shipped,gigapath,random,scaled,4,0.9007380052216898,0.00039092261886623596,1.4134866455609614,0.001641065930167723,1.867443516299517,0.0837224387183604,0.01553955605994976,spot,9980
PAAD,shipped,gigapath,donor,abs,3,0.8944890878559076,0.033919430673393335,3.19262133174969,0.29474235802707904,4.139610708789411,0.07146743854319236,0.03404347360089986,donor,1951
PAAD,shipped,gigapath,donor,scaled,3,0.8727402994436538,0.016187803213430312,11.144397173778344,5.997023727481313,12.464068508726447,0.07868461605772474,0.04857508449862128,donor,1951
PAAD,shipped,gigapath,patient,abs,3,0.8706798222073863,0.06790020981058269,3.196175249275003,0.27018277387402484,4.4993746184097825,0.10011639434508161,0.029203783447532067,patient,1951
PAAD,shipped,gigapath,patient,scaled,3,0.8504705156103857,0.0507525871380921,6.06734004572849,0.8172692317827625,7.963224826331872,0.10803400273105551,0.041495481658558826,patient,1951
PAAD,shipped,gigapath,random,abs,3,0.8923204110856462,0.001444007427781041,2.038888591315569,0.008473289015332288,2.8549295834564945,0.057522904514417404,0.05015668439993643,spot,1951
PAAD,shipped,gigapath,random,scaled,3,0.9032380251187747,0.001323304492868071,2.3391170437543924,0.011075033703348126,3.007197133547986,0.05467333344435248,0.04208864143687288,spot,1951
PRAD,shipped,gigapath,donor,abs,2,0.8706261533377442,0.08134693102133338,2.31884493677333,0.576001203147555,3.418910771555117,0.08252805471871522,0.04684579194354067,slide,19299
PRAD,shipped,gigapath,donor,scaled,2,0.8237109841959229,0.007229168985842914,2.1089165939805983,0.3912367078439371,3.7392452345272025,0.1453310360088247,0.03095797979525222,slide,19299
PRAD,shipped,gigapath,patient,abs,2,0.8713667470020932,0.10637281344409087,2.261959316911465,0.5980276374660339,3.329910745166881,0.07381478613332874,0.05481846686457815,slide,19299
PRAD,shipped,gigapath,patient,scaled,2,0.8608161753048962,0.016007567524949404,2.3127720049278646,0.5424698638250326,3.5776470466007604,0.10986840769130217,0.02931541700380167,slide,19299
PRAD,shipped,gigapath,random,abs,2,0.9038561914764158,0.0004829665133084305,1.8316433091503168,0.001316769672773614,2.4194232943545213,0.06431130170814608,0.0318325068154381,spot,19299
PRAD,shipped,gigapath,random,scaled,2,0.8976922496624542,3.108430733263907e-05,1.6582609072008285,0.004247138459391427,2.204696371600024,0.08834847758188616,0.013959272755659594,spot,19299
READ,shipped,gigapath,donor,abs,2,0.8142629779934523,0.11239891443590065,1.682931265449434,0.5380051056378646,3.256843393157868,0.11213510703102776,0.07360191497551993,slide,2128
READ,shipped,gigapath,donor,scaled,2,0.841628837380906,0.033019837472911276,12.154139184880389,12.853867857171375,13.448700097945956,0.11681838437561602,0.04155277824347807,slide,2128
READ,shipped,gigapath,patient,abs,2,0.8128992456288329,0.11432752324139253,1.6816214129887568,0.5398575167524625,3.281822407690809,0.11307981430483023,0.07402094006633686,slide,2128
READ,shipped,gigapath,patient,scaled,2,0.8341224749157543,0.04363543707521713,11.859734491714509,13.270218967072855,13.255200685990921,0.12298849715757092,0.04288902792667483,slide,2128
READ,shipped,gigapath,random,abs,2,0.8979964770871379,0.0009449852252563344,1.4334729524124796,0.005830362964663832,2.0076489663841164,0.07759124444721899,0.02441227846564318,spot,2128
READ,shipped,gigapath,random,scaled,2,0.9024723882748056,0.0007322388919460251,1.6633307868245952,0.008231403727462514,2.208342397326117,0.0911070744137363,0.006420537311458061,spot,2128
SKCM,shipped,gigapath,donor,abs,2,0.6653504555302199,0.07481426103398835,2.4696629822703624,0.1522513799599168,8.029112106304392,0.1574951679458117,0.17715437652396837,block,693
SKCM,shipped,gigapath,donor,scaled,2,0.7049820792351753,0.04763828345465916,4.222848902500715,1.2060484917621346,9.540388707741439,0.14147309353195509,0.15354482723286955,block,693
SKCM,shipped,gigapath,patient,abs,2,0.6870859170552522,0.045978794579819925,2.5376849474828767,0.005926449724131086,7.633476584037529,0.14519128389675093,0.16772279904799686,block,693
SKCM,shipped,gigapath,patient,scaled,2,0.6977605018791445,0.04306186847375184,3.7792877816663664,0.7125962246358298,9.142527392283089,0.14378555555999784,0.1584539425608577,block,693
SKCM,shipped,gigapath,random,abs,2,0.9011544368665299,0.005083882916717375,2.379587915246592,0.03863888667656074,3.235238935673155,0.05215201842342258,0.046693544710047497,spot,693
SKCM,shipped,gigapath,random,scaled,2,0.8981048380219325,0.001396477483603154,3.227849477003569,0.00848058717567681,4.082587455992687,0.05484091160242278,0.04705425037564469,spot,693
