task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws,superseded_label_set
PRAD,shipped,uni_v1,slide_out,scaled,MEND145,slide,3,0.905519511048425,0.0427033540807176,0.31561280564562644,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND146,slide,3,0.9160997963340122,0.011403435802733683,0.10682914008188694,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND147,slide,3,0.923157744468237,0.028435051069577204,0.2053851071676954,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND148,slide,3,0.8807470912431108,0.026691091838468125,0.08518153922530172,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND149,slide,3,0.901952097965064,0.016669801330982094,0.22297917042913148,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND150,slide,3,0.8824747763182943,0.03283742522558379,0.1895492818415639,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND151,slide,3,0.9562128205128205,0.015444200637564028,0.2007374858441633,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND152,slide,3,0.9435388276011248,0.009733212893820627,0.06291838609150498,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND153,slide,3,0.8665604395604397,0.042259237272897945,0.19150717210216325,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND154,slide,3,0.9128825536062379,0.004999280353577828,0.10528852560216533,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND156,slide,3,0.8062933783530294,0.011749355474841478,0.11007729960816554,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND157,slide,3,0.9398599791013584,0.023800839919427403,0.28160093426132077,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND158,slide,3,0.8710306166451057,0.015418806854880385,0.1159397395959983,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND159,slide,3,0.9524654218533887,0.028351104605104295,0.9278719249749948,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND160,slide,3,0.95464738089401,0.011740639168366715,0.09700770052966015,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND161,slide,3,0.7664648648648648,0.0715075156998082,0.23533737485130607,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND162,slide,3,0.9157608279034113,0.029485128469224495,0.1779747938656457,False
READ,shipped,uni_v1,slide_out,abs,ZEN36,slide,3,0.7851527695643603,0.029387335825429697,0.1702012742724851,False
READ,shipped,uni_v1,slide_out,abs,ZEN40,slide,3,0.7289598997493734,0.027433249946048524,0.02095052999778774,False
READ,shipped,uni_v1,slide_out,abs,ZEN48,slide,3,0.9353319357092942,0.019607075718573355,0.1857228822408234,False
READ,shipped,uni_v1,slide_out,abs,ZEN49,slide,3,0.91816008473294,0.030254784639195797,0.20004843289129703,False
READ,shipped,uni_v1,slide_out,scaled,ZEN36,slide,3,0.8231657796175833,0.010830218807431805,4.539066680972586,False
READ,shipped,uni_v1,slide_out,scaled,ZEN40,slide,3,0.8535025062656642,0.025842713979754774,0.03708033335265749,False
READ,shipped,uni_v1,slide_out,scaled,ZEN48,slide,3,0.9170733752620546,0.018865816793523435,0.5713769537725387,False
READ,shipped,uni_v1,slide_out,scaled,ZEN49,slide,3,0.9029838099561204,0.023128130797262267,0.4262961517600117,False
