task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes,superseded_label_set
PRAD,shipped,conch_v1,slide_out,abs,MEND139,-1,0,slide,MEND139,0.8545105361429716,2.1019762760325564,2.7733159224267236,0.04676447052547346,0.09872499333155509,3749,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND139,-1,1,slide,MEND139,0.8786396372365963,2.256798141873364,2.774999009420837,0.031240330754867963,0.09012003200853562,3749,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND139,-1,2,slide,MEND139,0.8257295278740997,2.095498300325678,3.03462274959639,0.03914110429447853,0.1351293678314217,3749,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND140,-1,0,slide,MEND140,0.9276072351421188,2.2111044947347733,2.5904139374959723,0.06488888888888888,0.007503875968992248,1935,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND140,-1,1,slide,MEND140,0.9054573643410851,2.0260546719285126,2.5288401934459226,0.08511627906976743,0.009426356589147287,1935,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND140,-1,2,slide,MEND140,0.8379018087855298,1.6741499586230706,2.654728367076804,0.14221188630490955,0.019886304909560722,1935,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND141,-1,0,slide,MEND141,0.9390969899665552,1.9403769630132488,2.2645225844054284,0.05668896321070234,0.004214046822742475,1794,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND141,-1,1,slide,MEND141,0.9660312151616499,2.3840239073147402,2.552397234642107,0.03321070234113712,0.000758082497212932,1794,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND141,-1,2,slide,MEND141,0.9211036789297659,1.8979645649980315,2.3431513888555746,0.07333333333333333,0.005562987736900781,1794,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND142,-1,0,slide,MEND142,0.9495962629295963,2.0372093102661157,2.2633484631791894,0.036770103436770105,0.013633633633633633,2997,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND142,-1,1,slide,MEND142,0.9351751751751752,1.9287379787253587,2.2376204870486003,0.05042375709042376,0.014401067734401068,2997,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND142,-1,2,slide,MEND142,0.9681815148481815,2.426107931595013,2.572091735491101,0.02293626960293627,0.008882215548882215,2997,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND143,-1,0,slide,MEND143,0.9509748427672956,1.8705185693707957,2.0731700723140305,0.04805555555555555,0.0009696016771488469,3816,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND143,-1,1,slide,MEND143,0.9550524109014675,1.8803956039121072,2.05925251712738,0.04316037735849057,0.0017872117400419287,3816,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND143,-1,2,slide,MEND143,0.97187106918239,2.1773006733854494,2.2854264509654856,0.027678197064989515,0.0004507337526205451,3816,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND144,-1,0,slide,MEND144,0.984914089347079,2.3364932048025473,2.3932818490334964,0.01318605792832597,0.0018998527245949926,4074,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND144,-1,1,slide,MEND144,0.9610751104565537,1.8974581920305196,2.0639709856740165,0.035527736867943055,0.003397152675503191,4074,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND144,-1,2,slide,MEND144,0.9778497790868924,2.0995500408264864,2.1785825671276253,0.020741286205203734,0.00140893470790378,4074,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND145,-1,0,slide,MEND145,0.9432440056417489,2.1231722288897372,2.468659500198726,0.05459802538787024,0.002157968970380818,1418,50,False
PRAD,shipped,conch_v1,slide_out,abs,MEND145,-1,1,slide,MEND145,0.9545980253878703,2.2913519376504423,2.554568408894427,0.04471086036671368,0.000691114245416079,1418,50,False
