task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit,superseded_label_set
PRAD,shipped,phikon,slide_out,abs,MEND161,0.759087087087087,2.059864502877903,4.074057969393159,0.19920960960960962,0.0417033033033033,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND162,0.9470039606490354,1.9112557485761188,2.338384654493998,0.027221157531621312,0.025774881819343298,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND139,0.8651338134613674,2.150827250328739,2.9854377784002852,0.04125722414866187,0.09360896238997067,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND140,0.8809198966408268,1.8593454021063682,2.544308172716431,0.11197932816537469,0.00710077519379845,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND141,0.9186399108138238,1.7763579749727905,2.177725176819188,0.06348197696023783,0.017878112225938315,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND142,0.9399110221332444,1.9452103572192208,2.2345909627368625,0.042195528862195526,0.01789344900456012,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND143,0.9179280223619847,1.4862690730950254,1.8648077481233685,0.07261705101327742,0.009454926624737944,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND144,0.9243986254295532,1.5180132657215515,1.8915812933920984,0.07346260841106202,0.002138766159384716,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND145,0.8955900329102021,1.6281857192749938,2.2690404000680875,0.10132581100141043,0.0030841560883874005,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND146,0.9174270196877122,1.4887363876082016,1.94682309969366,0.07706042090970808,0.005512559402579768,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND147,0.9165453247680229,1.9247484556120462,2.4232303910964297,0.07958315488936474,0.0038715203426124196,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND148,0.93473361910594,1.3688030836621898,1.729357266001175,0.0541661563584405,0.011100224535619515,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND149,0.8978390059427337,1.5765671790177584,2.124478060954982,0.09313524221141727,0.00902575184584909,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND150,0.8705158956786598,2.0336937805664994,2.912621082539252,0.12461831334475537,0.004865790976584809,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND151,0.9441820512820512,1.9997945615483852,2.250183575700593,0.04292820512820513,0.01288974358974359,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND152,0.933969284014709,2.2908135103416067,2.693640354196327,0.05673804888600476,0.00929266709928618,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND153,0.8995128205128204,2.0244434349731475,2.5663453425765144,0.0873882783882784,0.013098901098901099,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND154,0.9091179337231968,2.2063597171320377,2.7988456225754788,0.06571881091617934,0.02516325536062378,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND156,0.8207146876758582,2.3690676007073903,4.702495462440072,0.16836991183642844,0.010915400487713375,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND157,0.9201003134796238,2.4432708256698628,2.9362527376565857,0.0697951933124347,0.010104493207941484,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND158,0.8490987494609746,1.9167168542463606,3.091424492771781,0.14607373868046572,0.004827511858559724,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND159,0.9425328492392807,3.1469560131972654,3.464966386807845,0.026144536652835407,0.03132261410788382,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND160,0.9568358257742912,2.391470057004986,2.61327416137965,0.026382283239356052,0.016781890986352865,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND161,0.8007927927927927,2.1585537374138117,3.8017211860011564,0.18662102102102104,0.012586186186186185,slide,False
PRAD,shipped,phikon,slide_out,scaled,MEND162,0.8829181039989779,1.3733511609623807,2.362120913953785,0.06690941612367446,0.05017247987734764,slide,False
READ,shipped,phikon,slide_out,abs,ZEN36,0.7742637492607924,1.5080338066719243,3.7117022394240347,0.2156199487482752,0.010116301990932388,slide,False
READ,shipped,phikon,slide_out,abs,ZEN40,0.6859179197994987,1.3409337089923525,3.0685481404963935,0.058558897243107776,0.25552318295739346,slide,False
READ,shipped,phikon,slide_out,abs,ZEN48,0.938722571628232,2.018268280740047,2.3801679081611287,0.04125506638714186,0.020022361984626137,slide,False
READ,shipped,phikon,slide_out,abs,ZEN49,0.9199576335300348,1.837853512361198,2.2955501871031747,0.05254652746255107,0.027495839007414133,slide,False
READ,shipped,phikon,slide_out,scaled,ZEN36,0.7927459097181155,6.7046504058237835,8.650403364362992,0.20084368223930615,0.006410408042578356,slide,False
READ,shipped,phikon,slide_out,scaled,ZEN40,0.8477788220551378,2.2430402063222235,3.1350474428693516,0.052368421052631585,0.09985275689223057,slide,False
READ,shipped,phikon,slide_out,scaled,ZEN48,0.9315555555555556,9.113277599395348,9.504387579497214,0.06211600279524807,0.0063284416491963666,slide,False
READ,shipped,phikon,slide_out,scaled,ZEN49,0.9006536541080346,8.366107861590828,8.966168377432824,0.08472688757754578,0.01461945831441973,slide,False
