task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
LUNG,shipped,ctranspath,random,scaled,1,spot,1,0.901145024787251,0.0025830952966255966,0.03896105560820932
LYMPH_IDC,shipped,ctranspath,donor,abs,Patient_3,donor,3,0.9005128205128204,0.034896321826779014,0.4388470329746382
LYMPH_IDC,shipped,ctranspath,donor,abs,Patient_6,donor,3,0.8765050747863247,0.043980221523553735,0.46431845198384025
LYMPH_IDC,shipped,ctranspath,donor,abs,Patient_7,donor,3,0.6186995455760492,0.011585531233527475,0.11787840362236729
LYMPH_IDC,shipped,ctranspath,donor,abs,Patient_8,donor,3,0.8764423076923077,0.02369079109391085,0.3400736388758875
LYMPH_IDC,shipped,ctranspath,donor,scaled,Patient_3,donor,3,0.8484134615384615,0.0234293450227413,0.43766619313162713
LYMPH_IDC,shipped,ctranspath,donor,scaled,Patient_6,donor,3,0.887767094017094,0.033322160301672836,0.14734874550238242
LYMPH_IDC,shipped,ctranspath,donor,scaled,Patient_7,donor,3,0.6691165463779738,0.09596439142604282,2.9428772563735177
LYMPH_IDC,shipped,ctranspath,donor,scaled,Patient_8,donor,3,0.8376522435897437,0.05343265712452069,5.504691283244985
LYMPH_IDC,shipped,ctranspath,patient,abs,0,patient,3,0.8785950854700855,0.007281645221990908,0.04108545860331865
LYMPH_IDC,shipped,ctranspath,patient,abs,1,patient,3,0.8453445512820513,0.049570634598034326,0.4112991102160415
LYMPH_IDC,shipped,ctranspath,patient,abs,2,patient,3,0.6245268644747394,0.012841226587597334,0.13577997459666571
LYMPH_IDC,shipped,ctranspath,patient,abs,3,patient,3,0.862764423076923,0.0,0.0
LYMPH_IDC,shipped,ctranspath,patient,scaled,0,patient,3,0.8334014423076924,0.019471692972909807,0.12059401997646639
LYMPH_IDC,shipped,ctranspath,patient,scaled,1,patient,3,0.8769631410256409,0.02874620800867056,0.6445552868114471
LYMPH_IDC,shipped,ctranspath,patient,scaled,2,patient,3,0.6911360598770382,0.07095577897300352,2.647242893379242
LYMPH_IDC,shipped,ctranspath,patient,scaled,3,patient,3,0.8068028846153846,0.0,0.0
LYMPH_IDC,shipped,ctranspath,random,abs,0,spot,1,0.9009855748358687,0.0016220831435639301,0.006843487697448426
LYMPH_IDC,shipped,ctranspath,random,abs,1,spot,1,0.8999223481522908,0.002374536517532693,0.008384093889358313
LYMPH_IDC,shipped,ctranspath,random,abs,2,spot,1,0.8997508475657992,0.0029740506722687157,0.011902565990333036
LYMPH_IDC,shipped,ctranspath,random,abs,3,spot,1,0.900662202358381,0.002212379409635571,0.008476189055074038
LYMPH_IDC,shipped,ctranspath,random,scaled,0,spot,1,0.9019571587269193,0.001355798443927955,0.016350192042114364
LYMPH_IDC,shipped,ctranspath,random,scaled,1,spot,1,0.8992708784458981,0.0018567531650142044,0.007491127571514874
LYMPH_IDC,shipped,ctranspath,random,scaled,2,spot,1,0.899354364044308,0.002273460020253157,0.016830523478653374
LYMPH_IDC,shipped,ctranspath,random,scaled,3,spot,1,0.9001456322806461,0.002297637256188504,0.008125080542924462
PAAD,shipped,ctranspath,donor,abs,TENX116,donor,1,0.9068358208955223,,
PAAD,shipped,ctranspath,donor,abs,TENX126,donor,1,0.917744746283957,,
PAAD,shipped,ctranspath,donor,abs,TENX140,donor,1,0.855168975069252,,
PAAD,shipped,ctranspath,donor,scaled,TENX116,donor,1,0.8948059701492538,,
