encoder,task,label_set,design,fold,repeat,cal_draw,n_T,n_C,n_E,overlap_T_C,overlap_T_E,overlap_C_E,disjoint,scaler_pca_fit_rows_equal_T,n_samples_seen,pca_n_samples,max_abs_scaler_mean_minus_T,max_abs_scaler_var_minus_T,max_abs_pca_mean_minus_T,superseded_label_set
virchow2,READ,shipped,slide_out,ZEN36,-1,2,3819,2203,1691,0,0,0,True,True,3819,3819,0.0,0.0,0.0,False
virchow2,READ,shipped,slide_out,ZEN40,-1,0,3819,2203,2128,0,0,0,True,True,3819,3819,0.0,0.0,0.0,False
virchow2,READ,shipped,slide_out,ZEN40,-1,1,3819,2385,2128,0,0,0,True,True,3819,3819,0.0,0.0,0.0,False
virchow2,READ,shipped,slide_out,ZEN40,-1,2,3819,2385,2128,0,0,0,True,True,3819,3819,0.0,0.0,0.0,False
virchow2,READ,shipped,slide_out,ZEN48,-1,0,3819,1691,2385,0,0,0,True,True,3819,3819,0.0,0.0,0.0,False
virchow2,READ,shipped,slide_out,ZEN48,-1,1,3819,2203,2385,0,0,0,True,True,3819,3819,0.0,0.0,0.0,False
virchow2,READ,shipped,slide_out,ZEN48,-1,2,3819,1691,2385,0,0,0,True,True,3819,3819,0.0,0.0,0.0,False
virchow2,READ,shipped,slide_out,ZEN49,-1,0,3819,2128,2203,0,0,0,True,True,3819,3819,0.0,0.0,0.0,False
virchow2,READ,shipped,slide_out,ZEN49,-1,1,3819,2385,2203,0,0,0,True,True,3819,3819,0.0,0.0,0.0,False
virchow2,READ,shipped,slide_out,ZEN49,-1,2,3819,1691,2203,0,0,0,True,True,3819,3819,0.0,0.0,0.0,False
virchow2,IDC,audited,slide_out,NCBI783,-1,0,7015,7760,3005,0,0,0,True,True,7015,7015,0.0,0.0,0.0,True
virchow2,IDC,audited,slide_out,NCBI783,-1,1,7015,4010,3005,0,0,0,True,True,7015,7015,0.0,0.0,0.0,True
virchow2,IDC,audited,slide_out,NCBI783,-1,2,7015,4010,3005,0,0,0,True,True,7015,7015,0.0,0.0,0.0,True
virchow2,IDC,audited,slide_out,NCBI785,-1,0,7015,3005,4010,0,0,0,True,True,7015,7015,0.0,0.0,0.0,True
virchow2,IDC,audited,slide_out,NCBI785,-1,1,7015,20761,4010,0,0,0,True,True,7015,7015,0.0,0.0,0.0,True
virchow2,IDC,audited,slide_out,NCBI785,-1,2,7015,20761,4010,0,0,0,True,True,7015,7015,0.0,0.0,0.0,True
virchow2,IDC,audited,slide_out,TENX95,-1,0,7015,4010,7760,0,0,0,True,True,7015,7015,0.0,0.0,0.0,True
virchow2,IDC,audited,slide_out,TENX95,-1,1,7015,4010,7760,0,0,0,True,True,7015,7015,0.0,0.0,0.0,True
virchow2,IDC,audited,slide_out,TENX95,-1,2,7015,20761,7760,0,0,0,True,True,7015,7015,0.0,0.0,0.0,True
virchow2,IDC,audited,slide_out,TENX99,-1,0,7015,4010,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0,True
virchow2,IDC,audited,slide_out,TENX99,-1,1,7015,7760,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0,True
virchow2,IDC,audited,slide_out,TENX99,-1,2,7015,3005,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0,True
