encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_cal_spots,n_cal_slides,n_pool_spots,n_train_natural,n_train_matched,n_match_target,n_train_buffer_dropped,n_blocks_total,n_test,n_test_slides,test_slides,cal_slides,cal_shares_donor_with_test,cal_shares_session_with_test,cal_shares_resolution_group_with_test,cal_shares_exact_session_with_test,cal_status,size_match,superseded_label_set
uni_v1,CCRCC,shipped,random,5,3,0,spot,57566,11514,11514,24,57566,46052,35996,35996,0,,16654,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,5,4,0,spot,57566,11514,11514,24,57566,46052,35996,35996,0,,16654,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,0,-1,0,patient,20,5,10905,5,55849,44944,35996,35996,0,,18371,4,INT13;INT14;INT15;INT24,INT1;INT11;INT23;INT6;INT8,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,0,-1,1,patient,20,5,11411,5,55849,44438,35996,35996,0,,18371,4,INT13;INT14;INT15;INT24,INT10;INT12;INT16;INT17;INT5,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,0,-1,2,patient,20,5,19853,5,55849,35996,35996,35996,0,,18371,4,INT13;INT14;INT15;INT24,INT18;INT19;INT21;INT22;INT5,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,1,-1,0,patient,20,5,22810,5,67651,44841,35996,35996,0,,6569,4,INT10;INT11;INT12;INT9,INT15;INT17;INT18;INT20;INT24,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,1,-1,1,patient,20,5,15985,5,67651,51666,35996,35996,0,,6569,4,INT10;INT11;INT12;INT9,INT13;INT16;INT20;INT5;INT7,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,1,-1,2,patient,20,5,17775,5,67651,49876,35996,35996,0,,6569,4,INT10;INT11;INT12;INT9,INT16;INT2;INT20;INT23;INT7,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,2,-1,0,patient,20,5,19567,5,63464,43897,35996,35996,0,,10756,4,INT23;INT6;INT7;INT8,INT13;INT14;INT16;INT2;INT20,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,2,-1,1,patient,20,5,12886,5,63464,50578,35996,35996,0,,10756,4,INT23;INT6;INT7;INT8,INT10;INT11;INT14;INT16;INT9,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,2,-1,2,patient,20,5,10039,5,63464,53425,35996,35996,0,,10756,4,INT23;INT6;INT7;INT8,INT1;INT10;INT16;INT2;INT5,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,3,-1,0,patient,20,5,13757,5,67098,53341,35996,35996,0,,7122,4,INT2;INT3;INT4;INT5,INT10;INT14;INT17;INT6;INT8,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,3,-1,1,patient,20,5,19412,5,67098,47686,35996,35996,0,,7122,4,INT2;INT3;INT4;INT5,INT10;INT13;INT17;INT21;INT24,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,3,-1,2,patient,20,5,17796,5,67098,49302,35996,35996,0,,7122,4,INT2;INT3;INT4;INT5,INT15;INT17;INT19;INT7;INT8,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,4,-1,0,patient,20,5,13132,5,59472,46340,35996,35996,0,,14748,4,INT1;INT20;INT21;INT22,INT11;INT17;INT18;INT3;INT5,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,4,-1,1,patient,20,5,14385,5,59472,45087,35996,35996,0,,14748,4,INT1;INT20;INT21;INT22,INT12;INT13;INT19;INT6;INT8,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,4,-1,2,patient,20,5,17076,5,59472,42396,35996,35996,0,,14748,4,INT1;INT20;INT21;INT22,INT12;INT13;INT14;INT23;INT8,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,5,-1,0,patient,20,5,15607,5,57566,41959,35996,35996,0,,16654,4,INT16;INT17;INT18;INT19,INT10;INT15;INT2;INT23;INT4,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,patient,5,-1,1,patient,20,5,10535,5,57566,47031,35996,35996,0,,16654,4,INT16;INT17;INT18;INT19,INT10;INT22;INT4;INT6;INT9,False,True,True,,ok,task,False
