task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws,superseded_label_set
CCRCC,shipped,uni_v2,random,scaled,1,spot,1,0.898866960168279,0.0014449908179420502,0.005642433882395138,False
CCRCC,shipped,uni_v2,random,scaled,2,spot,1,0.8981498748803969,0.0014208070199012955,0.0036145679971399825,False
CCRCC,shipped,uni_v2,random,scaled,3,spot,1,0.8983471177987882,0.002381334955661686,0.005790870567941551,False
CCRCC,shipped,uni_v2,random,scaled,4,spot,1,0.8991732238446787,0.0008235893170520034,0.004783115968253235,False
CCRCC,shipped,uni_v2,random,scaled,5,spot,1,0.8990627197899924,0.0003249500634642748,0.0024897112464417792,False
COAD,shipped,uni_v2,donor,abs,COAD_Oliveira_P1,donor,3,0.8889613259668508,0.015509645321956306,0.07652029973486582,False
COAD,shipped,uni_v2,donor,abs,COAD_Oliveira_P2,donor,3,0.849054219707685,0.0038739167325051557,0.08781832789938332,False
COAD,shipped,uni_v2,donor,abs,COAD_Oliveira_P5,donor,3,0.8778792312945077,0.005230022182133474,0.17687761920477213,False
COAD,shipped,uni_v2,donor,abs,COAD_donor_TENX111,donor,3,0.8724748966331956,0.002711125723824708,0.04703615340261434,False
COAD,shipped,uni_v2,donor,scaled,COAD_Oliveira_P1,donor,3,0.9152523020257827,0.02087365082245935,0.4033604495306122,False
COAD,shipped,uni_v2,donor,scaled,COAD_Oliveira_P2,donor,3,0.8817048561999057,0.04610737014101131,0.789301158420948,False
COAD,shipped,uni_v2,donor,scaled,COAD_Oliveira_P5,donor,3,0.8470432152960686,0.0069842451531663295,0.02215249900652134,False
COAD,shipped,uni_v2,donor,scaled,COAD_donor_TENX111,donor,3,0.8844024414254775,0.03811725501230335,0.3983435938894758,False
COAD,shipped,uni_v2,patient,abs,0,block,3,0.6228458056797935,0.0011367988854048684,0.023765343378311602,False
COAD,shipped,uni_v2,patient,abs,1,slide,3,0.8683559755857453,0.006728332353957747,0.049318421495820546,False
COAD,shipped,uni_v2,patient,scaled,0,block,3,0.600096100839461,0.006010281184906295,0.009182120011151897,False
COAD,shipped,uni_v2,patient,scaled,1,slide,3,0.9039614097263241,0.01639733847342722,0.18591476736288312,False
COAD,shipped,uni_v2,random,abs,0,spot,1,0.8958046522940879,0.004201829269222472,0.02651833163407851,False
COAD,shipped,uni_v2,random,abs,1,spot,1,0.89713021798447,0.002379642761377536,0.01629258869809128,False
COAD,shipped,uni_v2,random,scaled,0,spot,1,0.8989345638594604,0.002724233429104024,0.01663209935286778,False
COAD,shipped,uni_v2,random,scaled,1,spot,1,0.8990600690366474,0.0025743809624496346,0.019131734363658406,False
HCC,shipped,uni_v2,donor,abs,CHC20,block,3,0.8149750987463507,0.004961125612798164,0.024628682377727598,False
HCC,shipped,uni_v2,donor,abs,CHC23,block,3,0.7101522542498152,0.01928838449070694,0.05971592472358431,False
HCC,shipped,uni_v2,donor,scaled,CHC20,block,3,0.7880096170358922,0.033311910017128084,2.2304867795521104,False
HCC,shipped,uni_v2,donor,scaled,CHC23,block,3,0.7483695491500368,0.013826741890997475,0.7018847677318856,False
HCC,shipped,uni_v2,patient,abs,0,block,3,0.7359733924611974,0.02002107826784076,0.05933199593457851,False
HCC,shipped,uni_v2,patient,abs,1,block,3,0.7977022153529109,0.0319571254079524,0.03531215616534548,False
HCC,shipped,uni_v2,patient,scaled,0,block,3,0.7342084257206208,0.04101741275752038,1.2369727763388811,False
HCC,shipped,uni_v2,patient,scaled,1,block,3,0.7860656019234072,0.007685891481259733,0.3638814737207189,False
HCC,shipped,uni_v2,random,abs,0,spot,1,0.9023798624828233,0.0013599923003753663,0.00970352806640685,False
HCC,shipped,uni_v2,random,abs,1,spot,1,0.9031867659258541,0.0030242865388538254,0.017064616287075098,False
HCC,shipped,uni_v2,random,scaled,0,spot,1,0.8975306020777211,0.003910639725340201,0.07990567153999087,False
HCC,shipped,uni_v2,random,scaled,1,spot,1,0.8997592151524902,0.0021885401477811676,0.13612202367310908,False
IDC,audited,uni_v2,donor,abs,IDC_JanesickSample1,donor,1,0.8894299886732508,,,True
IDC,audited,uni_v2,donor,abs,NCBI783,donor,1,0.861018302828619,,,True
IDC,audited,uni_v2,donor,abs,NCBI785,donor,1,0.7320249376558604,,,True
IDC,audited,uni_v2,donor,scaled,IDC_JanesickSample1,donor,1,0.8806412831950471,,,True
IDC,audited,uni_v2,donor,scaled,NCBI783,donor,1,0.796485856905158,,,True
IDC,audited,uni_v2,donor,scaled,NCBI785,donor,1,0.7452369077306733,,,True
IDC,audited,uni_v2,patient,abs,0,patient,3,0.8404916269286963,0.006701696664501091,0.08078133852084181,True
IDC,audited,uni_v2,patient,abs,1,patient,3,0.8552405498281788,0.030379797155830307,0.40281127933809335,True
IDC,audited,uni_v2,patient,abs,2,patient,3,0.7103624272651704,0.015656485830347577,0.0946589461447151,True
IDC,audited,uni_v2,patient,abs,3,patient,3,0.875514143094842,0.04118612103825556,0.406505587461985,True
IDC,audited,uni_v2,patient,scaled,0,patient,3,0.8324457717194097,0.02456496054944444,0.47746208291817654,True
IDC,audited,uni_v2,patient,scaled,1,patient,3,0.8592474226804123,0.010969150889183463,0.359948636775979,True
IDC,audited,uni_v2,patient,scaled,2,patient,3,0.7450224438902744,0.030752823179047376,1.3795471143717075,True
IDC,audited,uni_v2,patient,scaled,3,patient,3,0.8692201885745979,0.01901840540842056,0.6894905977159391,True
IDC,audited,uni_v2,random,abs,0,spot,1,0.8802853547023701,0.001418475236614358,0.013808834488554605,True
IDC,audited,uni_v2,random,abs,1,spot,1,0.8792632101585538,0.001947500883409172,0.010877799773312501,True
IDC,audited,uni_v2,random,abs,2,spot,1,0.878973482820701,0.001690787910349759,0.0018149124145220524,True
IDC,audited,uni_v2,random,abs,3,spot,1,0.8802212184273748,0.0037066249654875965,0.009169428933703797,True
IDC,audited,uni_v2,random,scaled,0,spot,1,0.8952556731371974,0.0008487481017266519,0.006754396537740478,True
IDC,audited,uni_v2,random,scaled,1,spot,1,0.8941962847263637,0.0019206270465113267,0.017724013461319906,True
IDC,audited,uni_v2,random,scaled,2,spot,1,0.8951895395492702,0.001997175312915663,0.0073397928013608895,True
IDC,audited,uni_v2,random,scaled,3,spot,1,0.8937083139863542,0.0017573292047593997,0.010291905776645275,True
IDC,shipped,uni_v2,donor,abs,IDC_shipped_patient_1,donor,3,0.8555066390507843,0.03717928252008332,0.2971585613963001,False
IDC,shipped,uni_v2,donor,abs,IDC_shipped_patient_2,donor,3,0.8726176975945018,0.03638557573427774,0.49306501247783036,False
IDC,shipped,uni_v2,donor,abs,NCBI783,donor,3,0.8790770937326678,0.03017589514328383,0.35510509122708805,False
IDC,shipped,uni_v2,donor,abs,NCBI785,donor,3,0.7184305901911886,0.014517926507228955,0.061556988216284185,False
IDC,shipped,uni_v2,donor,scaled,IDC_shipped_patient_1,donor,3,0.8478599296758346,0.038909564230266515,0.33712253210165555,False
IDC,shipped,uni_v2,donor,scaled,IDC_shipped_patient_2,donor,3,0.8631219931271478,0.024550956346402024,1.9430275967652912,False
IDC,shipped,uni_v2,donor,scaled,NCBI783,donor,3,0.858624514697726,0.04548127773653595,3.3411665077306005,False
IDC,shipped,uni_v2,donor,scaled,NCBI785,donor,3,0.7560931005818787,0.01852031530980141,0.0626253695808845,False
IDC,shipped,uni_v2,patient,abs,0,patient,3,0.8374169516561502,0.01163310602096472,0.08723967359098993,False
IDC,shipped,uni_v2,patient,abs,1,patient,3,0.8547878006872852,0.0322176566113551,0.42140767606389556,False
IDC,shipped,uni_v2,patient,abs,2,patient,3,0.7195594347464671,0.013422322401431746,0.06348313267182039,False
IDC,shipped,uni_v2,patient,abs,3,patient,3,0.8683771491957848,0.045381780809287495,0.45941292955926155,False
IDC,shipped,uni_v2,patient,scaled,0,patient,3,0.841830676107445,0.03592195449156851,0.19315976776516272,False
IDC,shipped,uni_v2,patient,scaled,1,patient,3,0.8579020618556701,0.025308501074633002,0.7234525730311321,False
IDC,shipped,uni_v2,patient,scaled,2,patient,3,0.7355428096425602,0.03663269984082982,0.6898369749202219,False
IDC,shipped,uni_v2,patient,scaled,3,patient,3,0.8515740432612313,0.04582810665208826,8.299299847479622,False
IDC,shipped,uni_v2,random,abs,0,spot,1,0.8802062212222443,0.0020633338063957988,0.010745388434410951,False
IDC,shipped,uni_v2,random,abs,1,spot,1,0.879585579277396,0.002087209691368815,0.008592696333312904,False
IDC,shipped,uni_v2,random,abs,2,spot,1,0.8804075702981862,0.002817652573365039,0.003769848710977575,False
IDC,shipped,uni_v2,random,abs,3,spot,1,0.880486835032704,0.0029818402931735093,0.009238810618953732,False
IDC,shipped,uni_v2,random,scaled,0,spot,1,0.8966338247991498,0.00047545052474561115,0.006736317855875739,False
IDC,shipped,uni_v2,random,scaled,1,spot,1,0.8970452854246312,0.0014581382993794146,0.00855723011755277,False
