encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal,superseded_label_set
virchow2,CCRCC,shipped,patient,3,-1,0,0.001,4.506796539943302e-05,0.00012356079752878405,0.3906292606798306,0.4344713026073239,-0.06582489827221888,2.558409611136753,5.136167741861337,False
virchow2,CCRCC,shipped,patient,3,-1,1,0.001,0.00011539254069647641,3.3698399326032014e-05,0.37781716343092486,0.46571472243873174,-0.06543091462175249,2.5912281378445052,5.076307515584787,False
virchow2,CCRCC,shipped,patient,3,-1,2,0.001,0.0005563047875927175,5.8972198820556024e-05,0.38387819001039847,0.45638092474323677,-0.12996151368604303,2.267653043681259,4.601834502402642,False
virchow2,CCRCC,shipped,patient,4,-1,0,0.001,2.5890953396283888e-05,1.4917276918904258e-05,0.4177235057243033,0.379271492779825,-0.06600543123186481,2.9805142442251835,5.979614114713637,False
virchow2,CCRCC,shipped,patient,4,-1,1,0.001,2.3635731664928744e-05,0.0,0.3995670721402996,0.38478894948004033,-0.04811251530577021,2.43181415707138,4.649361055756255,False
virchow2,CCRCC,shipped,patient,4,-1,2,0.001,1.1712344811431248e-05,1.2205044751830757e-05,0.40953153543383775,0.3712206480086354,-0.059215344477783705,2.567634458838336,4.918006728386323,False
virchow2,CCRCC,shipped,patient,5,-1,0,0.001,2.4348048952393156e-05,0.00033505464152756094,0.4209402720868462,0.3769719543326066,-0.0763827005487957,2.5853381274434675,4.698987087723983,False
virchow2,CCRCC,shipped,patient,5,-1,1,0.001,9.492168960607498e-06,0.0005524198390776991,0.415161592849719,0.3776396370095485,-0.023765738417720506,2.472818993624325,4.7175696744149045,False
virchow2,CCRCC,shipped,patient,5,-1,2,0.001,6.111384918679152e-05,0.0006304791641647652,0.41925251501465777,0.3768291189356794,-0.0705130749972036,3.2524367139908907,6.136101834388023,False
virchow2,CCRCC,shipped,donor,INT1,-1,0,0.001,3.980999773806831e-05,0.0,0.38644022861964866,0.43558590257760793,-0.03497862052980988,2.2657105194940894,4.591635045785947,False
virchow2,CCRCC,shipped,donor,INT1,-1,1,0.001,6.920415224913495e-05,0.0,0.3926829924249352,0.4260999517642019,-0.07136893525080851,2.871644342453269,5.672690817846627,False
virchow2,CCRCC,shipped,donor,INT1,-1,2,0.001,3.649426925928038e-05,0.0,0.39708264935551335,0.4635103419075331,-0.10780655598775918,2.6934022132031865,5.1467489641891975,False
virchow2,CCRCC,shipped,donor,INT10,-1,0,0.001,2.9878078164907714e-05,0.0002521432173474534,0.4023462953891463,0.4163971940002966,-0.03772302277817946,2.664595756242034,5.926270185471512,False
virchow2,CCRCC,shipped,donor,INT10,-1,1,0.001,6.636377558834039e-05,0.00023197175995965709,0.40700140756458625,0.34978163654301664,-0.09814074452599852,2.7381027640388345,5.675678796361632,False
virchow2,CCRCC,shipped,donor,INT10,-1,2,0.001,3.953577349827828e-05,0.00024205748865355523,0.3937450303365813,0.3900240002534007,-0.05652308944649237,2.600298797520708,4.815619932802247,False
virchow2,CCRCC,shipped,donor,INT11,-1,0,0.001,5.3290700772715165e-06,1.3898540653231411e-05,0.39719195343775515,0.5052212884561189,-0.039319376672962425,2.277985667765638,4.196710754130749,False
virchow2,CCRCC,shipped,donor,INT11,-1,1,0.001,0.00042480024274299587,0.0,0.41156527476707483,0.4897526228788551,-0.1462926894122492,2.7872748899859157,5.533760069462163,False
virchow2,CCRCC,shipped,donor,INT11,-1,2,0.001,0.00013378322382051738,1.3898540653231411e-05,0.410537018561536,0.5125538217255619,-0.07406264035953325,2.1426495831613197,3.9046262371429457,False
virchow2,CCRCC,shipped,donor,INT12,-1,0,0.001,9.338036937123884e-06,0.0,0.4133301971027683,0.44754979367172504,-0.046298577329286494,2.6126944467611253,4.972900073467563,False
virchow2,CCRCC,shipped,donor,INT12,-1,1,0.001,0.00013913589287582384,0.0,0.40771182234424935,0.48202402501194636,-0.09196798231615427,2.43652778253972,4.3853793527844305,False
virchow2,CCRCC,shipped,donor,INT12,-1,2,0.001,5.038903297517599e-05,0.0,0.4167522014692403,0.4679136088412458,-0.05223224330417259,2.4694562533740703,4.859163960800709,False
virchow2,CCRCC,shipped,donor,INT13,-1,0,0.001,3.38684549210865e-05,4.588208304657032e-06,0.40083712760516665,0.38194667891019174,-0.04753380584203759,2.5280653985648724,4.750620988697304,False
virchow2,CCRCC,shipped,donor,INT13,-1,1,0.001,5.6522576915665744e-05,4.588208304657032e-06,0.41651586497370824,0.39193891263158187,-0.10034103851077597,2.6843021925371593,5.146290168574596,False
virchow2,CCRCC,shipped,donor,INT13,-1,2,0.001,1.8176654359556944e-05,0.0,0.3953830479951542,0.3805223665055808,-0.0332663915475922,2.564785509223246,5.008121148133776,False
virchow2,CCRCC,shipped,donor,INT14,-1,0,0.001,2.733841046670572e-05,3.068829460762823e-05,0.40819707658099086,0.3728938012119536,-0.09036706922645665,2.706393385924704,5.009626315488388,False
virchow2,CCRCC,shipped,donor,INT14,-1,1,0.001,0.0,0.0,0.453679631526392,0.39837753713850055,0.01984161016174979,2.574801215414883,4.365434844717381,False
virchow2,CCRCC,shipped,donor,INT14,-1,2,0.001,1.7111222949169603e-05,1.3152126260412099e-05,0.3980341144316911,0.37817622958399466,-0.08269838226946097,2.495831658697724,4.821625290873926,False
virchow2,CCRCC,shipped,donor,INT15,-1,0,0.001,3.512826438641091e-05,2.0242914979757085e-05,0.4044448774419638,0.36699663247703274,-0.04638890741189683,2.365775170726013,4.657957667367647,False
virchow2,CCRCC,shipped,donor,INT15,-1,1,0.001,9.067958163738472e-05,4.048582995951417e-05,0.39379490476517726,0.36871078630475485,-0.0689250535103963,2.758765793125291,5.949453686380988,False
virchow2,CCRCC,shipped,donor,INT15,-1,2,0.001,5.274921770227984e-05,3.6437246963562756e-05,0.38640450756544503,0.3682001760835215,-0.08675420390305083,2.4747113477470593,4.900517666375267,False
virchow2,CCRCC,shipped,donor,INT16,-1,0,0.001,2.960331557134399e-05,3.1191515907673116e-05,0.41432556252757313,0.34117826622322167,-0.05609785524205918,2.398717573056049,4.402267385003091,False
virchow2,CCRCC,shipped,donor,INT16,-1,1,0.001,0.0001248787584869059,2.495321272613849e-05,0.39065353337979125,0.3393284398904939,-0.07418006671750405,2.423358026772153,4.582329618245263,False
virchow2,CCRCC,shipped,donor,INT16,-1,2,0.001,4.733842140855956e-05,1.871490954460387e-05,0.39414400427664786,0.38979127960795323,-0.09808943360889244,2.307379403579705,4.1825114237152174,False
virchow2,CCRCC,shipped,donor,INT17,-1,0,0.001,8.591215920049092e-05,0.0,0.3969486808135596,0.3579845173320984,-0.11520921964982,2.2597709830607284,4.00666715489435,False
