encoder,design,score,n_tasks,coverage_mean,coverage_sd_across_tasks,shortfall_from_nominal,width_mean
gigapath,patient,abs,11,0.7882575638113488,0.07963249276266099,0.1117424361886512,2.59760970188592
gigapath,patient,scaled,11,0.784507641841595,0.07854801420458803,0.11549235815840497,4.314283426756745
gigapath,donor,abs,11,0.8032927750731095,0.09016234065713373,0.09670722492689054,2.7209046307934717
gigapath,donor,scaled,11,0.8016226966324229,0.08131602725673875,0.0983773033675771,6.428450137750293
gigapath,slide_out,abs,3,0.8633713967467067,0.032285637458531,0.03662860325329331,2.6617708198638086
gigapath,slide_out,scaled,3,0.8730704556373716,0.033657426079241874,0.0269295443626284,4.223269585443896
hoptimus0,random,abs,11,0.8941717548193521,0.008686558737215482,0.005828245180647951,1.8583813765430588
hoptimus0,random,scaled,11,0.8995468234906849,0.002322338186755859,0.0004531765093150897,2.099403551308269
hoptimus0,patient,abs,11,0.7837343372243205,0.08059449070247472,0.11626566277567951,2.531526386763064
hoptimus0,patient,scaled,11,0.7870330886471129,0.07275332070771194,0.11296691135288717,6.323776633796486
hoptimus0,donor,abs,11,0.8011316007820024,0.09081116266564623,0.09886839921799762,2.671419915068278
hoptimus0,donor,scaled,11,0.7915462567543513,0.08377501748884711,0.10845374324564871,6.800159257310621
hoptimus0,slide_out,abs,3,0.8576714877488371,0.037874152091304604,0.042328512251162964,2.6118100428140796
hoptimus0,slide_out,scaled,3,0.8676984550553403,0.039154994983439786,0.032301544944659755,3.9873219745632604
hoptimus1,random,abs,11,0.8939753785218472,0.009705545548560821,0.006024621478152858,1.857647027927184
hoptimus1,random,scaled,11,0.8998447395162762,0.0027038822408891098,0.00015526048372382917,2.0944610140834166
hoptimus1,patient,abs,11,0.7868654927407286,0.08554879440014598,0.11313450725927143,2.5314614240664617
hoptimus1,patient,scaled,11,0.788938896006833,0.0823862485501331,0.11106110399316704,4.490204439289569
hoptimus1,donor,abs,11,0.7998651394176821,0.09404406803979662,0.10013486058231791,2.6435178871656846
hoptimus1,donor,scaled,11,0.7982050872110191,0.08396071776835343,0.1017949127889809,6.0310440171325075
hoptimus1,slide_out,abs,3,0.8610130609269973,0.03642503986606951,0.03898693907300277,2.588337891417435
hoptimus1,slide_out,scaled,3,0.8727106017535804,0.038459711759105994,0.027289398246419627,3.1510355851470013
phikon,random,abs,11,0.8942558778907147,0.009426486786176367,0.005744122109285321,1.9442310130285718
phikon,random,scaled,11,0.8994500754269477,0.0031955189257900246,0.0005499245730523628,2.3261079405858687
phikon,patient,abs,11,0.7794773692378577,0.08266424262757117,0.12052263076214231,2.6798032236691216
phikon,patient,scaled,11,0.7798092568774873,0.07633512217690379,0.12019074312251277,33.07976586014937
phikon,donor,abs,11,0.7983581810945076,0.09006463229368651,0.1016418189054924,2.8351571562168365
phikon,donor,scaled,11,0.7893611161640355,0.07845388220020841,0.11063888383596454,39.861275469363136
phikon,slide_out,abs,3,0.851745810476695,0.03915790244717579,0.04825418952330507,2.7205343483781714
phikon,slide_out,scaled,3,0.8687941294180123,0.032616036098859554,0.03120587058198776,15.423349894358621
resnet50,random,abs,11,0.8925813210467609,0.012520288794664085,0.007418678953239111,2.1455003490038815
resnet50,random,scaled,11,0.8988301293785458,0.002745808234764386,0.0011698706214542387,2.4403071566788905
resnet50,patient,abs,11,0.7828971434898245,0.080936227103353,0.11710285651017549,2.8591704329185355
resnet50,patient,scaled,11,0.7959457284591072,0.07629276815037454,0.10405427154089286,16.7485143505055
resnet50,donor,abs,11,0.8017533106897772,0.08541250003587583,0.09824668931022285,3.0492720812086165
resnet50,donor,scaled,11,0.8152894267190632,0.06879848243814499,0.08471057328093679,54.617269747304256
resnet50,slide_out,abs,3,0.8528432798451284,0.04033423631615384,0.0471567201548716,2.900455992469159
resnet50,slide_out,scaled,3,0.8652901346969627,0.029079113573428843,0.034709865303037324,26.766102663236232
uni_v1,random,abs,11,0.8938923796510021,0.009380383790406115,0.006107620348997922,1.9162836851032712
uni_v1,random,scaled,11,0.8994336838806818,0.002116246873527809,0.0005663161193182331,2.1766152328565687
uni_v1,patient,abs,11,0.7883990781932215,0.07827803259036346,0.1116009218067785,2.589542008294173
uni_v1,patient,scaled,11,0.7918287702039631,0.07803752199292899,0.10817122979603688,7.10381413131987
uni_v1,donor,abs,11,0.8028857939729879,0.08493418154758736,0.09711420602701215,2.713047509605072
uni_v1,donor,scaled,11,0.8070103442452484,0.07070942832928931,0.0929896557547516,9.172142648934498
uni_v1,slide_out,abs,3,0.8560441044256031,0.036287286153321135,0.04395589557439694,2.6488274790073607
uni_v1,slide_out,scaled,3,0.8674277232957308,0.03655506781001246,0.03257227670426921,6.205897436234127
uni_v2,random,abs,11,0.8942232434149733,0.009049793457239896,0.005776756585026743,1.8763734655721442
uni_v2,random,scaled,11,0.8994358695300402,0.0024078935413550766,0.0005641304699598448,2.1020212084901373
uni_v2,patient,abs,11,0.791981342649369,0.08073193839868192,0.10801865735063099,2.53630637912116
uni_v2,patient,scaled,11,0.7964916663505911,0.07181706112400918,0.10350833364940892,5.488313684474754
uni_v2,donor,abs,11,0.8075993760793542,0.08769241216338347,0.09240062392064585,2.6388272803352035
uni_v2,donor,scaled,11,0.8107591021596221,0.07236658079364197,0.08924089784037792,4.499403033346095
uni_v2,slide_out,abs,3,0.8614795922773845,0.031201430490902005,0.03852040772261556,2.573348468868398
uni_v2,slide_out,scaled,3,0.8727069711424822,0.028973186408522072,0.02729302885751783,3.2948586774584214
virchow,random,abs,11,0.8942167542304633,0.009475659081724246,0.0057832457695367046,1.8794048860964185
virchow,random,scaled,11,0.8987064710013446,0.0033271873467675354,0.0012935289986554244,2.1472588226634497
virchow,patient,abs,11,0.7813386078190109,0.08514709343394306,0.11866139218098914,2.5834228270844766
virchow,patient,scaled,11,0.7736067781642231,0.08950430402449779,0.12639322183577695,9.695614557299509
virchow,donor,abs,11,0.7977646997051062,0.09438207439200673,0.1022353002948938,2.6872318628969682
virchow,donor,scaled,11,0.7947378001876363,0.08497588591172602,0.10526219981236373,9.47661098314455
virchow,slide_out,abs,3,0.8588969183481527,0.035859291125236295,0.041103081651847284,2.6573721785524564
virchow,slide_out,scaled,3,0.872930287525193,0.030186166351823775,0.02706971247480705,4.2173016755287
virchow2,random,abs,11,0.8943555505741154,0.009054608323554824,0.005644449425884601,1.8695510355198603
virchow2,random,scaled,11,0.8989395682207105,0.0032829628078455066,0.0010604317792894946,2.1381208735473365
virchow2,patient,abs,11,0.7826872601361096,0.08728951906080035,0.11731273986389046,2.5913161528461224
virchow2,patient,scaled,11,0.7804071910328804,0.09010471711505051,0.11959280896711966,14.487491966796522
virchow2,donor,abs,11,0.7966960150355717,0.09569242184335702,0.10330398496442827,2.7142580632815334
virchow2,donor,scaled,11,0.7961495445341712,0.09139226727613532,0.10385045546582883,21.350323869442924
virchow2,slide_out,abs,3,0.8607782630733783,0.03200698600945676,0.039221736926621675,2.632204254014308
virchow2,slide_out,scaled,3,0.8719797211123473,0.029491149786682658,0.028020278887652683,11.693794156090656
