task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched,superseded_label_set
PAAD,shipped,virchow,random,abs,3,0.8925877844756425,0.0009139549937060425,1.9945793239959346,0.006000588250908495,2.8011754451422757,0.05738635216469304,0.05002586335966456,spot,1951,False
PAAD,shipped,virchow,random,scaled,3,0.9018740044372873,0.002638476767213977,2.313010587485548,0.02596208571977513,2.9942688786588825,0.05503773692285812,0.043088258639854694,spot,1951,False
PRAD,shipped,virchow,donor,abs,2,0.8745361131725158,0.08306261838418583,2.269754399924826,0.47603364330108044,3.3613352576799898,0.08245150233718133,0.043012384490302785,slide,19299,False
PRAD,shipped,virchow,donor,scaled,2,0.832787470538817,0.03303444890400626,1.9865027586236281,0.22890324676423215,3.4054442114436894,0.12857528663922937,0.0386372428219538,slide,19299,False
PRAD,shipped,virchow,patient,abs,2,0.8841983287133024,0.10708454545411103,2.284923488576541,0.5835028568726548,3.326775532868993,0.07321262812450076,0.042589043162196846,slide,19299,False
PRAD,shipped,virchow,patient,scaled,2,0.8692131474548253,0.07860747302063169,2.2513701871360317,0.582294050001873,3.413267064181348,0.09873772499806147,0.032049127547113275,slide,19299,False
PRAD,shipped,virchow,random,abs,2,0.9039455054249134,0.00012104069161151565,1.82351268080643,0.0023997280034100165,2.394639828756037,0.06402259637783703,0.03203189819724962,spot,19299,False
PRAD,shipped,virchow,random,scaled,2,0.8978666582104669,0.00017068389620030218,1.6413473687374114,0.003799058103976874,2.1781071704281874,0.08792423393766183,0.014209107851871312,spot,19299,False
READ,shipped,virchow,donor,abs,2,0.7987199225703796,0.13218671592370856,1.687023151869054,0.5219726839324702,3.261449395985219,0.10768418315067618,0.0935958942789442,slide,2128,False
READ,shipped,virchow,donor,scaled,2,0.8068374191087584,0.053533324419178054,7.5115174124778505,5.623810588916016,9.085455365060497,0.13969450445148357,0.053468076439758164,slide,2128,False
READ,shipped,virchow,patient,abs,2,0.7930147713496312,0.14025501815548067,1.6854859364657184,0.5241466348041561,3.2355652132710553,0.10600127151766109,0.10098395713270783,slide,2128,False
READ,shipped,virchow,patient,scaled,2,0.8106060312993472,0.048203701947922714,7.269506680405748,5.966065448452222,8.826386223426258,0.13484672841025688,0.054547240290395996,slide,2128,False
READ,shipped,virchow,random,abs,2,0.8975934986912022,0.0016796422510486331,1.4361011327970763,0.00826815581804536,2.001734664503195,0.07686689988992168,0.025539601418876248,spot,2128,False
READ,shipped,virchow,random,scaled,2,0.901224218268328,0.0014654491857337387,1.6522436147939938,0.006963650090118582,2.203243890760064,0.09200312738854836,0.006772654343123687,spot,2128,False
SKCM,shipped,virchow,donor,abs,2,0.6547774560110191,0.00901182824133929,2.3243564066203453,0.04532104826947782,7.976296234717802,0.12702889933409234,0.2181936446548885,block,693,False
SKCM,shipped,virchow,donor,scaled,2,0.6922380010836122,0.033071672614584664,7.905242975545084,1.8829643310144994,13.94370690398642,0.12987154206237833,0.17789045685400953,block,693,False
SKCM,shipped,virchow,patient,abs,2,0.6811263850370906,0.01694914266622327,2.4122616452416854,0.055250758370860756,7.223799254647778,0.11285572662648802,0.20601788833642143,block,693,False
SKCM,shipped,virchow,patient,scaled,2,0.6402648778626396,0.0783805577237598,5.256706775681262,2.2814363282932364,12.102054957318009,0.13873765110858494,0.22099747102877554,block,693,False
SKCM,shipped,virchow,random,abs,2,0.9024484864489765,0.00032483180864264344,2.228364699986446,0.00822958150509053,3.0306537513262692,0.05084333581912045,0.0467081777319031,spot,693,False
SKCM,shipped,virchow,random,scaled,2,0.9001808447971207,0.0020183145261941245,3.3824837337035936,0.0062282384285239885,4.23988547101569,0.05320782575329721,0.046611329449582004,spot,693,False
