task,label_set,design,score,n_encoders,n_folds,coverage_mean,coverage_sd_across_encoders,shortfall_from_nominal,width_mean,calibration_units,n_train_matched,superseded_label_set
IDC,shipped,donor,abs,12,4,0.8275246169031287,0.00925382897512188,0.0724753830968713,4.191670517323393,donor,3005,False
IDC,shipped,donor,scaled,12,4,0.8309208164396581,0.010158145272789161,0.06907918356034193,17.6518755537728,donor,3005,False
LUNG,shipped,random,abs,12,2,0.8997925994464125,0.0005442190863273002,0.0002074005535874779,2.1618465657970534,spot,1027,False
LUNG,shipped,random,scaled,12,2,0.9011561472175582,0.001228829772285675,-0.00115614721755819,2.76231952870085,spot,1027,False
LUNG,shipped,patient,abs,12,2,0.6273202582066932,0.01986166590088676,0.2726797417933068,2.179412263456036,block,1027,False
LUNG,shipped,patient,scaled,12,2,0.6527791873142871,0.030498809250650235,0.24722081268571294,2.8709168011130894,block,1027,False
LUNG,shipped,donor,abs,12,2,0.6188143813619692,0.02113290795319303,0.2811856186380308,2.1372679316729575,block,1027,False
LUNG,shipped,donor,scaled,12,2,0.6325501063990242,0.03256303696358354,0.2674498936009758,2.691273261602384,block,1027,False
LYMPH_IDC,shipped,random,abs,12,4,0.9003210680515236,0.0001871426944638448,-0.0003210680515235431,1.5214376626193666,spot,9980,False
LYMPH_IDC,shipped,random,scaled,12,4,0.9002679706253862,0.00029715566954649616,-0.00026797062538619354,1.4440846195966084,spot,9980,False
LYMPH_IDC,shipped,patient,abs,12,4,0.8043040606706452,0.001968911283203292,0.09569593932935483,2.309690638304199,patient,9980,False
LYMPH_IDC,shipped,patient,scaled,12,4,0.7993251894602245,0.009655332364634443,0.10067481053977556,3.0755237152259025,patient,9980,False
LYMPH_IDC,shipped,donor,abs,12,4,0.8180997066793995,0.002943211631132671,0.08190029332060056,2.4351637242146666,donor,9980,False
LYMPH_IDC,shipped,donor,scaled,12,4,0.8151019635292437,0.005857331195735028,0.08489803647075633,3.5442963249703654,donor,9980,False
PAAD,shipped,random,abs,12,3,0.892991740819847,0.000704381476656729,0.00700825918015302,2.0804975598708544,spot,1951,False
PAAD,shipped,random,scaled,12,3,0.9022013116049612,0.000893061914085444,-0.002201311604961176,2.419399760381175,spot,1951,False
PAAD,shipped,patient,abs,12,3,0.8686083698060012,0.006036953606684131,0.03139163019399882,3.2981105436242593,patient,1951,False
PAAD,shipped,patient,scaled,12,3,0.8504216297639143,0.011174824551289078,0.04957837023608569,39.3182427093624,patient,1951,False
PAAD,shipped,donor,abs,12,3,0.8944879557308107,0.004500252219942166,0.005512044269189276,3.273373387659379,donor,1951,False
PAAD,shipped,donor,scaled,12,3,0.8661216655211156,0.015908321199187447,0.03387833447888444,39.845247541966465,donor,1951,False
PRAD,shipped,random,abs,12,2,0.9035930916996768,0.0005219809839429907,-0.003593091699676809,1.8449789225400863,spot,19299,False
PRAD,shipped,random,scaled,12,2,0.8978688047212243,0.0008549765656148318,0.0021311952787756994,1.6738773873664308,spot,19299,False
PRAD,shipped,patient,abs,12,2,0.8749040807239331,0.008053374198861348,0.025095919276066914,2.2570495444305054,slide,19299,False
PRAD,shipped,patient,scaled,12,2,0.8643637366847334,0.017332272033049444,0.03563626331526659,6.530015482774184,slide,19299,False
PRAD,shipped,donor,abs,12,2,0.8713187860774483,0.0065204210427533505,0.02868121392255174,2.286279742655826,slide,19299,False
PRAD,shipped,donor,scaled,12,2,0.82659157940618,0.020802721422208292,0.07340842059382002,7.1168740115021585,slide,19299,False
PRAD,shipped,slide_out,abs,12,23,0.8970630319215106,0.0007791190954111498,0.0029369680784894214,2.0890025796045335,slide,39667,False
PRAD,shipped,slide_out,scaled,12,23,0.8995190757325363,0.0013745608725885794,0.00048092426746371153,1.943373983647355,slide,39667,False
READ,shipped,random,abs,12,2,0.8976322549315798,0.0003617442234604109,0.0023677450684201906,1.4481396709243834,spot,2128,False
READ,shipped,random,scaled,12,2,0.9019779398484218,0.00047588216035485283,-0.0019779398484217614,1.7101399894846467,spot,2128,False
READ,shipped,patient,abs,12,2,0.8096179508439609,0.02284416637906871,0.09038204915603909,1.7106971742364196,slide,2128,False
READ,shipped,patient,scaled,12,2,0.8352371029443945,0.016762296086453465,0.06476289705560556,16.11988531215847,slide,2128,False
READ,shipped,donor,abs,12,2,0.8106729364470135,0.022065887203829546,0.08932706355298647,1.7104037621999266,slide,2128,False
READ,shipped,donor,scaled,12,2,0.8371146615705948,0.01775521393623057,0.06288533842940525,16.368092587319722,slide,2128,False
READ,shipped,slide_out,abs,12,4,0.8442698617938813,0.01423713451474321,0.05573013820611872,1.6528084605829978,slide,3819,False
READ,shipped,slide_out,scaled,12,4,0.8734572732334445,0.011344220978388782,0.026542726766555558,5.216921527678553,slide,3819,False
SKCM,shipped,random,abs,12,2,0.9019890732672076,0.0013814509949994793,-0.0019890732672075417,2.4366448488481076,spot,693,False
SKCM,shipped,random,scaled,12,2,0.9008735173865151,0.0012959003297164015,-0.000873517386515088,3.945331231984742,spot,693,False
SKCM,shipped,patient,abs,12,2,0.6871530997481394,0.01521547186608927,0.2128469002518606,2.5918843714701705,block,693,False
SKCM,shipped,patient,scaled,12,2,0.7128402272564727,0.0386568761342326,0.18715977274352735,7.605529405854226,block,693,False
SKCM,shipped,donor,abs,12,2,0.6731084661725605,0.0209855766671352,0.22689153382743954,2.516809875134456,block,693,False
SKCM,shipped,donor,scaled,12,2,0.7190092850119524,0.037515151368926206,0.18099071498804764,6.980809673289064,block,693,False
