encoder,task,label_set,design,fold,repeat,cal_draw,n_T,n_C,n_E,overlap_T_C,overlap_T_E,overlap_C_E,disjoint,scaler_pca_fit_rows_equal_T,n_samples_seen,pca_n_samples,max_abs_scaler_mean_minus_T,max_abs_scaler_var_minus_T,max_abs_pca_mean_minus_T
hoptimus0,CCRCC,shipped,donor,INT6,-1,2,35996,19847,1678,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT7,-1,0,35996,18917,2374,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT7,-1,1,35996,24820,2374,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT7,-1,2,35996,22623,2374,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT8,-1,0,35996,22774,1949,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT8,-1,1,35996,18471,1949,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT8,-1,2,35996,21619,1949,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT9,-1,0,35996,12609,1696,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT9,-1,1,35996,20533,1696,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT9,-1,2,35996,17614,1696,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,COAD,shipped,random,0,0,0,3389,1016,10572,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,random,0,1,0,3389,1016,10572,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,random,0,2,0,3389,1016,10572,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,random,0,3,0,3389,1016,10572,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,random,0,4,0,3389,1016,10572,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,random,1,0,0,3389,2115,5079,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,random,1,1,0,3389,2115,5079,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,random,1,2,0,3389,2115,5079,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,random,1,3,0,3389,2115,5079,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,random,1,4,0,3389,2115,5079,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,patient,0,-1,0,3389,1075,10572,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,patient,0,-1,1,3389,1143,10572,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,patient,0,-1,2,3389,1163,10572,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,patient,1,-1,0,3389,3620,5079,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,patient,1,-1,1,3389,3417,5079,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,patient,1,-1,2,3389,3620,5079,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P1,-1,0,3389,3535,3620,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P1,-1,1,3389,3417,3620,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P1,-1,2,3389,3535,3620,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P2,-1,0,3389,3620,3535,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P2,-1,1,3389,3417,3535,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P2,-1,2,3389,3417,3535,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P5,-1,0,3389,3535,3417,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P5,-1,1,3389,3620,3417,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P5,-1,2,3389,3535,3417,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,donor,COAD_donor_TENX111,-1,0,3389,3620,5079,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,donor,COAD_donor_TENX111,-1,1,3389,3417,5079,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,COAD,shipped,donor,COAD_donor_TENX111,-1,2,3389,3417,5079,0,0,0,True,True,3389,3389,0.0,0.0,0.0
hoptimus0,HCC,shipped,random,0,0,0,1203,389,2255,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,random,0,1,0,1203,389,2255,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,random,0,2,0,1203,389,2255,0,0,0,True,True,1203,1203,0.0,0.0,0.0
