task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes
IDC,audited,uni_v2,slide_out,scaled,TENX95,-1,0,slide,TENX95,0.8931829896907216,5.9287896870873,8.670334781071373,0.09681958762886599,0.009997422680412371,7760,50
IDC,audited,uni_v2,slide_out,scaled,TENX95,-1,1,slide,TENX95,0.8811365979381444,5.459245837999948,8.562355708461485,0.10665463917525773,0.012208762886597937,7760,50
IDC,audited,uni_v2,slide_out,scaled,TENX95,-1,2,slide,TENX95,0.851798969072165,4.2563874647314845,7.032679901757322,0.12447164948453608,0.023729381443298968,7760,50
IDC,audited,uni_v2,slide_out,scaled,TENX99,-1,0,slide,TENX99,0.8547728914792159,4.134537198931512,7.433135365562907,0.024455469389721114,0.12077163913106306,20761,50
IDC,audited,uni_v2,slide_out,scaled,TENX99,-1,1,slide,TENX99,0.802934348056452,3.7632678666752866,6.536497535487872,0.056003082703145315,0.1410625692404027,20761,50
IDC,audited,uni_v2,slide_out,scaled,TENX99,-1,2,slide,TENX99,0.8711699821781224,4.240371190363335,6.976921289100256,0.03950098742835123,0.08932903039352633,20761,50
PRAD,shipped,uni_v2,slide_out,abs,MEND139,-1,0,slide,MEND139,0.8590717524673246,2.154249403131288,2.865968183891434,0.03974926647105895,0.10117898106161644,3749,50
PRAD,shipped,uni_v2,slide_out,abs,MEND139,-1,1,slide,MEND139,0.8780794878634302,2.2016728209355074,2.6895919152837946,0.02842357962123233,0.09349693251533742,3749,50
PRAD,shipped,uni_v2,slide_out,abs,MEND139,-1,2,slide,MEND139,0.8099973326220326,2.0765036475815664,3.2026222244792977,0.034793278207522,0.15520938917044547,3749,50
PRAD,shipped,uni_v2,slide_out,abs,MEND140,-1,0,slide,MEND140,0.9418811369509044,2.402982711866392,2.6949199585417456,0.05194832041343669,0.006170542635658915,1935,50
PRAD,shipped,uni_v2,slide_out,abs,MEND140,-1,1,slide,MEND140,0.9088268733850129,1.9952979921243155,2.4362374347304145,0.0782532299741602,0.012919896640826873,1935,50
PRAD,shipped,uni_v2,slide_out,abs,MEND140,-1,2,slide,MEND140,0.8395762273901809,1.6190242002560362,2.512958418832622,0.13834625322997415,0.022077519379844965,1935,50
PRAD,shipped,uni_v2,slide_out,abs,MEND141,-1,0,slide,MEND141,0.9482051282051281,1.9200359176307102,2.17802301869455,0.0451505016722408,0.006644370122630992,1794,50
PRAD,shipped,uni_v2,slide_out,abs,MEND141,-1,1,slide,MEND141,0.9763879598662207,2.481496114112482,2.5948818013334995,0.022753623188405795,0.0008584169453734671,1794,50
PRAD,shipped,uni_v2,slide_out,abs,MEND141,-1,2,slide,MEND141,0.9361315496098105,1.8897408646004938,2.237232183896793,0.05958751393534002,0.004280936454849498,1794,50
PRAD,shipped,uni_v2,slide_out,abs,MEND142,-1,0,slide,MEND142,0.9478945612278946,2.020215684907777,2.246995042386047,0.0375975975975976,0.014507841174507841,2997,50
PRAD,shipped,uni_v2,slide_out,abs,MEND142,-1,1,slide,MEND142,0.9388455121788455,1.8906910986692902,2.1606739626745166,0.044824824824824826,0.016329662996329663,2997,50
PRAD,shipped,uni_v2,slide_out,abs,MEND142,-1,2,slide,MEND142,0.9742475809142477,2.5323176752988723,2.649025807495857,0.017397397397397398,0.008355021688355023,2997,50
PRAD,shipped,uni_v2,slide_out,abs,MEND143,-1,0,slide,MEND143,0.959622641509434,1.8265246509126933,1.9828731594581728,0.03758909853249476,0.0027882599580712785,3816,50
PRAD,shipped,uni_v2,slide_out,abs,MEND143,-1,1,slide,MEND143,0.9675786163522012,1.8482296677669752,1.9671805822834543,0.02780398322851153,0.0046174004192872115,3816,50
PRAD,shipped,uni_v2,slide_out,abs,MEND143,-1,2,slide,MEND143,0.9737840670859539,2.12782654418029,2.224345580230461,0.02518867924528302,0.0010272536687631027,3816,50
PRAD,shipped,uni_v2,slide_out,abs,MEND144,-1,0,slide,MEND144,0.9861708394698085,2.3717121382906448,2.426601577210526,0.011993127147766323,0.001836033382425135,4074,50
PRAD,shipped,uni_v2,slide_out,abs,MEND144,-1,1,slide,MEND144,0.9637653411880216,1.8320300330214543,1.9913331975069306,0.032233676975945015,0.004000981836033383,4074,50
PRAD,shipped,uni_v2,slide_out,abs,MEND144,-1,2,slide,MEND144,0.9784634266077564,2.0901809934657587,2.165400325103432,0.019685812469317623,0.0018507609229258715,4074,50
PRAD,shipped,uni_v2,slide_out,abs,MEND145,-1,0,slide,MEND145,0.9510860366713682,2.1600868468654424,2.429784846810307,0.047559943582510575,0.0013540197461212977,1418,50
PRAD,shipped,uni_v2,slide_out,abs,MEND145,-1,1,slide,MEND145,0.9605923836389281,2.2469355309591204,2.454159725400124,0.03851904090267983,0.0008885754583921016,1418,50
PRAD,shipped,uni_v2,slide_out,abs,MEND145,-1,2,slide,MEND145,0.9404795486600847,1.965684272938563,2.2894066139967024,0.056643159379407615,0.0028772919605077572,1418,50
PRAD,shipped,uni_v2,slide_out,abs,MEND146,-1,0,slide,MEND146,0.9736761710794297,2.0854390228198274,2.2234945714564116,0.020020366598778004,0.0063034623217922605,1964,50
PRAD,shipped,uni_v2,slide_out,abs,MEND146,-1,1,slide,MEND146,0.9588798370672097,1.8070856333985978,2.0188569510312298,0.027932790224032583,0.013187372708757637,1964,50
PRAD,shipped,uni_v2,slide_out,abs,MEND146,-1,2,slide,MEND146,0.9635030549898167,1.9733741579100954,2.1561861446142285,0.029989816700610995,0.006507128309572301,1964,50
PRAD,shipped,uni_v2,slide_out,abs,MEND147,-1,0,slide,MEND147,0.975134903640257,2.517110092707211,2.6254850462669648,0.019717344753747323,0.005147751605995717,2335,50
PRAD,shipped,uni_v2,slide_out,abs,MEND147,-1,1,slide,MEND147,0.9706895074946467,2.364580027650442,2.4795427056867614,0.017353319057815845,0.011957173447537472,2335,50
PRAD,shipped,uni_v2,slide_out,abs,MEND147,-1,2,slide,MEND147,0.9448907922912205,1.98790574988291,2.2436485616656823,0.03878372591006424,0.0163254817987152,2335,50
PRAD,shipped,uni_v2,slide_out,abs,MEND148,-1,0,slide,MEND148,0.9853031230863443,2.2268888515555405,2.3055421341631153,0.012259644825474586,0.0024372320881812615,1633,50
PRAD,shipped,uni_v2,slide_out,abs,MEND148,-1,1,slide,MEND148,0.9760808328230252,1.832074554618175,1.9424587239215496,0.01639926515615432,0.0075199020208205755,1633,50
PRAD,shipped,uni_v2,slide_out,abs,MEND148,-1,2,slide,MEND148,0.9855848132271892,2.2463836530591306,2.317086882851266,0.012565829761175751,0.0018493570116350274,1633,50
PRAD,shipped,uni_v2,slide_out,abs,MEND149,-1,0,slide,MEND149,0.9366936790923824,1.7476720834337727,2.0555456209646055,0.05023230686115613,0.013074014046461373,1851,50
PRAD,shipped,uni_v2,slide_out,abs,MEND149,-1,1,slide,MEND149,0.9655861696380335,2.038986702676843,2.1937930329608637,0.029897352782279847,0.004516477579686656,1851,50
PRAD,shipped,uni_v2,slide_out,abs,MEND149,-1,2,slide,MEND149,0.968665586169638,2.1231152334394086,2.263177331310733,0.026472177201512695,0.004862236628849271,1851,50
PRAD,shipped,uni_v2,slide_out,abs,MEND150,-1,0,slide,MEND150,0.9188577955454026,2.356553775577885,2.9028256133380754,0.07689320388349515,0.004249000571102227,1751,50
PRAD,shipped,uni_v2,slide_out,abs,MEND150,-1,1,slide,MEND150,0.9407538549400343,2.5558280783906495,2.9427472918518958,0.04933181039406054,0.009914334665905196,1751,50
PRAD,shipped,uni_v2,slide_out,abs,MEND150,-1,2,slide,MEND150,0.8744945745288406,1.9703086993971468,2.7554169339026036,0.10380354083380926,0.021701884637350087,1751,50
PRAD,shipped,uni_v2,slide_out,abs,MEND151,-1,0,slide,MEND151,0.9349461538461539,2.0174128676647056,2.2789769215091416,0.022446153846153845,0.04260769230769231,2600,50
