task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes
PRAD,shipped,ctranspath,slide_out,abs,MEND139,-1,2,slide,MEND139,0.823430248066151,2.0554668344723046,3.038445238071588,0.03652707388636969,0.14004267804747933,3749,50
PRAD,shipped,ctranspath,slide_out,abs,MEND140,-1,0,slide,MEND140,0.9371989664082687,2.3562331435614565,2.6990281055388436,0.0568578811369509,0.005943152454780362,1935,50
PRAD,shipped,ctranspath,slide_out,abs,MEND140,-1,1,slide,MEND140,0.9013229974160207,2.018415790184504,2.563168992076021,0.092671834625323,0.00600516795865633,1935,50
PRAD,shipped,ctranspath,slide_out,abs,MEND140,-1,2,slide,MEND140,0.826015503875969,1.6906147292918647,2.8163360560414215,0.16371059431524546,0.01027390180878553,1935,50
PRAD,shipped,ctranspath,slide_out,abs,MEND141,-1,0,slide,MEND141,0.9338238573021183,1.9623673257717014,2.334726839335827,0.06308807134894091,0.003088071348940914,1794,50
PRAD,shipped,ctranspath,slide_out,abs,MEND141,-1,1,slide,MEND141,0.9553511705685618,2.3025120925649514,2.53633301731003,0.04400222965440356,0.0006465997770345597,1794,50
PRAD,shipped,ctranspath,slide_out,abs,MEND141,-1,2,slide,MEND141,0.9297324414715719,1.9685933275766798,2.3713209882912656,0.06739130434782609,0.0028762541806020064,1794,50
PRAD,shipped,ctranspath,slide_out,abs,MEND142,-1,0,slide,MEND142,0.9578044711378044,2.066024670349171,2.24212369981458,0.03052385719052386,0.011671671671671671,2997,50
PRAD,shipped,ctranspath,slide_out,abs,MEND142,-1,1,slide,MEND142,0.9472205538872206,1.967738381249264,2.2013650887817757,0.03915915915915916,0.013620286953620286,2997,50
PRAD,shipped,ctranspath,slide_out,abs,MEND142,-1,2,slide,MEND142,0.9754220887554221,2.60975894384942,2.721925031879079,0.016876876876876876,0.007701034367701034,2997,50
PRAD,shipped,ctranspath,slide_out,abs,MEND143,-1,0,slide,MEND143,0.950251572327044,1.9067626958673032,2.1121826910181927,0.04859014675052411,0.001158280922431866,3816,50
PRAD,shipped,ctranspath,slide_out,abs,MEND143,-1,1,slide,MEND143,0.9470597484276729,1.858367115314072,2.0741960531467085,0.05012578616352201,0.0028144654088050314,3816,50
PRAD,shipped,ctranspath,slide_out,abs,MEND143,-1,2,slide,MEND143,0.9771016771488469,2.206630220821396,2.295356961533744,0.022038784067085954,0.000859538784067086,3816,50
PRAD,shipped,ctranspath,slide_out,abs,MEND144,-1,0,slide,MEND144,0.9874030436917035,2.454785977463721,2.502447683317857,0.010510554737358862,0.0020864015709376534,4074,50
PRAD,shipped,ctranspath,slide_out,abs,MEND144,-1,1,slide,MEND144,0.970618556701031,1.9133300479929278,2.040801353051874,0.025606283750613648,0.0037751595483554246,4074,50
PRAD,shipped,ctranspath,slide_out,abs,MEND144,-1,2,slide,MEND144,0.981448208149239,2.0922433757416155,2.160122958041391,0.01602356406480118,0.0025282277859597444,4074,50
PRAD,shipped,ctranspath,slide_out,abs,MEND145,-1,0,slide,MEND145,0.9412693935119887,2.137567817545949,2.5061354381361234,0.05746121297602257,0.0012693935119887166,1418,50
PRAD,shipped,ctranspath,slide_out,abs,MEND145,-1,1,slide,MEND145,0.9573906911142455,2.2189073321899797,2.4544658217774815,0.04152327221438646,0.0010860366713681241,1418,50
