encoder,task,design,fold,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
uni_v2,CCRCC,patient,0,,,55849,18371,4,0.22047241032123566,0.18657349195447748,0.40-0.50,True,False,INT13;INT14;INT15;INT24
uni_v2,CCRCC,blocked,0,4.0,10.0,55469,18751,24,0.6468857526779175,0.2508527395138905,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,blocked_buffered,0,4.0,10.0,38247,18751,24,0.6368557214736938,0.24449319245563852,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,blocked_matched,0,4.0,10.0,38247,18751,24,0.6459728479385376,0.2492160836906987,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,random_matched,0,4.0,10.0,38247,18371,24,0.6587541103363037,0.26427962596615545,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,patient,1,,,67651,6569,4,0.2596687078475952,0.2512739826268808,0.40-0.50,True,False,INT10;INT11;INT12;INT9
uni_v2,CCRCC,random,1,0.0,,67651,6569,24,0.6629582047462463,0.25978703998766534,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,blocked,1,0.0,4.0,64798,9422,24,0.6435092687606812,0.1781348295220717,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,blocked_buffered,1,0.0,4.0,61174,9422,24,0.6391858458518982,0.17369273068085023,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,blocked_matched,1,0.0,4.0,61174,9422,24,0.6434558629989624,0.17799912431314321,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,random_matched,1,0.0,4.0,61174,6569,24,0.6627113819122314,0.2589440951279539,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
