encoder,task,design,fold,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
resnet50,CCRCC,patient,0,,,55849,18371,4,0.1407928317785263,0.11839915849137468,0.40-0.50,True,False,INT13;INT14;INT15;INT24
resnet50,CCRCC,blocked_matched,0,2.0,4.0,47783,20246,24,0.5735199451446533,0.17248803792944578,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,0,2.0,4.0,47783,18371,24,0.5797297954559326,0.20249449539101985,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,0,2.0,6.0,54935,19285,24,0.555891752243042,0.18823502209591725,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,0,2.0,6.0,45281,19285,24,0.5472723245620728,0.18715702165575446,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,0,2.0,6.0,45281,19285,24,0.5553992986679077,0.18784047397008785,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,0,2.0,6.0,45281,18371,24,0.5792461037635803,0.2010980962048052,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,0,2.0,10.0,55311,18909,24,0.5699229836463928,0.172096668841538,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,0,2.0,10.0,38841,18909,24,0.5601645112037659,0.1695695655251014,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,0,2.0,10.0,38841,18909,24,0.5683773159980774,0.17098114353257796,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,0,2.0,10.0,38841,18371,24,0.5791504383087158,0.20100300729854403,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random,0,3.0,,55849,18371,24,0.5791572332382202,0.20251044305970334,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,0,3.0,4.0,52955,21265,24,0.562533438205719,0.14651274982626394,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,0,3.0,4.0,46486,21265,24,0.5563632249832153,0.14535337666665327,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,0,3.0,4.0,46486,21265,24,0.5624969601631165,0.14697862559170363,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,0,3.0,4.0,46486,18371,24,0.5787811279296875,0.20240566908942126,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,0,3.0,6.0,54755,19465,24,0.579776406288147,0.1925349233513407,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,0,3.0,6.0,44673,19465,24,0.5685462355613708,0.18897457722732117,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,0,3.0,6.0,44673,19465,24,0.5794606804847717,0.19306654147575805,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,0,3.0,6.0,44673,18371,24,0.5785244107246399,0.20210546760802872,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,0,3.0,10.0,55411,18809,24,0.5696009993553162,0.19159794086784435,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,0,3.0,10.0,39061,18809,24,0.5615138411521912,0.18726652536805585,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,0,3.0,10.0,39061,18809,24,0.5689813494682312,0.1910129714764177,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,0,3.0,10.0,39061,18371,24,0.5780668258666992,0.20140868662685837,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random,0,4.0,,55849,18371,24,0.5781210064888,0.20280636472426217,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,0,4.0,4.0,53426,20794,24,0.5550094842910767,0.19093151929560312,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
